rule_id,title,source_status,data_status,execution_status,test_status,overall_status
IBS-R-05,七阶段回合,verified_source,structured,executable,tested,tested
IBS-R-06,移动与速度,verified_source,structured,executable,tested,tested
IBS-R-06.4,碰撞与船骸,verified_source,structured,executable,tested,tested
IBS-R-08.1,炮击,verified_source,structured,executable,tested,tested
IBS-R-08.2,鱼雷,verified_source,structured,executable,tested,tested
IBS-R-09.1,隐藏标记,verified_source,structured,executable,tested,tested
IBS-R-09.2,雷达,verified_source,structured,executable,tested,tested
IBS-R-09.3,照明弹,verified_source,structured,executable,tested,tested
IBS-R-09.4,探照灯,verified_source,structured,executable,tested,tested
IBS-R-09.5,故障66,verified_source,structured,executable,tested,tested
IBS-R-09.6,雨飑,verified_source,structured,executable,tested,tested
IBS-R-09.7,烟幕,verified_source,structured,executable,tested,tested
IBS-R-09.8,炮击剪影,verified_source,structured,executable,tested,tested
IBS-R-09.9,隐藏损伤,verified_source,structured,executable,tested,tested
IBS-R-09.10,鱼雷盲射,verified_source,structured,executable,tested,tested
IBS-T-GHT,炮击命中表,verified_source,structured,executable,tested,tested
IBS-T-GHRT,炮击结果表,verified_source,structured,executable,tested,tested
IBS-T-THDT,鱼雷与碰撞结果表,verified_source,structured,executable,tested,tested
IBS-T-APT,装甲穿透表,verified_source,structured,executable,tested,tested
IBS-T-SPECIAL,特殊损伤表,verified_source,structured,executable,tested,tested
IBS-T-FIRE,火灾判定表,verified_source,structured,executable,tested,tested
IBS-T-MALFUNCTION-66,故障判定表,verified_source,structured,executable,tested,tested
IBS-T-TORPEDO-CHARACTERISTICS,鱼雷特性表,verified_source,structured,executable,tested,tested
IBS-U-PLAYABLE,想定1/3逐舰记录,verified_source,structured,executable,tested,tested
IBS-M-OVERLAYS,X/Y/Z地形覆盖,verified_source,structured,pending,tested,structured
IBS-S-01,埃斯佩兰斯角海战,verified_source,structured,partial,tested,structured
IBS-S-03,通道行动,verified_source,structured,partial,tested,structured
