model,geometry,eta_r,eta_v,grid,H,V_restricted,lower_bound,upper_bound,bound_width,relative_gap,LB_1,UB_1,P_lower,P_upper,point_estimate,sign_certified,certified_sign,expected_sign,solver_status,n_full_strategies,DO_iterations,restricted_rows,restricted_cols,h1_exact,runtime_sec
lf,head_on,0.8,1.0,7,6,-10.9864,-13.6839,-9.0676,4.6164,0.4202,-1.1879,-1.1879,-12.496,-7.8797,-10.1878,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,297.0
lf,head_on,0.8,0.8,7,6,-12.3059,-14.2707,-10.7468,3.524,0.2864,-1.1879,-1.1879,-13.0828,-9.5589,-11.3208,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,301.9
lf,head_on,0.8,1.2,7,6,-11.769,-14.1601,-8.1921,5.9681,0.5071,-1.1879,-1.1879,-12.9722,-7.0042,-9.9882,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,302.9
lf,head_on,1.2,1.0,7,6,12.2912,9.8004,14.6057,4.8054,0.391,1.904,1.904,7.8963,12.7017,10.299,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,326.3
lf,head_on,1.2,0.8,7,6,11.7949,8.8675,15.1235,6.256,0.5304,1.904,1.904,6.9635,13.2195,10.0915,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,330.4
lf,head_on,1.2,1.2,7,6,9.9245,5.9572,13.0236,7.0664,0.712,1.904,1.904,4.0532,11.1196,7.5864,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,294.5
lf,parallel,0.8,0.8,7,6,-9.1773,-11.0894,-6.8481,4.2413,0.4622,-0.3436,-0.3436,-10.7458,-6.5045,-8.6252,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,302.6
lf,parallel,0.8,1.0,7,6,-6.7581,-8.4906,-4.3694,4.1212,0.6098,-0.3436,-0.3436,-8.1471,-4.0259,-6.0865,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,292.2
lf,parallel,0.8,1.2,7,6,-5.7973,-7.2195,-4.1432,3.0763,0.5306,-0.3436,-0.3436,-6.8759,-3.7996,-5.3377,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,319.0
lf,parallel,1.2,0.8,7,6,8.4502,6.3024,9.6524,3.3501,0.3964,2.4168,2.4168,3.8856,7.2357,5.5606,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,325.4
lf,parallel,1.2,1.0,7,6,9.0663,6.2749,10.5027,4.2279,0.4663,2.4168,2.4168,3.8581,8.086,5.972,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,306.3
lf,parallel,1.2,1.2,7,6,10.0003,7.2764,15.1252,7.8488,0.7849,2.4168,2.4168,4.8596,12.7084,8.784,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,296.9
lf,crossing,0.8,0.8,7,6,-9.5482,-10.3649,-8.8446,1.5203,0.1592,-1.0165,-1.0165,-9.3484,-7.8281,-8.5882,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,316.9
lf,crossing,0.8,1.2,7,6,-6.1746,-6.8601,-5.6957,1.1644,0.1886,-1.0165,-1.0165,-5.8436,-4.6792,-5.2614,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,300.6
lf,crossing,0.8,1.0,7,6,-7.6147,-8.6799,-7.172,1.5079,0.198,-1.0165,-1.0165,-7.6634,-6.1555,-6.9094,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,325.0
lf,crossing,1.2,1.0,7,6,6.8755,6.3035,7.6989,1.3954,0.203,1.3351,1.3351,4.9684,6.3638,5.6661,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,275.2
lf,crossing,1.2,0.8,7,6,5.9494,4.6928,6.5976,1.9048,0.3202,1.3351,1.3351,3.3576,5.2625,4.31,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,315.7
lf,crossing,1.2,1.2,7,6,10.1587,9.177,11.5469,2.3699,0.2333,1.3351,1.3351,7.8419,10.2118,9.0268,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,287.2
