model,geometry,eta_r,eta_v,grid,H,V_restricted,lower_bound,upper_bound,bound_width,relative_gap,LB_1,UB_1,P_lower,P_upper,point_estimate,sign_certified,certified_sign,expected_sign,solver_status,n_full_strategies,DO_iterations,restricted_rows,restricted_cols,h1_exact,runtime_sec
rigid,head_on,0.8,0.8,7,6,-12.4153,-14.9708,-10.8585,4.1123,0.3312,-1.1879,-1.1879,-13.783,-9.6706,-11.7268,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,135.3
rigid,head_on,0.8,1.0,7,6,-10.7525,-14.465,-7.4823,6.9827,0.6494,-1.1879,-1.1879,-13.2771,-6.2944,-9.7858,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,136.7
rigid,head_on,0.8,1.2,7,6,-9.5766,-11.899,-7.952,3.9469,0.4121,-1.1879,-1.1879,-10.7111,-6.7641,-8.7376,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,112.3
rigid,head_on,1.2,0.8,7,6,8.6909,5.4694,11.5327,6.0633,0.6977,1.904,1.904,3.5654,9.6287,6.597,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,116.0
rigid,head_on,1.2,1.2,7,6,12.2808,9.0105,13.8904,4.8799,0.3974,1.904,1.904,7.1065,11.9864,9.5464,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,89.9
rigid,head_on,1.2,1.0,7,6,11.515,9.2901,13.4405,4.1504,0.3604,1.904,1.904,7.3861,11.5365,9.4613,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,146.9
rigid,parallel,0.8,1.2,7,6,-5.3365,-6.7457,-4.0142,2.7315,0.5119,-0.3436,-0.3436,-6.4021,-3.6706,-5.0363,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,87.1
rigid,parallel,0.8,0.8,7,6,-8.7399,-11.5564,-6.5797,4.9767,0.5694,-0.3436,-0.3436,-11.2128,-6.2361,-8.7245,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,149.1
rigid,parallel,0.8,1.0,7,6,-6.5136,-7.9124,-4.1577,3.7548,0.5765,-0.3436,-0.3436,-7.5688,-3.8141,-5.6915,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,148.0
rigid,parallel,1.2,0.8,7,6,8.1992,5.9252,10.79,4.8648,0.5933,2.4168,2.4168,3.5085,8.3732,5.9408,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,90.4
rigid,parallel,1.2,1.2,7,6,9.6439,7.9824,12.2728,4.2904,0.4449,2.4168,2.4168,5.5656,9.856,7.7108,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,94.5
rigid,crossing,0.8,1.0,7,6,-8.091,-10.0902,-6.6527,3.4375,0.4249,-1.0165,-1.0165,-9.0737,-5.6362,-7.3549,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,102.6
rigid,parallel,1.2,1.0,7,6,8.5235,5.9576,10.4139,4.4564,0.5228,2.4168,2.4168,3.5408,7.9971,5.7689,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,158.1
rigid,crossing,0.8,1.2,7,6,-6.4701,-7.2661,-5.6293,1.6368,0.253,-1.0165,-1.0165,-6.2496,-4.6128,-5.4312,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,103.1
rigid,crossing,0.8,0.8,7,6,-10.1914,-11.2209,-7.6918,3.5291,0.3463,-1.0165,-1.0165,-10.2044,-6.6753,-8.4398,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,162.8
rigid,crossing,1.2,0.8,7,6,6.4764,4.7344,7.3146,2.5802,0.3984,1.3351,1.3351,3.3993,5.9795,4.6894,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,101.2
rigid,crossing,1.2,1.0,7,6,7.5336,4.0756,8.8809,4.8053,0.6379,1.3351,1.3351,2.7405,7.5458,5.1432,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,91.7
rigid,crossing,1.2,1.2,7,6,9.7643,7.195,12.6135,5.4185,0.5549,1.3351,1.3351,5.8599,11.2783,8.5691,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,30,39,39,1,119.5
