severity,omega_deg,geometry,eta_r,model,J_manoeuvre,J_hold,C_reposition,path_length,manoeuvre_turns,heading_dispersion_deg,min_range
gentle,20.0,head_on,1.0,rigid_line_ahead,-2.3828,0.0,-2.3828,30.0,1,0.0,2.778
gentle,20.0,head_on,1.0,leader_follower,-5.4401,0.0,-5.4401,29.97,1,10.0,1.911
gentle,20.0,parallel,1.2,rigid_line_ahead,14.5707,13.1257,1.445,30.0,1,0.0,5.743
gentle,20.0,parallel,1.2,leader_follower,12.0684,13.1257,-1.0573,29.97,1,10.0,6.596
gentle,20.0,crossing,0.8,rigid_line_ahead,-1.6086,-3.3961,1.7875,30.0,1,0.0,9.267
gentle,20.0,crossing,0.8,leader_follower,0.1122,-3.3961,3.5083,29.97,1,10.0,10.12
medium,40.0,head_on,1.0,rigid_line_ahead,-5.6584,0.0,-5.6584,30.0,1,0.0,5.144
medium,40.0,head_on,1.0,leader_follower,-6.355,0.0,-6.355,29.882,1,20.0,3.734
medium,40.0,parallel,1.2,rigid_line_ahead,18.7382,13.1257,5.6124,30.0,1,0.0,1.714
medium,40.0,parallel,1.2,leader_follower,14.5828,13.1257,1.457,29.882,1,20.0,2.251
medium,40.0,crossing,0.8,rigid_line_ahead,-5.8593,-3.3961,-2.4631,30.0,1,0.0,6.54
medium,40.0,crossing,0.8,leader_follower,-1.3893,-3.3961,2.0069,29.882,1,20.0,8.226
tight,60.0,head_on,1.0,rigid_line_ahead,-6.748,0.0,-6.748,30.0,1,0.0,6.928
tight,60.0,head_on,1.0,leader_follower,-9.7795,0.0,-9.7795,29.737,1,30.0,5.032
tight,60.0,parallel,1.2,rigid_line_ahead,24.5349,13.1257,11.4092,30.0,1,0.0,5.017
tight,60.0,parallel,1.2,leader_follower,15.6241,13.1257,2.4984,29.737,1,30.0,4.033
tight,60.0,crossing,0.8,rigid_line_ahead,0.0052,-3.3961,3.4014,30.0,1,0.0,2.84
tight,60.0,crossing,0.8,leader_follower,-4.1722,-3.3961,-0.7761,29.737,1,30.0,5.218
