model,geometry,eta_r,corridor_halfwidth,intensity,n_base,n_surviving,c_resp,mean_direct_loss,n_threatened,threat
rigid_line_ahead,head_on,1.0,3.0,0.5,45,40,0.1111,3.767,5235,narrow_weak
rigid_line_ahead,head_on,1.0,3.0,2.0,45,30,0.3333,3.767,5235,narrow_strong
rigid_line_ahead,head_on,1.0,8.0,0.5,45,40,0.1111,1.2027,13145,broad_weak
rigid_line_ahead,head_on,1.0,8.0,2.0,45,30,0.3333,1.2027,13145,broad_strong
rigid_line_ahead,head_on,1.0,14.0,0.5,45,40,0.1111,-0.3425,15625,wide_weak
rigid_line_ahead,head_on,1.0,14.0,2.0,45,30,0.3333,-0.3425,15625,wide_strong
leader_follower,head_on,1.0,3.0,0.5,246,246,0.0,5.9723,6875,narrow_weak
leader_follower,head_on,1.0,3.0,2.0,246,32,0.8699,5.9723,6875,narrow_strong
leader_follower,head_on,1.0,8.0,0.5,246,246,0.0,-0.206,15625,broad_weak
leader_follower,head_on,1.0,8.0,2.0,246,32,0.8699,-0.206,15625,broad_strong
leader_follower,head_on,1.0,14.0,0.5,246,246,0.0,-0.206,15625,wide_weak
leader_follower,head_on,1.0,14.0,2.0,246,32,0.8699,-0.206,15625,wide_strong
rigid_line_ahead,parallel,1.2,3.0,0.5,20,20,0.0,7.7514,5235,narrow_weak
rigid_line_ahead,parallel,1.2,3.0,2.0,20,20,0.0,7.7514,5235,narrow_strong
rigid_line_ahead,parallel,1.2,8.0,0.5,20,20,0.0,8.3562,13145,broad_weak
rigid_line_ahead,parallel,1.2,8.0,2.0,20,20,0.0,8.3562,13145,broad_strong
rigid_line_ahead,parallel,1.2,14.0,0.5,20,20,0.0,8.3252,15625,wide_weak
rigid_line_ahead,parallel,1.2,14.0,2.0,20,20,0.0,8.3252,15625,wide_strong
leader_follower,parallel,1.2,3.0,0.5,22,22,0.0,7.9081,6875,narrow_weak
leader_follower,parallel,1.2,3.0,2.0,22,22,0.0,7.9081,6875,narrow_strong
leader_follower,parallel,1.2,8.0,0.5,22,22,0.0,8.149,15625,broad_weak
leader_follower,parallel,1.2,8.0,2.0,22,6,0.7273,8.149,15625,broad_strong
leader_follower,parallel,1.2,14.0,0.5,22,22,0.0,8.149,15625,wide_weak
leader_follower,parallel,1.2,14.0,2.0,22,6,0.7273,8.149,15625,wide_strong
rigid_line_ahead,crossing,0.8,3.0,0.5,10,10,0.0,-4.3389,5235,narrow_weak
rigid_line_ahead,crossing,0.8,3.0,2.0,10,10,0.0,-4.3389,5235,narrow_strong
rigid_line_ahead,crossing,0.8,8.0,0.5,10,10,0.0,-5.5238,13145,broad_weak
rigid_line_ahead,crossing,0.8,8.0,2.0,10,10,0.0,-5.5238,13145,broad_strong
rigid_line_ahead,crossing,0.8,14.0,0.5,10,10,0.0,-6.3937,15625,wide_weak
rigid_line_ahead,crossing,0.8,14.0,2.0,10,10,0.0,-6.3937,15625,wide_strong
leader_follower,crossing,0.8,3.0,0.5,6,6,0.0,-2.6512,6875,narrow_weak
leader_follower,crossing,0.8,3.0,2.0,6,6,0.0,-2.6512,6875,narrow_strong
leader_follower,crossing,0.8,8.0,0.5,6,6,0.0,-4.9521,15625,broad_weak
leader_follower,crossing,0.8,8.0,2.0,6,0,1.0,-4.9521,15625,broad_strong
leader_follower,crossing,0.8,14.0,0.5,6,6,0.0,-4.9521,15625,wide_weak
leader_follower,crossing,0.8,14.0,2.0,6,0,1.0,-4.9521,15625,wide_strong
