geometry,eta_r,eta_v,grid,H,V_restricted,lower_bound,upper_bound,bound_width,relative_gap,LB_1,UB_1,P_lower,P_upper,point_estimate,sign_certified,certified_sign,expected_sign,solver_status,n_full_strategies,DO_iterations,restricted_rows,restricted_cols,num_payoff_evals,runtime_sec
head_on,0.8,0.8,7,6,-12.1263,-12.6322,-12.0431,0.5891,0.0486,-1.7128,-1.7128,-10.9194,-10.3303,-10.6248,1,-1,-1,tight,117649,36,70,70,0,144.5
head_on,0.8,1.0,7,6,-12.1916,-13.7795,-11.8985,1.881,0.1543,-1.7128,-1.7128,-12.0667,-10.1857,-11.1262,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,158.9
head_on,0.8,1.2,7,6,-10.67,-11.3591,-9.5148,1.8443,0.1728,-1.7128,-1.7128,-9.6463,-7.802,-8.7242,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,158.7
head_on,1.2,1.0,7,6,13.3117,13.0568,13.7316,0.6748,0.0507,3.2123,3.2123,9.8445,10.5192,10.1819,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,156.0
head_on,1.2,0.8,7,6,12.2162,11.4982,12.6088,1.1107,0.0909,3.2123,3.2123,8.2858,9.3965,8.8412,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,161.0
head_on,1.2,1.2,7,6,12.9994,12.0389,13.6893,1.6505,0.127,3.2123,3.2123,8.8265,10.477,9.6518,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,151.9
parallel,0.8,0.8,7,6,-8.6337,-9.2857,-7.9304,1.3553,0.157,-1.0686,-1.0686,-8.2171,-6.8618,-7.5394,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,153.8
parallel,0.8,1.2,7,6,-6.0943,-6.5913,-5.6857,0.9056,0.1486,-1.0686,-1.0686,-5.5227,-4.6171,-5.0699,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,153.5
parallel,0.8,1.0,7,6,-6.7779,-7.6733,-6.2459,1.4274,0.2106,-1.0686,-1.0686,-6.6047,-5.1773,-5.891,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,158.0
parallel,1.2,0.8,7,6,7.913,7.5385,8.5384,0.9999,0.1264,1.3351,1.3351,6.2034,7.2034,6.7034,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,158.1
parallel,1.2,1.0,7,6,9.1565,8.0533,9.8952,1.8419,0.2012,1.3351,1.3351,6.7182,8.5601,7.6392,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,174.1
parallel,1.2,1.2,7,6,9.6988,8.7931,12.6205,3.8273,0.3946,1.3351,1.3351,7.4581,11.2854,9.3717,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,176.5
crossing,0.8,0.8,7,6,-8.8283,-9.7882,-8.1853,1.6029,0.1816,-1.0165,-1.0165,-8.7717,-7.1688,-7.9702,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,173.4
crossing,0.8,1.0,7,6,-8.9271,-9.4106,-8.7252,0.6854,0.0768,-1.0165,-1.0165,-8.3941,-7.7087,-8.0514,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,172.1
crossing,0.8,1.2,7,6,-7.2105,-8.1875,-6.4344,1.7531,0.2431,-1.0165,-1.0165,-7.171,-5.4179,-6.2944,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,177.8
crossing,1.2,0.8,7,6,6.4917,5.7483,7.3191,1.5708,0.242,1.3351,1.3351,4.4132,5.984,5.1986,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,147.1
crossing,1.2,1.0,7,6,8.2307,7.6492,9.2448,1.5955,0.1938,1.3351,1.3351,6.3141,7.9096,7.1119,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,142.8
crossing,1.2,1.2,7,6,10.1165,8.8462,12.1222,3.276,0.3238,1.3351,1.3351,7.5111,10.7871,9.1491,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,117649,40,75,75,0,141.7
