geometry,eta_r,eta_v,T,grid,n_seeds,C1,C1_lo,C1_hi,C1_significant,V1,sd1,C2,C2_lo,C2_hi,C2_significant,V2,sd2,C3,C3_lo,C3_hi,C3_significant,V3,sd3,C6,C6_lo,C6_hi,C6_significant,V6,sd6,expect_sign,C6_matches_expect,seconds
crossing,0.8,1.0,4,5,100,0.0,0.0,0.0,0,-5.5339,1.9578,-0.9445,-1.2494,-0.6615,1,-6.4784,2.0253,-0.1745,-0.4809,0.111,0,-5.7084,1.1131,-0.5919,-0.8572,-0.3209,1,-6.1258,1.0506,-1,1,20.4
parallel,0.8,1.0,4,5,100,0.0,0.0,0.0,0,-5.0393,2.8577,-0.1646,-0.7038,0.3854,0,-5.2039,2.4409,-0.2095,-0.7407,0.3052,0,-5.2488,1.2955,-0.6983,-1.2146,-0.1914,1,-5.7376,1.0123,-1,1,22.6
head_on,0.8,1.0,4,5,100,0.0,0.0,0.0,0,-11.6515,6.0102,1.0166,-0.3998,2.4588,0,-10.6349,6.9361,1.5331,0.3866,2.6903,1,-10.1184,4.3335,1.5128,0.3136,2.7155,1,-10.1387,4.7358,-1,0,23.1
head_on,1.2,1.0,4,5,100,0.0,0.0,0.0,0,11.512,6.9482,-2.039,-4.0429,-0.039,1,9.473,6.6166,-2.4086,-4.0872,-0.7025,1,9.1034,4.5776,-2.4041,-4.0583,-0.7165,1,9.1079,4.4894,1,0,24.3
parallel,1.2,1.0,4,5,100,0.0,0.0,0.0,0,6.9511,4.3188,0.078,-0.9167,0.9984,0,7.0291,2.2532,-0.4843,-1.4498,0.4443,0,6.4668,1.5197,-0.1938,-1.1479,0.7191,0,6.7573,1.5937,1,0,24.8
crossing,1.2,1.0,4,5,100,0.0,0.0,0.0,0,1.227,6.2881,3.1268,1.7798,4.5321,1,4.3538,3.1113,4.0852,2.589,5.6702,1,5.3122,2.6658,3.8661,2.5377,5.2654,1,5.0931,2.1212,1,1,23.2
parallel,0.8,1.0,6,5,100,0.0,0.0,0.0,0,-9.9652,6.2521,0.9404,-0.596,2.4749,0,-9.0247,6.3033,2.245,0.5806,3.9068,1,-7.7201,6.9069,0.6539,-0.9271,2.2013,0,-9.3112,7.0601,-1,0,148.3
parallel,1.2,1.0,6,5,100,0.0,0.0,0.0,0,12.1788,7.4189,0.0602,-1.6036,1.8025,0,12.239,7.2635,-0.8185,-2.9709,1.3566,0,11.3603,10.1781,-2.6431,-5.0615,-0.1867,1,9.5357,10.2849,1,0,152.4
head_on,1.2,1.0,6,5,100,0.0,0.0,0.0,0,15.4941,8.7528,-4.5451,-7.127,-1.9666,1,10.949,10.3524,-3.2364,-5.6744,-0.7807,1,12.2577,8.7043,-2.7908,-5.4033,-0.2176,1,12.7033,10.8697,1,0,156.0
head_on,0.8,1.0,6,5,100,0.0,0.0,0.0,0,-13.3817,6.8645,1.1113,-0.68,2.9302,0,-12.2704,8.5733,2.5619,0.7632,4.3365,1,-10.8198,6.8351,1.1915,-0.7192,3.074,0,-12.1902,7.347,-1,0,158.3
crossing,0.8,1.0,6,5,100,0.0,0.0,0.0,0,-9.5793,7.3058,1.1355,-0.5614,2.8634,0,-8.4438,6.6149,1.0899,-0.7015,2.9116,0,-8.4895,5.7553,-0.0527,-2.1564,2.0569,0,-9.632,7.6167,-1,1,157.0
crossing,1.2,1.0,6,5,100,0.0,0.0,0.0,0,2.99,6.6248,5.5211,3.267,7.7293,1,8.5111,9.9398,9.9085,7.0027,12.8768,1,12.8985,11.7405,6.7519,4.8716,8.5773,1,9.7419,9.4569,1,1,155.2
crossing,0.8,1.0,8,5,100,0.0,0.0,0.0,0,-11.9575,8.7103,1.4985,-0.505,3.5221,0,-10.459,8.7056,0.7861,-1.307,2.9319,0,-11.1714,7.6333,0.8915,-1.7999,3.5403,0,-11.066,10.3143,-1,0,4581.5
parallel,1.2,1.0,8,5,100,0.0,0.0,0.0,0,15.7853,6.7978,-2.7845,-4.4621,-0.9258,1,13.0008,7.1414,-5.0978,-6.936,-3.2409,1,10.6875,6.653,-4.0038,-6.1451,-1.8366,1,11.7814,9.4371,1,0,4729.0
parallel,0.8,1.0,8,5,100,0.0,0.0,0.0,0,-12.0921,8.3137,0.9464,-1.0479,3.0898,0,-11.1457,7.2826,0.0821,-2.0439,2.3724,0,-12.01,7.4934,0.0365,-2.2204,2.3332,0,-12.0556,8.655,-1,0,4812.4
head_on,1.2,1.0,8,5,100,0.0,0.0,0.0,0,13.7449,10.5628,3.4531,0.826,6.0038,1,17.198,9.8021,2.5976,-0.2425,5.3599,0,16.3425,9.7242,-1.9041,-4.6251,0.8397,0,11.8407,9.4568,1,0,4815.5
head_on,0.8,1.0,8,5,100,0.0,0.0,0.0,0,-17.606,9.8477,2.3319,-0.6654,5.2999,0,-15.2741,11.9843,4.5864,1.7255,7.455,1,-13.0196,11.0221,2.822,0.1011,5.3866,1,-14.7839,9.9765,-1,0,4822.8
crossing,1.2,1.0,8,5,100,0.0,0.0,0.0,0,14.2527,9.926,0.9735,-1.6933,3.6725,0,15.2262,13.3199,-1.8008,-4.2779,0.5733,0,12.4519,10.7381,-1.2997,-3.744,1.0723,0,12.953,11.225,1,0,2838.9
