geometry,eta_r,eta_v,T,grid,n_seeds,C1,C1_lo,C1_hi,C1_significant,V1,sd1,C2,C2_lo,C2_hi,C2_significant,V2,sd2,C3,C3_lo,C3_hi,C3_significant,V3,sd3,C6,C6_lo,C6_hi,C6_significant,V6,sd6,expect_sign,C6_matches_expect,seconds
head_on,0.8,0.8,6,5,200,0.0,0.0,0.0,0,-15.6809,10.0331,3.2413,1.5591,4.8833,1,-12.4396,9.8495,0.7144,-1.1461,2.5203,0,-14.9665,11.316,1.7282,-0.118,3.5886,0,-13.9528,11.3077,-1,0,151.2
head_on,0.8,1.2,6,5,200,0.0,0.0,0.0,0,-15.9758,8.9961,5.7523,4.2369,7.2597,1,-10.2236,8.9105,3.3719,2.1673,4.5327,1,-12.6039,10.1861,2.8214,1.4208,4.215,1,-13.1544,11.0613,-1,0,176.6
head_on,1.2,0.8,6,5,200,0.0,0.0,0.0,0,10.6048,11.746,6.5469,4.6411,8.426,1,17.1517,9.5761,3.7916,1.6358,5.8591,1,14.3964,9.5996,3.0393,0.7469,5.3473,1,13.6442,11.5256,1,1,182.9
head_on,1.2,1.0,6,5,200,0.0,0.0,0.0,0,14.2613,8.7499,1.7209,-0.4492,3.9214,0,15.9822,13.5586,-0.6094,-2.4406,1.2385,0,13.6519,10.3304,-2.4095,-4.4714,-0.3372,1,11.8518,11.9884,1,0,184.4
head_on,0.8,1.0,6,5,200,0.0,0.0,0.0,0,-14.2768,8.1968,2.8828,1.5226,4.2469,1,-11.3941,7.423,3.8716,2.5877,5.1667,1,-10.4052,5.903,2.6115,1.3464,3.9103,1,-11.6653,6.4226,-1,0,189.4
head_on,1.2,1.2,6,5,200,0.0,0.0,0.0,0,7.2437,9.562,2.1362,0.6897,3.5483,1,9.3799,8.0561,1.9835,0.4075,3.4461,1,9.2272,6.5475,1.7431,-0.0764,3.5064,0,8.9868,8.969,1,1,143.6
parallel,0.8,0.8,6,5,200,0.0,0.0,0.0,0,-9.3618,7.203,-2.3415,-3.7276,-0.9566,1,-11.7033,7.4571,-1.1927,-2.2848,-0.0994,1,-10.5546,4.9638,-2.012,-3.2157,-0.7645,1,-11.3738,5.841,-1,1,182.3
parallel,0.8,1.0,6,5,200,0.0,0.0,0.0,0,-9.2417,6.0917,-1.7554,-2.7982,-0.6824,1,-10.9971,5.6955,-0.1741,-1.3524,1.0258,0,-9.4157,6.4152,0.0711,-1.1458,1.2832,0,-9.1705,6.6134,-1,0,182.1
parallel,0.8,1.2,6,5,200,0.0,0.0,0.0,0,-8.7222,6.1598,0.809,-0.1274,1.7626,0,-7.9133,4.6157,-1.0248,-2.0309,0.0224,0,-9.747,4.4668,2.3753,1.0841,3.6887,1,-6.3469,7.2064,-1,0,189.0
parallel,1.2,0.8,6,5,200,0.0,0.0,0.0,0,10.3027,6.982,1.4411,0.1974,2.6799,1,11.7438,6.5001,-0.7255,-2.0191,0.5385,0,9.5773,6.6087,-0.1589,-1.5536,1.1925,0,10.1438,7.2682,1,0,199.7
parallel,1.2,1.0,6,5,200,0.0,0.0,0.0,0,10.8021,7.414,-1.1364,-2.3927,0.1116,0,9.6657,6.4324,-1.8831,-3.2976,-0.4888,1,8.919,7.1015,-1.4305,-3.1398,0.2741,0,9.3716,10.2227,1,0,169.8
parallel,1.2,1.2,6,5,200,0.0,0.0,0.0,0,11.5431,8.6955,-0.4334,-1.8923,0.983,0,11.1097,7.448,0.5041,-1.1371,2.0727,0,12.0472,7.1478,-1.3019,-3.1744,0.5844,0,10.2412,9.7467,1,0,173.3
crossing,0.8,1.0,6,5,200,0.0,0.0,0.0,0,-9.7595,8.3898,3.2481,1.8484,4.6471,1,-6.5114,7.4035,1.6128,-0.0117,3.2272,0,-8.1467,8.7754,1.741,0.2219,3.2925,1,-8.0185,7.1515,-1,0,164.9
crossing,0.8,0.8,6,5,200,0.0,0.0,0.0,0,-14.4249,12.5437,3.9057,1.9657,5.8052,1,-10.5191,10.314,4.0762,1.8985,6.1928,1,-10.3487,10.1126,2.1104,-0.1312,4.3572,0,-12.3144,11.6995,-1,0,182.8
crossing,0.8,1.2,6,5,200,0.0,0.0,0.0,0,-6.0892,4.6402,-0.5045,-1.0729,0.0565,0,-6.5937,3.3223,-1.6775,-2.5978,-0.7882,1,-7.7666,4.9731,-0.3341,-1.3873,0.6098,0,-6.4233,6.8227,-1,1,165.4
crossing,1.2,0.8,6,5,200,0.0,0.0,0.0,0,2.3401,5.3769,1.3185,0.3043,2.2922,1,3.6586,5.9032,4.5417,3.5486,5.5777,1,6.8818,7.1108,5.1079,4.1043,6.1609,1,7.4481,7.4847,1,1,157.7
crossing,1.2,1.0,6,5,200,0.0,0.0,0.0,0,6.1352,8.7303,-1.216,-2.5734,0.1137,0,4.9192,7.9051,0.6916,-0.6687,2.0313,0,6.8269,8.1107,2.2274,0.9797,3.4661,1,8.3626,7.7425,1,1,141.5
crossing,1.2,1.2,6,5,200,0.0,0.0,0.0,0,13.4546,9.8037,-0.9896,-2.4688,0.5148,0,12.465,9.28,-3.5709,-5.2565,-1.9445,1,9.8837,9.9508,-2.2452,-4.2077,-0.2987,1,11.2093,10.9537,1,0,151.3
