model,geometry,eta_r,eta_v,grid,H,V_restricted,lower_bound,upper_bound,bound_width,relative_gap,LB_1,UB_1,P_lower,P_upper,point_estimate,sign_certified,certified_sign,expected_sign,solver_status,n_full_strategies,DO_iterations,restricted_rows,restricted_cols,h1_exact,runtime_sec
lf,head_on,0.8,1.2,5,6,-11.6315,-13.3413,-10.3219,3.0194,0.2596,-1.1879,-1.1879,-12.1534,-9.134,-10.6437,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,37.9
lf,head_on,0.8,1.0,5,6,-11.1173,-12.5838,-9.0658,3.518,0.3164,-1.1879,-1.1879,-11.3959,-7.8779,-9.6369,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,38.7
lf,head_on,1.2,1.0,5,6,11.9518,10.4506,13.6872,3.2367,0.2708,1.904,1.904,8.5465,11.7832,10.1649,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,39.1
lf,head_on,1.2,0.8,5,6,11.4274,9.8337,12.7308,2.8972,0.2535,1.904,1.904,7.9297,10.8268,9.3782,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,39.8
lf,head_on,0.8,0.8,5,6,-12.6267,-13.6528,-11.1131,2.5397,0.2011,-1.1879,-1.1879,-12.4649,-9.9252,-11.1951,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,40.4
lf,parallel,0.8,0.8,5,6,-9.0266,-10.1614,-8.2129,1.9485,0.2159,-0.3436,-0.3436,-9.8178,-7.8693,-8.8436,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,37.1
lf,parallel,0.8,1.0,5,6,-7.2931,-9.4754,-5.9951,3.4803,0.4772,-0.3436,-0.3436,-9.1318,-5.6515,-7.3917,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,37.0
lf,head_on,1.2,1.2,5,6,8.7649,7.383,10.0682,2.6852,0.3064,1.904,1.904,5.479,8.1642,6.8216,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,41.7
lf,parallel,0.8,1.2,5,6,-5.9655,-6.8123,-4.5481,2.2642,0.3795,-0.3436,-0.3436,-6.4687,-4.2045,-5.3366,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,40.8
lf,parallel,1.2,0.8,5,6,8.313,7.1558,9.686,2.5302,0.3044,2.4168,2.4168,4.7391,7.2692,6.0041,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,41.2
lf,parallel,1.2,1.0,5,6,9.0198,7.8249,11.3016,3.4767,0.3855,2.4168,2.4168,5.4081,8.8848,7.1465,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,24.5
lf,parallel,1.2,1.2,5,6,10.6052,8.797,12.1475,3.3504,0.3159,2.4168,2.4168,6.3802,9.7307,8.0555,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,24.3
lf,crossing,0.8,1.2,5,6,-6.4621,-6.6462,-6.3987,0.2476,0.0383,-1.0165,-1.0165,-5.6297,-5.3822,-5.5059,1,-1,-1,tight,15625,29,37,37,1,40.2
lf,crossing,0.8,0.8,5,6,-9.6456,-10.4584,-8.7017,1.7566,0.1821,-1.0165,-1.0165,-9.4419,-7.6852,-8.5635,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,45.4
lf,crossing,1.2,0.8,5,6,5.7562,5.3205,6.1104,0.7899,0.1372,1.3351,1.3351,3.9853,4.7752,4.3803,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,24.7
lf,crossing,0.8,1.0,5,6,-7.9457,-8.3729,-7.7764,0.5965,0.0751,-1.0165,-1.0165,-7.3563,-6.7598,-7.0581,1,-1,-1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,44.8
lf,crossing,1.2,1.0,5,6,7.241,7.1464,7.7237,0.5773,0.0797,1.3351,1.3351,5.8113,6.3886,6.1,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,25.1
lf,crossing,1.2,1.2,5,6,10.375,9.7527,10.953,1.2004,0.1157,1.3351,1.3351,8.4175,9.6179,9.0177,1,1,1,SIGN-CERTIFIED/VALUE-LOOSE,15625,30,39,39,1,44.1
