geometry,eta_r,eta_v,P6_lf,P6_rigid,sign_lf,sign_rigid,sign_match
head_on,0.8,1.2,-10.6437,-9.4896,-1,-1,1
head_on,0.8,1.0,-9.6369,-9.3543,-1,-1,1
head_on,1.2,1.0,10.1649,9.2749,1,1,1
head_on,1.2,0.8,9.3782,7.2569,1,1,1
head_on,0.8,0.8,-11.1951,-9.7789,-1,-1,1
parallel,0.8,0.8,-8.8436,-8.5347,-1,-1,1
parallel,0.8,1.0,-7.3917,-5.5955,-1,-1,1
head_on,1.2,1.2,6.8216,9.5078,1,1,1
parallel,0.8,1.2,-5.3366,-5.5403,-1,-1,1
parallel,1.2,0.8,6.0041,5.2541,1,1,1
parallel,1.2,1.0,7.1465,6.6526,1,1,1
parallel,1.2,1.2,8.0555,7.6222,1,1,1
crossing,0.8,1.2,-5.5059,-6.3629,-1,-1,1
crossing,0.8,0.8,-8.5635,-9.1807,-1,-1,1
crossing,1.2,0.8,4.3803,4.5634,1,1,1
crossing,0.8,1.0,-7.0581,-7.0967,-1,-1,1
crossing,1.2,1.0,6.1,7.2956,1,1,1
crossing,1.2,1.2,9.0177,8.6969,1,1,1
