phase,cell,entries,changed_above_1e_8,max_difference
discovery,crossing_0.7_blue_payoff,531441,0,0.0
discovery,crossing_0.7_red_payoff,531441,0,0.0
discovery,crossing_0.85_blue_payoff,531441,0,0.0
discovery,crossing_0.85_red_payoff,531441,0,0.0
discovery,crossing_1.15_blue_payoff,531441,0,0.0
discovery,crossing_1.15_red_payoff,531441,0,0.0
discovery,crossing_1.3_blue_payoff,531441,0,0.0
discovery,crossing_1.3_red_payoff,531441,0,0.0
discovery,crossing_1_blue_payoff,531441,0,0.0
discovery,crossing_1_red_payoff,531441,0,0.0
discovery,head_on_0.7_blue_payoff,531441,0,0.0
discovery,head_on_0.7_red_payoff,531441,0,0.0
discovery,head_on_0.85_blue_payoff,531441,0,0.0
discovery,head_on_0.85_red_payoff,531441,0,0.0
discovery,head_on_1.15_blue_payoff,531441,0,0.0
discovery,head_on_1.15_red_payoff,531441,0,0.0
discovery,head_on_1.3_blue_payoff,531441,0,0.0
discovery,head_on_1.3_red_payoff,531441,0,0.0
discovery,head_on_1_blue_payoff,531441,0,0.0
discovery,head_on_1_red_payoff,531441,0,0.0
discovery,parallel_0.7_blue_payoff,531441,0,0.0
discovery,parallel_0.7_red_payoff,531441,0,0.0
discovery,parallel_0.85_blue_payoff,531441,0,0.0
discovery,parallel_0.85_red_payoff,531441,0,0.0
discovery,parallel_1.15_blue_payoff,531441,0,0.0
discovery,parallel_1.15_red_payoff,531441,0,0.0
discovery,parallel_1.3_blue_payoff,531441,0,0.0
discovery,parallel_1.3_red_payoff,531441,0,0.0
discovery,parallel_1_blue_payoff,531441,0,0.0
discovery,parallel_1_red_payoff,531441,0,0.0
confirmatory,crossing_0.75_blue_payoff,531441,0,0.0
confirmatory,crossing_0.75_red_payoff,531441,0,0.0
confirmatory,crossing_0.9_blue_payoff,531441,0,0.0
confirmatory,crossing_0.9_red_payoff,531441,0,0.0
confirmatory,crossing_1.1_blue_payoff,531441,0,0.0
confirmatory,crossing_1.1_red_payoff,531441,0,0.0
confirmatory,crossing_1.25_blue_payoff,531441,0,0.0
confirmatory,crossing_1.25_red_payoff,531441,0,0.0
confirmatory,head_on_0.75_blue_payoff,531441,0,0.0
confirmatory,head_on_0.75_red_payoff,531441,0,0.0
confirmatory,head_on_0.9_blue_payoff,531441,0,0.0
confirmatory,head_on_0.9_red_payoff,531441,0,0.0
confirmatory,head_on_1.1_blue_payoff,531441,0,0.0
confirmatory,head_on_1.1_red_payoff,531441,0,0.0
confirmatory,head_on_1.25_blue_payoff,531441,0,0.0
confirmatory,head_on_1.25_red_payoff,531441,0,0.0
confirmatory,parallel_0.75_blue_payoff,531441,27,2.49980968689558
confirmatory,parallel_0.75_red_payoff,531441,18,2.49980968689558
capability,crossing_high_blue_payoff,531441,0,0.0
capability,crossing_high_red_payoff,531441,0,0.0
capability,crossing_low_blue_payoff,104976,0,0.0
capability,crossing_low_red_payoff,104976,0,0.0
capability,head_on_high_blue_payoff,531441,0,0.0
capability,head_on_high_red_payoff,531441,0,0.0
capability,head_on_low_blue_payoff,104976,0,0.0
capability,head_on_low_red_payoff,104976,0,0.0
capability,parallel_high_blue_payoff,531441,0,0.0
capability,parallel_high_red_payoff,531441,0,0.0
capability,parallel_low_blue_payoff,104976,0,0.0
capability,parallel_low_red_payoff,104976,0,0.0
