geometry,capability,focal,structure,V,LB,UB
head_on,low,blue,FF,3.851572759169193,3.851572759107597,3.8515727592307885
head_on,low,blue,CC,1.1682721575517903,1.1682721575517307,1.1682721575517947
head_on,low,blue,FC,6.952513488889494,6.952513488889494,6.952513488889493
head_on,low,blue,CF,-2.5336780933174183,-2.533678093317419,-2.533678093317419
head_on,low,red,FF,-3.851572759169191,-3.8515727592446956,-3.8515727590936866
head_on,low,red,CC,-1.1682721575517911,-1.1682721575517956,-1.1682721575515918
head_on,low,red,FC,2.533678093317418,2.5336780933174183,2.533678093317418
head_on,low,red,CF,-6.952513488889491,-6.952513488889491,-6.952513488889489
head_on,high,blue,FF,5.656331213744325,5.656331213738657,5.6563312137499935
head_on,high,blue,CC,2.7663674680948143,2.7663674680945913,2.766367468094848
head_on,high,blue,FC,8.830412318038462,8.830412318038462,8.83041231803846
head_on,high,blue,CF,-0.19402910801001327,-0.19402910801001316,-0.19402910801001302
head_on,high,red,FF,-5.656331213744323,-5.656331213745622,-5.656331213743025
head_on,high,red,CC,-2.7663674680948165,-2.766367468094887,-2.7663674680944776
head_on,high,red,FC,0.1940291080100114,0.19402910801001133,0.19402910801001144
head_on,high,red,CF,-8.83041231803846,-8.830412318038459,-8.830412318038462
parallel,low,blue,FF,0.0,-3.990585639712663e-12,3.990585639712663e-12
parallel,low,blue,CC,0.33813584234714855,0.3381358423471391,0.3381358423471517
parallel,low,blue,FC,0.9653256962181103,0.9653256962181093,0.9653256962181103
parallel,low,blue,CF,-0.421961499061872,-0.4219614990618712,-0.42196149906187125
parallel,low,red,FF,0.0,-1.5114576257246881e-12,1.5114576257246881e-12
parallel,low,red,CC,-0.338135842347147,-0.33813584234714983,-0.3381358423471307
parallel,low,red,FC,0.42196149906187136,0.42196149906187125,0.42196149906187125
parallel,low,red,CF,-0.9653256962181096,-0.9653256962181094,-0.9653256962181095
parallel,high,blue,FF,0.8628678550771256,0.8628678550735924,0.8628678550806588
parallel,high,blue,CC,2.0051194934717524,2.005119493471751,2.0051194934717533
parallel,high,blue,FC,4.43756736526625,4.437567365266249,4.43756736526625
parallel,high,blue,CF,0.008524779553473536,0.008524779553473194,0.00852477955347361
parallel,high,red,FF,-0.8628678550771246,-0.8628678550803265,-0.8628678550739227
parallel,high,red,CC,-2.0051194934717524,-2.0051194934717538,-2.005119493471752
parallel,high,red,FC,-0.008524779553473708,-0.008524779553473921,-0.008524779553473711
parallel,high,red,CF,-4.437567365266262,-4.437567365266262,-4.43756736526626
crossing,low,blue,FF,0.0,-3.8102465627076754e-10,3.8102465627076754e-10
crossing,low,blue,CC,0.2497873459237893,0.24978734592351337,0.24978734592379026
crossing,low,blue,FC,0.5704680003672623,0.5704680003672624,0.5704680003672624
crossing,low,blue,CF,-0.305984225257541,-0.3059842252575409,-0.3059842252575409
crossing,low,red,FF,0.0,-3.810232129808355e-10,3.810232129808355e-10
crossing,low,red,CC,-0.249787345923789,-0.2497873459237895,-0.24978734592355012
crossing,low,red,FC,0.3059842252575407,0.3059842252575409,0.30598422525754077
crossing,low,red,CF,-0.5704680003672622,-0.5704680003672622,-0.570468000367262
crossing,high,blue,FF,3.570349967800029,3.570349967799914,3.5703499678001434
crossing,high,blue,CC,1.5120919735266989,1.5120919735266978,1.5120919735266996
crossing,high,blue,FC,4.454866687358322,4.454866687358324,4.454866687358323
crossing,high,blue,CF,0.18711727206979156,0.18711727206979162,0.1871172720697916
crossing,high,red,FF,-3.570349967800019,-3.570349967804785,-3.570349967795253
crossing,high,red,CC,-1.5120919735267004,-1.5120919735267022,-1.5120919735266996
crossing,high,red,FC,-0.1871172720697914,-0.18711727206979145,-0.18711727206979178
crossing,high,red,CF,-4.454866687358315,-4.454866687358314,-4.454866687358312
