id,phase,geometry,contrast,opponent_policy,v_low,v_high,opponent_speed,F_low,F_high,M,LB,UB,interval_width,positive,reversal,strong_reversal,mirror_M_error,delta_Theta_0.9,delta_Theta_centroid_0.9,delta_Theta_hausdorff_0.9,delta_R_raw_0.9,delta_directed_drift_0.9,delta_centroid_drift_0.9,delta_hausdorff_0.9,delta_raw_ratio_0.9,delta_nonnegative_ratio_0.9,delta_opponent_heading_change_0.9,delta_Theta_0.8,delta_Theta_centroid_0.8,delta_Theta_hausdorff_0.8,delta_R_raw_0.8,delta_directed_drift_0.8,delta_centroid_drift_0.8,delta_hausdorff_0.8,delta_raw_ratio_0.8,delta_nonnegative_ratio_0.8,delta_opponent_heading_change_0.8,Theta_low,Theta_high
head_on_outer_F,confirmatory,head_on,outer,F,0.75,1.25,1.0,6.891310471474031,4.29930844343096,-2.592002028043071,-2.592002028043108,-2.5920020280430274,8.08242361927114e-14,False,True,True,1.7763568394002505e-15,-0.06442169499583122,-0.0603243038457649,-0.05063148450781958,-2.076750755733279,0.2194011413946244,-0.269427886890357,-0.6055512754639896,-0.41650124284287315,-0.0756311962315578,0.0,-0.07439953834683594,-0.06730031444967759,-0.05827741481998121,-1.376423719263961,0.0,-0.21569701968878707,-0.11550885656705567,-0.3594131412370029,-0.08774667225606955,0.0,0.06442169499583122,0.0
head_on_outer_C,confirmatory,head_on,outer,C,0.75,1.25,1.0,6.41470222191007,5.75307900930709,-0.6616232126029802,-0.6616232126033061,-0.6616232126026587,6.474820679613913e-13,False,True,True,8.881784197001252e-16,-0.06442169499583122,-0.0603243038457649,-0.05063148450781958,-2.076750755733279,0.2194011413946244,-0.269427886890357,-0.6055512754639896,-0.41650124284287315,-0.0756311962315578,0.0,-0.07439953834683594,-0.06730031444967759,-0.05827741481998121,-1.376423719263961,0.0,-0.21569701968878707,-0.11550885656705567,-0.3594131412370029,-0.08774667225606955,0.0,0.06442169499583122,0.0
head_on_inner_F,confirmatory,head_on,inner,F,0.9,1.1,1.0,6.438222005791608,3.953720692510542,-2.484501313281066,-2.4845013132811093,-2.4845013132810214,8.79296635503124e-14,False,True,True,2.042810365310288e-14,-0.03926001191961085,-0.03467959871894965,-0.026621856488728505,-0.8716930316928224,-0.04056941504209366,-0.4790487471190277,-0.8663363499918946,-0.18724332779492087,-0.04283943249435966,0.0,-0.0585335470952517,-0.052427371336467736,-0.034695987917446075,-0.8601695364818469,-0.0125800899116566,-0.508155379120125,-0.5112751423446085,-0.187643854753819,-0.06630019495145976,0.0,0.03926001191961085,0.0
head_on_inner_C,confirmatory,head_on,inner,C,0.9,1.1,1.0,4.457565210465074,4.946247096924555,0.4886818864594815,0.48868188641408317,0.4886818865048781,9.0794927132265e-11,True,False,False,7.105427357601002e-15,-0.03926001191961085,-0.03467959871894965,-0.026621856488728505,-0.8716930316928224,-0.04056941504209366,-0.4790487471190277,-0.8663363499918946,-0.18724332779492087,-0.04283943249435966,0.0,-0.0585335470952517,-0.052427371336467736,-0.034695987917446075,-0.8601695364818469,-0.0125800899116566,-0.508155379120125,-0.5112751423446085,-0.187643854753819,-0.06630019495145976,0.0,0.03926001191961085,0.0
parallel_outer_F,confirmatory,parallel,outer,F,0.75,1.25,1.0,4.854409981929622,1.8859971338787602,-2.9684128480508614,-2.9684128480508964,-2.968412848050826,7.061018436615996e-14,False,True,True,4.884981308350689e-15,-0.03364302753135777,-0.0300789218293801,-0.03269737706773787,-0.8692646142262234,0.2194011413946253,-0.269427886890357,-0.6055512754639896,-0.13570795439280184,-0.03193967876303391,0.0,-0.11632564970281492,-0.09627304896646532,-0.08751247772001267,-1.258402529068698,0.0,-0.21569701968878707,-0.11550885656705479,-0.3002203254089406,-0.168139399534186,0.0,0.1275833315744066,0.09394030404304883
parallel_outer_C,confirmatory,parallel,outer,C,0.75,1.25,1.0,2.3709686923769304,4.066351752200971,1.6953830598240405,1.695383059823187,1.695383059824894,1.7070789226636407e-12,True,False,False,3.552713678800501e-15,-0.03364302753135777,-0.0300789218293801,-0.03269737706773787,-0.8692646142262234,0.2194011413946253,-0.269427886890357,-0.6055512754639896,-0.13570795439280184,-0.03193967876303391,0.0,-0.11632564970281492,-0.09627304896646532,-0.08751247772001267,-1.258402529068698,0.0,-0.21569701968878707,-0.11550885656705479,-0.3002203254089406,-0.168139399534186,0.0,0.1275833315744066,0.09394030404304883
parallel_inner_F,confirmatory,parallel,inner,F,0.9,1.1,1.0,4.2069816275733025,3.0631536912791937,-1.1438279362941088,-1.143827936294136,-1.143827936294084,5.1958437552457326e-14,False,True,True,1.199040866595169e-14,-0.002407726454548245,-0.006457223084283356,-0.019914196954373686,-0.07940692513038139,-0.04056941504209455,-0.4790487471190268,-0.8663363499918946,-0.010989973764881214,0.005207991842903964,0.0,-0.0437748388857679,-0.0434799374789539,-0.05098184450121196,-0.5182172211581472,-0.0125800899116566,-0.508155379120125,-0.5112751423446085,-0.13261842630149176,-0.09043518225976843,0.0,0.1105748622816338,0.10816713582708555
parallel_inner_C,confirmatory,parallel,inner,C,0.9,1.1,1.0,3.0459921111694865,3.7716603881956154,0.7256682770261289,0.7256682770180074,0.7256682770342513,1.624389511789559e-11,True,False,False,2.842170943040401e-14,-0.002407726454548245,-0.006457223084283356,-0.019914196954373686,-0.07940692513038139,-0.04056941504209455,-0.4790487471190268,-0.8663363499918946,-0.010989973764881214,0.005207991842903964,0.0,-0.0437748388857679,-0.0434799374789539,-0.05098184450121196,-0.5182172211581472,-0.0125800899116566,-0.508155379120125,-0.5112751423446085,-0.13261842630149176,-0.09043518225976843,0.0,0.1105748622816338,0.10816713582708555
crossing_outer_F,confirmatory,crossing,outer,F,0.75,1.25,1.0,4.954937304996599,2.00871898296836,-2.9462183220282387,-2.9462183220282743,-2.9462183220282014,7.283063041541027e-14,False,True,True,8.881784197001252e-16,-0.08442621776104271,-0.08026077974313436,-0.06759966083313661,-0.7453013265808459,0.2194011413946244,-0.269427886890357,-0.6055512754639896,-0.21193331022560866,-0.11803765940942162,0.0,-0.0915834002978745,-0.08137740965915771,-0.07289816265163786,-0.6685104560365573,0.0,-0.21569701968878707,-0.11550885656705567,-0.230225598345921,-0.13562783058554717,0.0,0.11767129008904732,0.03324507232800461
crossing_outer_C,confirmatory,crossing,outer,C,0.75,1.25,1.0,1.8855462154045524,3.341220356564066,1.4556741411595138,1.455674141159355,1.4556741411596708,3.157474282033945e-13,True,False,False,1.0436096431476471e-14,-0.08442621776104271,-0.08026077974313436,-0.06759966083313661,-0.7453013265808459,0.2194011413946244,-0.269427886890357,-0.6055512754639896,-0.21193331022560866,-0.11803765940942162,0.0,-0.0915834002978745,-0.08137740965915771,-0.07289816265163786,-0.6685104560365573,0.0,-0.21569701968878707,-0.11550885656705567,-0.230225598345921,-0.13562783058554717,0.0,0.11767129008904732,0.03324507232800461
