phase,geometry,speed,alpha,n_epochs,n_defined,n_episodes_defined,negative_correction_fraction,zero_drift_fraction,outside_domain_fraction,Theta,Theta_centroid,Theta_hausdorff,R_raw,directed_drift,centroid_drift,hausdorff,raw_ratio,nonnegative_ratio,opponent_heading_change,Theta_probe_q25,Theta_probe_q75
discovery,head_on,0.7,0.9,192,192,32,0.4427083333333333,0.13541666666666666,0.21354166666666666,0.08549629567256148,0.0796552433629451,0.05548286065313354,0.5401948764344795,4.81730936919173,4.8803708991326396,6.793922072358022,0.04868319251883097,0.09831095291553167,60.0,0.0,0.3226396670628828
discovery,head_on,0.7,0.8,192,192,32,0.4635416666666667,0.13541666666666666,0.21354166666666666,0.07976765933371094,0.06667451603872511,0.052828555001804674,-0.13572211757639474,3.7722968705524664,4.6027924408338174,6.16227766016838,-0.05331529956558471,0.09502506628355513,60.0,0.0,0.30941310451520515
discovery,head_on,0.85,0.9,192,192,32,0.4895833333333333,0.13541666666666666,0.21354166666666666,0.05784616168397362,0.057267964785084446,0.045562712041822356,-0.2508899512005316,4.873692197561,5.5577955010083615,7.193767306409247,-0.06346781206610697,0.06593362411195948,60.0,0.0,0.21202036672446667
discovery,head_on,0.85,0.8,192,192,32,0.4895833333333333,0.13541666666666666,0.21354166666666666,0.04399350437378641,0.038791227177286405,0.031878081130632265,-0.9030385992100822,3.7722968705524664,4.538353973859537,5.99070478491457,-0.18775018280991024,0.049126543762687054,60.0,0.0,0.24813812333643825
discovery,head_on,1.0,0.9,192,192,32,0.5677083333333334,0.13541666666666666,0.2760416666666667,0.0,0.0,0.0,-0.9659327788897223,5.06105159898997,5.30139898629011,6.654861912834703,-0.2040002059576433,0.0,60.0,0.0,0.1907594042350039
discovery,head_on,1.0,0.8,192,192,32,0.5572916666666666,0.13541666666666666,0.2760416666666667,0.0,0.0,0.0,-1.4496434187551273,3.7785869155082947,4.751699885444399,6.558043945945933,-0.29052422026809327,0.0,60.0,0.0,0.1513979782683074
discovery,head_on,1.15,0.9,192,192,32,0.5885416666666666,0.13541666666666666,0.3072916666666667,0.0,0.0,0.0,-1.7298521359272914,4.857878784233826,5.024471012502462,6.327430956417352,-0.33358812428066625,0.0,60.0,0.0,0.1245617433714191
discovery,head_on,1.15,0.8,192,192,32,0.5729166666666666,0.13541666666666666,0.3072916666666667,0.0,0.0,0.0,-1.6687049287403677,3.7722968705524664,4.3604045163815845,6.046768803601324,-0.4324252275157193,0.0,60.0,0.0,0.08885155393102354
discovery,head_on,1.3,0.9,192,192,32,0.6354166666666666,0.13541666666666666,0.3333333333333333,0.0,0.0,0.0,-1.9987265113287511,4.997179806162406,4.989566332429753,6.327430956417352,-0.47054791953744046,0.0,60.0,0.0,0.06513875846658722
discovery,head_on,1.3,0.8,192,192,32,0.6041666666666666,0.13541666666666666,0.3333333333333333,0.0,0.0,0.0,-1.8896166173606486,3.7785869155082947,4.346113897916146,5.99070478491457,-0.4614004515087315,0.0,60.0,0.0,0.12475807690103607
