cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,complete,available,expected,unresolved,V_empty,V_full,adaptation_LB,adaptation_UB,max_gap,total_worker_seconds
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,True,32,32,0,-6.381095911095752,0.668851615692641,7.049945474718452,7.0499495788583335,3.1166343483768344e-06,239.8565210880115
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,True,32,32,0,0.23498781299269145,6.816069540555112,6.581080740056877,6.581082715068013,9.922236055004419e-07,565.8233835430074
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,True,32,32,0,-5.348411684396352,1.1102230246251565e-16,5.348410323112091,5.348414010359585,3.6907441103686184e-06,222.52759092099586
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,True,32,32,0,5.0385146284684935e-17,5.348411684396352,5.348410723209597,5.348412645578893,9.611869424573712e-07,497.29080716403405
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,True,32,32,0,-3.9652155470095187,-0.4932434260851135,3.4719710433851168,3.471974516908036,3.7711477401947135e-06,207.6402903739945
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,True,32,32,0,1.6250095132256526,7.01548369236023,5.390473158315031,5.390475199954109,1.0208196354888344e-06,468.98203766597726
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,True,32,32,0,-4.578523438872285,0.0,4.578521937406237,4.5785253425350065,3.019853877700605e-06,200.32265208192985
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,True,32,32,0,-0.6742303384252264,2.2004322158199763,2.874661766773582,2.8746633417167873,7.874716417832772e-07,386.5135684589477
parallel_v1_d16_T6_G3_none,parallel,1.0,16.0,6,3,none,development;robustness,F,40.34275873972791,False,0,32,,,,,,,
parallel_v1_d16_T6_G3_none,parallel,1.0,16.0,6,3,none,development;robustness,C,40.34275873972791,False,23,32,,,,,,,
