cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,K,S,LB,UB,V,selected_UB,gap
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,0,,-6.381096404848519,-6.381095417342985,-6.381095911095752,-6.381095417342985,9.875055333452565e-07
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,1,2,-1.3726878426403526,-1.3726866170047196,-1.372687229822536,-1.3726866170047196,1.2256356329842788e-06
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,2,"1,2",-0.12406986453110687,-0.12406859156997811,-0.12406922805054249,-0.12406859156997811,1.2729611287565223e-06
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,3,"1,2,4",0.16504677132597556,0.16504860550260625,0.1650476884142909,0.16504860550260625,1.834176630688411e-06
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,4,"1,2,3,4",0.5817203972536514,0.5817226264751324,0.5817215118643919,0.5817226264751324,2.229221480964938e-06
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,5,"1,2,3,4,5",0.6688500573754668,0.6688531740098151,0.668851615692641,0.6688531740098151,3.1166343483768344e-06
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,0,,0.23498731923986607,0.23498830674546733,0.23498781299269145,0.23498830674546733,9.8750560126315e-07
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,1,2,3.3281952385186235,3.328196226024159,3.328195732271391,3.328196226024159,9.875055355657025e-07
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,2,"1,2",4.914493513204755,4.914494500710291,4.9144940069575265,4.914494500710291,9.875055360097917e-07
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,3,"1,2,4",5.832311685223687,5.832312672729222,5.832312178976455,5.832312672729222,9.87505534233435e-07
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,4,"1,2,3,4",6.757480711336068,6.7574816988416,6.757481205088834,6.7574816988416,9.875055315688996e-07
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,5,"1,2,3,4,5",6.816069046802345,6.816070034307879,6.816069540555112,6.816070034307879,9.87505534233435e-07
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,0,,-5.34841216498753,-5.348411203805173,-5.348411684396352,-5.348411203805173,9.61182356817858e-07
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,1,1,-2.1465475524343445,-2.1465464366065854,-2.146546994520465,-2.1465464366065854,1.1158277590794796e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,2,"1,3",-8.806930820353289e-07,8.806930821279685e-07,4.6319744760489925e-17,8.806930821279685e-07,1.7613861641632973e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,3,"1,3",-8.806930820353289e-07,1.3220590130815433e-06,4.6319744760489925e-17,8.806930821279685e-07,2.202752095116872e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,4,"1,3",-8.806930820353289e-07,1.6825479680648483e-06,4.6319744760489925e-17,8.806930821279685e-07,2.5632410501001772e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,5,"1,3",-8.806930820353289e-07,1.8453720552953315e-06,4.6319744760489925e-17,8.806930821279685e-07,2.7260651373306606e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,0,,-4.805913658358656e-07,4.805955766215055e-07,5.0385146284684935e-17,4.805955766215055e-07,9.611869424573712e-07
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,1,3,2.14096729694949,2.140968258131842,2.1409677775406655,2.140968258131842,9.611823519328766e-07
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,2,"1,2",4.346614940572836,4.3466159017551895,4.346615421164014,4.3466159017551895,9.611823532651442e-07
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,3,"1,2,4",5.244630131044553,5.244631092226909,5.24463061163573,5.244631092226909,9.611823559296795e-07
