cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,mask,error,numerical_budget
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,0,0.0,6.728276468833717e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,1,2.6645352591003757e-15,7.037570771003577e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,2,3.1086244689504383e-15,7.519175019040692e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,3,2.220446049250313e-16,7.828465270894915e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,4,1.3322676295501878e-15,8.019392490928913e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,5,8.786243008227089e-17,8.328682728164327e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,6,1.7763568394002505e-15,8.690398266316725e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,7,2.220446049250313e-16,8.999688517523312e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,8,3.9968028886505635e-15,8.175000769191689e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,9,1.5543122344752192e-15,8.466519606261704e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,10,2.6645352591003757e-15,8.910099582123456e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,11,8.881784197001252e-16,9.20161841175435e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,12,3.552713678800501e-15,9.466108527674868e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,13,7.831973739641563e-17,9.757627378654983e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,14,2.6645352591003757e-15,1.012101158124006e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,15,2.220446049250313e-16,1.0412530466355234e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,16,0.0,8.511521101680676e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,17,2.220446049250313e-15,8.80304017545024e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,18,2.6645352591003757e-15,9.290896824750751e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,19,4.440892098500626e-16,9.582415709789618e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,20,2.220446049250313e-15,9.802628960528017e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,21,8.458988202537932e-17,1.0094147823299927e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,22,2.6645352591003757e-15,1.0468761132173034e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,23,2.220446049250313e-16,1.0760280017175939e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,24,3.552713678800501e-15,9.953477277476798e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,25,1.9984014443252818e-15,1.0244995862748231e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,26,2.220446049250313e-15,1.0682993337481951e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,27,8.881784197001252e-16,1.0974512220878235e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,28,2.6645352591003757e-15,1.1244584784605484e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,29,7.831973739641567e-17,1.153610362897213e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,30,3.1086244689504383e-15,1.1895881098374963e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,31,2.220446049250313e-16,1.2187399984372933e-05
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,0,1.0834755222357951e-16,6.728760208833325e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,1,4.440892098500626e-16,6.728282762465999e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,2,4.440892098500626e-16,6.728276459063754e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,3,1.7763568394002505e-15,6.72827646172829e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,4,0.0,6.7282764612842e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,5,1.3322676295501878e-15,6.7282764612842e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,6,5.329070518200751e-15,6.728276463060557e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,7,1.7763568394002505e-15,6.72827646172829e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,8,3.3306690738754696e-15,6.728276456621264e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,9,1.3322676295501878e-15,6.7282764612842e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,10,3.552713678800501e-15,6.728276460840111e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,11,8.881784197001252e-16,6.7282764635046464e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,12,4.440892098500626e-16,6.7282764595078435e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,13,1.7763568394002505e-15,6.728276440856097e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,14,5.329070518200751e-15,6.728276457731487e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,15,8.881784197001252e-16,6.728276456399219e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,16,2.3314683517128287e-15,6.728276468833717e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,17,4.440892098500626e-16,6.7282764606180666e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,18,1.3322676295501878e-15,6.7282764595078435e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,19,0.0,6.728276455511041e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,20,8.881784197001252e-16,6.7282764595078435e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,21,1.7763568394002505e-15,6.7282764612842e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,22,3.552713678800501e-15,6.728276462616468e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,23,0.0,6.728276462616468e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,24,3.9968028886505635e-15,6.728276471720297e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,25,1.7763568394002505e-15,6.728276462172379e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,26,2.220446049250313e-15,6.7282764595078435e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,27,1.7763568394002505e-15,6.728276354258701e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,28,1.7763568394002505e-15,6.728276460396022e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,29,1.3322676295501878e-15,6.728276458619665e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,30,2.6645352591003757e-15,6.728276456843308e-06
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,31,0.0,6.72827646705736e-06
