cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,rho,K_possible,K_certified,status
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,0.9,3,3,certified_minimal
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,0.95,4,4,certified_minimal
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,F,49.375276689423764,0.99,5,5,certified_minimal
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,0.9,4,4,certified_minimal
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,0.95,4,4,certified_minimal
head_on_v0.85_d16_T6_G3_none,head_on,0.85,16.0,6,3,none,development,C,49.375276689423764,0.99,4,4,certified_minimal
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,0.9,2,2,certified_minimal
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,0.95,2,2,certified_minimal
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,0.99,2,2,certified_minimal
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,0.9,3,3,certified_minimal
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,0.95,3,3,certified_minimal
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,0.99,4,4,certified_minimal
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,0.9,1,1,certified_minimal
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,0.95,1,1,certified_minimal
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,0.99,1,1,certified_minimal
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,0.9,2,2,certified_minimal
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,0.95,3,3,certified_minimal
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,0.99,4,4,certified_minimal
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,0.9,3,3,certified_minimal
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,0.95,3,3,certified_minimal
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,0.99,3,3,certified_minimal
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,0.9,2,2,certified_minimal
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,0.95,3,3,certified_minimal
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,0.99,4,4,certified_minimal
