cell,side,opponent,retention,W_full,target,K_certified,K_possible,absolute_loss_at_K0,K_star,note
head_on_v0.85_d16_T6_G3_none,blue,C,0.9,6.816069540555112,6.134462586499601,4,4,6.581081727562421,,
head_on_v0.85_d16_T6_G3_none,blue,C,0.95,6.816069540555112,6.475266063527356,4,4,6.581081727562421,,
head_on_v0.85_d16_T6_G3_none,blue,C,0.99,6.816069540555112,6.747908845149561,4,4,6.581081727562421,,
head_on_v0.85_d16_T6_G3_none,blue,F,0.9,0.668851615692641,0.6019664541233769,5,5,7.049947526788393,,
head_on_v0.85_d16_T6_G3_none,blue,F,0.95,0.668851615692641,0.6354090349080089,5,5,7.049947526788393,,
head_on_v0.85_d16_T6_G3_none,blue,F,0.99,0.668851615692641,0.6621630995357145,5,5,7.049947526788393,,
head_on_v1.15_d16_T6_G3_none,blue,C,0.9,7.01548369236023,6.313935323124207,2,2,5.390474179134578,,
head_on_v1.15_d16_T6_G3_none,blue,C,0.95,7.01548369236023,6.664709507742218,3,3,5.390474179134578,,
head_on_v1.15_d16_T6_G3_none,blue,C,0.99,7.01548369236023,6.945328855436628,4,4,5.390474179134578,,
head_on_v1.15_d16_T6_G3_none,blue,F,0.9,-0.4932434260851135,-0.4439190834766022,,,3.471972120924405,,
head_on_v1.15_d16_T6_G3_none,blue,F,0.95,-0.4932434260851135,-0.4685812547808578,,,3.471972120924405,,
head_on_v1.15_d16_T6_G3_none,blue,F,0.99,-0.4932434260851135,-0.48831099182426235,,,3.471972120924405,,
head_on_v1_d16_T6_G3_none,blue,C,0.9,5.348411684396352,4.813570515956717,3,3,5.348411684396352,,
head_on_v1_d16_T6_G3_none,blue,C,0.95,5.348411684396352,5.080991100176534,3,3,5.348411684396352,,
head_on_v1_d16_T6_G3_none,blue,C,0.99,5.348411684396352,5.294927567552388,4,4,5.348411684396352,,
head_on_v1_d16_T6_G3_none,blue,F,,4.440892098500626e-16,,,,,,"full-flexibility value unresolved/zero; budget expressed as absolute loss, not ratio"
head_on_v1_d16_T6_G3_none,red,C,0.9,5.348411684396352,4.813570515956717,3,3,5.348411684396352,,
head_on_v1_d16_T6_G3_none,red,C,0.95,5.348411684396352,5.080991100176534,3,3,5.348411684396352,,
head_on_v1_d16_T6_G3_none,red,C,0.99,5.348411684396352,5.294927567552388,4,4,5.348411684396352,,
head_on_v1_d16_T6_G3_none,red,F,,-0.0,,,,,,"full-flexibility value unresolved/zero; budget expressed as absolute loss, not ratio"
parallel_v0.85_d16_T6_G3_none,blue,C,0.9,2.2004322158199763,1.9803889942379787,3,3,2.8746625542452025,,
parallel_v0.85_d16_T6_G3_none,blue,C,0.95,2.2004322158199763,2.0904106050289775,3,3,2.8746625542452025,,
parallel_v0.85_d16_T6_G3_none,blue,C,0.99,2.2004322158199763,2.1784278936617767,4,4,2.8746625542452025,,
parallel_v0.85_d16_T6_G3_none,blue,F,,-0.0,,,,,,"full-flexibility value unresolved/zero; budget expressed as absolute loss, not ratio"
parallel_v1.15_d16_T6_G3_none,blue,C,0.9,5.27577250361011,4.748195253249099,5,5,4.210644309789887,,
parallel_v1.15_d16_T6_G3_none,blue,C,0.95,5.27577250361011,5.0119838784296045,5,5,4.210644309789887,,
parallel_v1.15_d16_T6_G3_none,blue,C,0.99,5.27577250361011,5.223014778574009,5,5,4.210644309789887,,
parallel_v1_d16_T6_G3_none,blue,C,0.9,3.406573724064331,3.065916351657898,2,2,3.40657372406433,,
parallel_v1_d16_T6_G3_none,blue,C,0.95,3.406573724064331,3.2362450378611145,3,3,3.40657372406433,,
parallel_v1_d16_T6_G3_none,blue,C,0.99,3.406573724064331,3.372507986823688,4,4,3.40657372406433,,
parallel_v1_d16_T6_G3_none,blue,F,,-0.0,,,,,,"full-flexibility value unresolved/zero; budget expressed as absolute loss, not ratio"
parallel_v1_d16_T6_G3_none,red,C,0.9,3.406573724064325,3.0659163516578922,2,2,3.4065737240643257,,
parallel_v1_d16_T6_G3_none,red,C,0.95,3.406573724064325,3.2362450378611083,3,3,3.4065737240643257,,
parallel_v1_d16_T6_G3_none,red,C,0.99,3.406573724064325,3.3725079868236816,4,4,3.4065737240643257,,
parallel_v1_d16_T6_G3_none,red,F,,-0.0,,,,,,"full-flexibility value unresolved/zero; budget expressed as absolute loss, not ratio"
