geometry,eta_r,eta_v,K,iter,V,L,U,rel_gap,evals,methods_b,methods_r
head_on,0.8,0.8,3,1,-8.9781,-8.9781,-1.8892,0.7896,20163,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,3,2,-7.1379,-7.1379,5.6549,1.7922,18016,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,3,3,-11.12,-11.12,-3.3089,0.7024,19266,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,3,1,-8.8786,-8.8786,-3.6739,0.5862,20644,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,3,2,-12.6456,-12.6456,-6.897,0.4546,16523,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,3,3,-11.9056,-11.9056,-5.5577,0.5332,19688,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,4,1,-8.9781,-8.9781,-1.8892,0.7896,20163,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,4,2,-7.1379,-7.1379,5.6549,1.7922,18016,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,4,3,-11.12,-11.12,-3.3089,0.7024,19266,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,4,1,-8.8786,-8.8786,-3.6739,0.5862,20644,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,4,2,-12.6456,-12.6456,-6.897,0.4546,16523,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,4,3,-11.9056,-11.9056,-5.5577,0.5332,19688,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,3,1,-6.1424,-6.1424,1.7947,1.2922,18578,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,3,2,-4.2373,-4.2373,0.5289,1.1248,19224,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,3,3,-6.8395,-6.8395,-1.4968,0.7812,19158,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,6,1,-9.2144,-9.2144,8.0303,1.8715,28276,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,6,2,-14.4113,-14.4113,-0.518,0.9641,30649,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,6,3,-19.4123,-19.4123,-3.1683,0.8368,32172,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.0,6,4,-10.4875,-10.4875,2.3302,1.2222,32727,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,6,1,7.7153,7.7153,37.129,3.8124,33837,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,6,2,15.4258,15.4258,41.9935,1.7223,29502,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,6,3,23.5341,23.5341,37.7317,0.6033,35688,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,6,4,12.3637,12.3637,19.1278,0.5471,30408,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,6,1,6.5717,6.5717,35.8755,4.4591,32302,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,6,2,17.4815,17.4815,26.7253,0.5288,30772,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,6,3,15.1554,15.1554,33.2901,1.1966,30771,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,6,4,14.471,14.471,22.4523,0.5515,32010,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,6,1,12.8629,12.8629,36.4603,1.8345,35060,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,6,2,15.7173,15.7173,27.1985,0.7305,31957,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,6,3,13.3462,13.3462,28.5358,1.1381,31208,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,6,4,14.001,14.001,21.3512,0.525,33802,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,6,1,-8.9094,-8.9094,3.3985,1.3815,31558,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,6,2,-17.4635,-17.4635,-0.6874,0.9606,30877,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,6,3,-9.3869,-9.3869,-1.0266,0.8906,35430,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,0.8,6,4,-13.9856,-13.9856,-8.9811,0.3578,29980,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,6,1,-8.068,-8.068,1.7868,1.2215,33104,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,6,2,-14.0211,-14.0211,4.8587,1.3465,31645,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,6,3,-8.0868,-8.0868,2.1352,1.264,29885,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,6,4,-10.6551,-10.6551,0.0982,1.0092,32173,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,6,1,-6.2262,-6.2262,8.7343,2.4028,32765,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,6,2,-8.3179,-8.3179,-0.5327,0.936,33002,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,6,3,-10.6766,-10.6766,-1.9324,0.819,29257,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,6,4,-10.9997,-10.9997,-3.6855,0.6649,30807,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.0,6,1,7.456,7.456,31.0385,3.1629,27873,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.0,6,2,7.8302,7.8302,19.1407,1.4445,32657,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.0,6,3,10.0324,10.0324,19.8427,0.9779,31769,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.0,6,4,11.9695,11.9695,17.2659,0.4425,31756,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,6,1,-8.7598,-8.7598,6.754,1.771,33346,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,6,2,-9.1398,-9.1398,0.6214,1.068,29362,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,6,3,-7.8514,-7.8514,6.5042,1.8284,30932,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,6,4,-7.4441,-7.4441,1.0286,1.1382,33289,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,6,1,-10.9131,-10.9131,4.2249,1.3871,30253,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,6,2,-6.7144,-6.7144,1.2355,1.184,33142,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,6,3,-7.263,-7.263,0.9642,1.1327,32912,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,6,4,-7.2153,-7.2153,-1.2865,0.8217,32260,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,6,1,11.0429,11.0429,23.2568,1.106,31401,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,6,2,10.8764,10.8764,14.5621,0.3389,33609,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,6,3,8.5324,8.5324,19.409,1.2747,32657,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,6,4,7.9148,7.9148,13.5817,0.716,31157,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,0.8,6,1,-7.0771,-7.0771,0.0356,1.005,30681,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,0.8,6,2,-3.6733,-3.6733,-1.2755,0.6528,30512,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,0.8,6,3,-8.0938,-8.0938,-3.6055,0.5545,31631,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,0.8,6,4,-9.2447,-9.2447,-3.9071,0.5774,28270,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.0,6,1,-8.5217,-8.5217,1.1487,1.1348,30035,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.0,6,2,-2.8051,-2.8051,2.0694,1.7377,30665,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.0,6,3,-9.1499,-9.1499,-4.1167,0.5501,28779,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.0,6,4,-12.9052,-12.9052,-7.8718,0.39,30896,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,6,1,4.5254,4.5254,22.9411,4.0694,32297,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,6,2,10.6979,10.6979,19.4023,0.8137,31566,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,6,3,10.9133,10.9133,20.258,0.8563,30131,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,6,4,9.5296,9.5296,17.5502,0.8417,29997,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,0.8,6,1,9.874,9.874,20.9487,1.1216,32299,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,0.8,6,2,5.1132,5.1132,16.0668,2.1422,32158,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,0.8,6,3,6.525,6.525,23.8249,2.6513,33166,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,0.8,6,4,14.8491,14.8491,16.6881,0.1238,31040,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.0,6,1,7.5358,7.5358,18.1331,1.4063,29872,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.0,6,2,7.7474,7.7474,28.1477,2.6332,31082,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.0,6,3,9.1222,9.1222,17.2241,0.8882,31326,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.0,6,4,7.9515,7.9515,15.9119,1.0011,32186,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.2,6,1,-7.7348,-7.7348,1.417,1.1832,34174,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.2,6,2,-9.9974,-9.9974,-3.8533,0.6146,31881,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.2,6,3,-12.3109,-12.3109,1.0657,1.0866,31225,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,0.8,1.2,6,4,-9.1014,-9.1014,-4.3399,0.5232,33991,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,1,-0.0,-0.0,18.5683,18.5683,36878,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,2,1.9226,1.9226,12.2761,5.3853,35095,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,3,-5.9662,-5.9662,19.2259,4.2225,34764,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,4,5.6285,5.6285,12.6178,1.2418,33131,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.2,6,1,6.3626,6.3626,17.8504,1.8055,36609,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
