geometry,eta_r,eta_v,H,K,restricted_value,lower_bound,upper_bound,bound_width,relative_gap,P_lower,P_upper,point_estimate,sign_certified,certified_sign,n_br_evals,n_global_starts,solver_status,run_status,iters,seconds
crossing,0.8,0.8,6,3,-3.7017,-3.7017,1.4998,5.2015,1.4052,-2.6852,2.5163,-0.0845,0,0,60455,32,uncertified,UNCERTIFIED,3,307.6
crossing,0.8,0.8,6,4,-3.7017,-3.7017,1.4998,5.2015,1.4052,-2.6852,2.5163,-0.0845,0,0,60455,32,uncertified,UNCERTIFIED,3,307.8
crossing,0.8,0.8,6,6,-9.2447,-9.2447,-3.9071,5.3376,0.5774,-8.2282,-2.8906,-5.5594,1,-1,121094,32,sign-certified-value-not-tight,certified-,4,644.7
crossing,0.8,1.0,6,3,-7.6059,-7.6059,-2.0898,5.5162,0.7252,-6.5894,-1.0733,-3.8313,1,-1,55859,32,sign-certified-value-not-tight,certified-,3,323.9
crossing,0.8,1.0,6,4,-7.6059,-7.6059,-2.0898,5.5162,0.7252,-6.5894,-1.0733,-3.8313,1,-1,55859,32,sign-certified-value-not-tight,certified-,3,315.8
crossing,0.8,1.0,6,6,-12.9052,-12.9052,-7.8718,5.0334,0.39,-11.8887,-6.8553,-9.372,1,-1,120375,32,sign-certified-value-not-tight,certified-,4,697.5
crossing,0.8,1.2,6,3,-6.4431,-6.4431,4.1552,10.5983,1.6449,-5.4266,5.1717,-0.1274,0,0,53456,32,uncertified,UNCERTIFIED,3,308.0
crossing,0.8,1.2,6,4,-6.4431,-6.4431,4.1552,10.5983,1.6449,-5.4266,5.1717,-0.1274,0,0,53456,32,uncertified,UNCERTIFIED,3,307.5
crossing,0.8,1.2,6,6,-9.1014,-9.1014,-4.3399,4.7615,0.5232,-8.0848,-3.3233,-5.7041,1,-1,131271,32,sign-certified-value-not-tight,certified-,4,1081.4
crossing,1.0,1.0,6,6,1.4874,1.4874,7.3821,5.8947,3.9631,1.4874,7.3821,4.4347,1,1,124831,32,sign-certified-value-not-tight,certified+,4,732.2
crossing,1.0,1.2,6,6,4.4797,4.4797,9.9802,5.5004,1.2279,4.4797,9.9802,7.23,1,1,142808,32,sign-certified-value-not-tight,certified+,4,1139.9
crossing,1.2,0.8,6,3,10.0661,10.0661,22.7823,12.7162,1.2633,8.731,21.4472,15.0891,1,1,59660,32,sign-certified-value-not-tight,certified+,3,343.5
crossing,1.2,0.8,6,4,10.0661,10.0661,22.7823,12.7162,1.2633,8.731,21.4472,15.0891,1,1,59660,32,sign-certified-value-not-tight,certified+,3,347.7
crossing,1.2,0.8,6,6,14.8491,14.8491,16.6881,1.8389,0.1238,13.514,15.3529,14.4335,1,1,128663,32,sign-certified-value-not-tight,certified+,4,660.2
crossing,1.2,1.0,6,3,6.4115,6.4115,18.2016,11.7901,1.8389,5.0763,16.8665,10.9714,1,1,53430,32,sign-certified-value-not-tight,certified+,3,297.2
