geometry,eta_r,eta_v,K,P_lower,P_upper,point_estimate,sign_certified,certified_sign,relative_gap,solver_status
crossing,0.8,0.8,3,-2.6852,2.5163,-0.0845,0,0,1.4052,uncertified
crossing,0.8,0.8,4,-2.6852,2.5163,-0.0845,0,0,1.4052,uncertified
crossing,0.8,0.8,6,-8.2282,-2.8906,-5.5594,1,-1,0.5774,sign-certified-value-not-tight
crossing,0.8,1.0,3,-6.5894,-1.0733,-3.8313,1,-1,0.7252,sign-certified-value-not-tight
crossing,0.8,1.0,4,-6.5894,-1.0733,-3.8313,1,-1,0.7252,sign-certified-value-not-tight
crossing,0.8,1.0,6,-11.8887,-6.8553,-9.372,1,-1,0.39,sign-certified-value-not-tight
crossing,0.8,1.2,3,-5.4266,5.1717,-0.1274,0,0,1.6449,uncertified
crossing,0.8,1.2,4,-5.4266,5.1717,-0.1274,0,0,1.6449,uncertified
crossing,0.8,1.2,6,-8.0848,-3.3233,-5.7041,1,-1,0.5232,sign-certified-value-not-tight
crossing,1.2,0.8,3,8.731,21.4472,15.0891,1,1,1.2633,sign-certified-value-not-tight
crossing,1.2,0.8,4,8.731,21.4472,15.0891,1,1,1.2633,sign-certified-value-not-tight
crossing,1.2,0.8,6,13.514,15.3529,14.4335,1,1,0.1238,sign-certified-value-not-tight
crossing,1.2,1.0,3,5.0763,16.8665,10.9714,1,1,1.8389,sign-certified-value-not-tight
crossing,1.2,1.0,4,5.0763,16.8665,10.9714,1,1,1.8389,sign-certified-value-not-tight
crossing,1.2,1.0,6,6.6164,14.5768,10.5966,1,1,1.0011,sign-certified-value-not-tight
crossing,1.2,1.2,3,7.3318,25.5947,16.4632,1,1,2.1072,sign-certified-value-not-tight
crossing,1.2,1.2,4,7.3318,25.5947,16.4632,1,1,2.1072,sign-certified-value-not-tight
crossing,1.2,1.2,6,9.4094,19.2443,14.3269,1,1,0.9153,sign-certified-value-not-tight
head_on,0.8,0.8,3,-9.4072,-1.5961,-5.5017,1,-1,0.7024,sign-certified-value-not-tight
head_on,0.8,0.8,4,-9.4072,-1.5961,-5.5017,1,-1,0.7024,sign-certified-value-not-tight
head_on,0.8,0.8,6,-12.2728,-7.2684,-9.7706,1,-1,0.3578,sign-certified-value-not-tight
head_on,0.8,1.0,3,-10.1928,-3.845,-7.0189,1,-1,0.5332,sign-certified-value-not-tight
head_on,0.8,1.0,4,-10.1928,-3.845,-7.0189,1,-1,0.5332,sign-certified-value-not-tight
head_on,0.8,1.0,6,-10.0939,-5.4709,-7.7824,1,-1,0.3916,sign-certified-value-not-tight
head_on,0.8,1.2,3,-5.1268,0.216,-2.4554,0,0,0.7812,uncertified
head_on,0.8,1.2,4,-5.1268,0.216,-2.4554,0,0,0.7812,uncertified
head_on,0.8,1.2,6,-9.1831,-6.9604,-8.0718,1,-1,0.204,sign-certified-value-not-tight
head_on,1.2,0.8,3,12.0798,21.0463,16.5631,1,1,0.5863,sign-certified-value-not-tight
head_on,1.2,0.8,4,12.0798,21.0463,16.5631,1,1,0.5863,sign-certified-value-not-tight
head_on,1.2,0.8,6,10.7887,18.1388,14.4638,1,1,0.525,sign-certified-value-not-tight
head_on,1.2,1.0,3,5.7832,24.4188,15.101,1,1,2.0717,sign-certified-value-not-tight
head_on,1.2,1.0,4,5.7832,24.4188,15.101,1,1,2.0717,sign-certified-value-not-tight
head_on,1.2,1.0,6,9.1514,15.9154,12.5334,1,1,0.5471,sign-certified-value-not-tight
head_on,1.2,1.0,8,20.3218,34.5193,27.4206,1,1,0.6033,sign-certified-value-not-tight
head_on,1.2,1.2,3,8.9476,24.1576,16.5526,1,1,1.2508,sign-certified-value-not-tight
head_on,1.2,1.2,4,8.9476,24.1576,16.5526,1,1,1.2508,sign-certified-value-not-tight
head_on,1.2,1.2,6,11.2587,19.24,15.2493,1,1,0.5515,sign-certified-value-not-tight
parallel,0.8,0.8,3,-4.6169,2.3926,-1.1122,0,0,1.2329,uncertified
parallel,0.8,0.8,4,-4.6169,2.3926,-1.1122,0,0,1.2329,uncertified
parallel,0.8,0.8,6,-9.9311,-2.6169,-6.274,1,-1,0.6649,sign-certified-value-not-tight
parallel,0.8,1.0,3,-13.9411,5.6882,-4.1264,0,0,1.3078,uncertified
parallel,0.8,1.0,4,-13.9411,5.6882,-4.1264,0,0,1.3078,uncertified
parallel,0.8,1.0,6,-5.6158,-3.1557,-4.3857,1,-1,0.368,sign-certified-value-not-tight
parallel,0.8,1.2,3,-3.2872,0.6482,-1.3195,0,0,0.9035,uncertified
parallel,0.8,1.2,4,-3.2872,0.6482,-1.3195,0,0,0.9035,uncertified
parallel,0.8,1.2,6,-6.1467,-0.2179,-3.1823,1,-1,0.8217,sign-certified-value-not-tight
parallel,1.2,0.8,3,11.8717,23.4187,17.6452,1,1,0.8743,sign-certified-value-not-tight
parallel,1.2,0.8,4,11.8717,23.4187,17.6452,1,1,0.8743,sign-certified-value-not-tight
parallel,1.2,0.8,6,6.5798,12.2467,9.4132,1,1,0.716,sign-certified-value-not-tight
parallel,1.2,1.0,3,15.1758,24.6307,19.9032,1,1,0.5726,sign-certified-value-not-tight
parallel,1.2,1.0,4,15.1758,24.6307,19.9032,1,1,0.5726,sign-certified-value-not-tight
parallel,1.2,1.0,6,10.6345,15.9309,13.2827,1,1,0.4425,sign-certified-value-not-tight
parallel,1.2,1.2,3,18.1728,23.6733,20.9231,1,1,0.282,sign-certified-value-not-tight
parallel,1.2,1.2,4,18.1728,23.6733,20.9231,1,1,0.282,sign-certified-value-not-tight
parallel,1.2,1.2,6,8.1945,16.2151,12.2048,1,1,0.8417,sign-certified-value-not-tight
