geometry,eta_r,eta_v,grid,iter,n_X,n_Y,V_restricted,LB,UB,rel_gap,br_blue_support,br_red_support,evals
head_on,0.8,0.8,5,1,35,35,-9.167036630316568,-40.86672456947995,11.436896621174508,5.705619307517509,5,5,0
head_on,0.8,0.8,5,2,36,36,-12.31826885098433,-26.291772102915342,0.9132766896812046,2.208512342253566,3,3,0
head_on,0.8,0.8,5,3,37,37,-12.000317061414163,-23.736117870109446,-7.214040042284201,1.3768034413815913,2,2,0
head_on,0.8,0.8,5,4,38,38,-10.68430776719742,-21.309694625541336,-7.62083737201707,1.2812114319236765,4,4,0
head_on,0.8,0.8,5,5,39,39,-11.971853657563521,-29.95479550846015,5.425590394914198,2.9552972259247334,4,4,0
head_on,0.8,0.8,5,6,40,40,-11.126826949089528,-24.06416737656127,-7.73472643873618,1.4675739105622807,4,4,0
head_on,0.8,0.8,5,7,41,41,-13.258069860122411,-17.9716597806517,-6.542667952297744,0.8620403987106786,4,4,0
head_on,0.8,0.8,5,8,42,42,-12.353401704294582,-16.70768396803254,-8.035213824730114,0.7020309345471618,6,6,0
head_on,0.8,0.8,5,9,43,43,-12.290763438044543,-15.506955050200153,-7.24069964447649,0.6725583359725635,6,6,0
head_on,0.8,0.8,5,10,44,44,-12.345949113396241,-15.391497145830728,-10.234956058147741,0.41767069022565223,6,6,0
head_on,0.8,0.8,5,11,45,45,-12.185984675973408,-19.375058624881408,-8.334665127921316,0.9059910865248313,7,7,0
head_on,0.8,0.8,5,12,46,46,-12.268426116203273,-15.806960519573222,-10.606747771146466,0.42386959004942626,8,8,0
head_on,0.8,0.8,5,13,47,47,-12.639622533404523,-14.341253222944108,-9.726977458899372,0.36506436421261274,10,10,0
head_on,0.8,0.8,5,14,48,48,-12.499820947562002,-16.98666635978266,-10.620106014071935,0.5093321234295342,8,8,0
head_on,0.8,0.8,5,15,49,49,-12.830652561654237,-14.729516011992539,-11.311189415437944,0.2664187639817031,10,10,0
head_on,0.8,0.8,5,16,50,50,-12.821053785601439,-16.845692607450943,-9.226805197823182,0.5942481434859963,11,11,0
head_on,0.8,0.8,5,17,51,51,-12.804742297302369,-14.554291452266753,-10.94332814830828,0.2820020286327207,9,9,0
head_on,0.8,0.8,5,18,52,52,-13.03589104793234,-15.404558978662301,-7.304580033852562,0.6213598222803879,11,11,0
head_on,0.8,0.8,5,19,53,53,-12.913144512892973,-15.014227748328457,-8.853473379900928,0.4770917232651116,12,12,0
head_on,0.8,0.8,5,20,54,54,-12.537374874063708,-13.89447109899009,-11.241196600765626,0.21162919070987823,13,13,0
head_on,0.8,0.8,5,21,55,55,-12.510883976061034,-13.758139008384212,-10.681634963990355,0.24590620856852302,13,13,0
head_on,0.8,0.8,5,22,56,56,-12.52224107349199,-13.023117527320313,-11.232367698242006,0.14300553859077977,15,15,0
head_on,0.8,0.8,5,23,57,57,-12.535407869188361,-12.813869815422562,-12.04856346309534,0.06105157170101511,15,15,0
head_on,0.8,0.8,5,24,58,58,-12.507360991967932,-12.507360991967932,-11.502009158836302,0.08038081204958061,16,16,0
head_on,0.8,0.8,5,25,59,58,-12.502170649023856,-12.50217064902386,-11.959477382626378,0.043407923442466696,16,16,0
head_on,1.2,1.0,5,1,35,35,10.194235479304247,-5.435260048025386,40.902939995679525,4.545529690556792,6,6,0
head_on,1.2,1.0,5,2,36,36,14.429556625718751,-1.8885879233325233,25.649845053732676,1.9084739532454955,3,3,0
head_on,1.2,1.0,5,3,37,37,10.48107116014802,1.536070674231438,21.76536266294511,1.9300786798997347,5,5,0
head_on,1.2,1.0,5,4,38,38,13.064016084675199,3.3990495604996562,31.156410189692167,2.124718803871759,6,6,0
head_on,1.2,1.0,5,5,39,39,12.0508481214597,3.0314523259693957,31.623009889374,2.3725763759722294,5,5,0
head_on,1.2,1.0,5,6,40,40,13.000491022702281,8.490314695982605,24.39844526877695,1.2236561330656326,4,4,0
head_on,1.2,1.0,5,7,41,41,15.566700836386167,2.0993031513658647,19.933815363908547,1.1456834945305594,5,5,0
head_on,1.2,1.0,5,8,42,42,15.33169555927504,2.5748747305659125,21.338545715110158,1.2238483938061895,5,5,0
head_on,1.2,1.0,5,9,43,43,14.431807963571885,9.255373642388738,18.73376038393287,0.6567705699430763,7,7,0
head_on,1.2,1.0,5,10,44,44,15.000630303301978,6.647654933363257,17.95072600445939,0.7535064089012361,7,7,0
head_on,1.2,1.0,5,11,45,45,13.600060877791849,9.91989861807693,15.834106626715503,0.4348662893337595,9,9,0
head_on,1.2,1.0,5,12,46,46,13.052752846344479,10.46504225916529,18.24324975269532,0.5959055216239979,7,7,0
head_on,1.2,1.0,5,13,47,47,13.009360491086998,8.780466675002152,15.451391928512125,0.51277887626224,8,8,0
head_on,1.2,1.0,5,14,48,48,12.735141573189914,11.234401419313025,16.83816051771698,0.44002330607780726,8,8,0
head_on,1.2,1.0,5,15,49,49,12.791135862920807,11.584748176785876,14.678897717758854,0.24189794980931748,9,9,0
head_on,1.2,1.0,5,16,50,50,12.842654863855742,11.26874128555707,20.503329939581317,0.7190560481395474,9,9,0
head_on,1.2,1.0,5,17,51,51,12.958112304393662,9.99481094378875,14.321081114140503,0.33386577216844,10,10,0
head_on,1.2,1.0,5,18,52,52,13.017138747529145,11.428758551888698,14.66086802797465,0.24829646044138975,11,11,0
head_on,1.2,1.0,5,19,53,53,12.983570095588087,12.179516000992109,15.352781491423606,0.24440623550142007,11,11,0
head_on,1.2,1.0,5,20,54,54,13.214321333761259,11.91507746027114,15.337630508600965,0.25900331631754303,11,11,0
head_on,1.2,1.0,5,21,55,55,13.068564986182881,11.99846386617631,16.8137060657432,0.3684599039495113,11,11,0
head_on,1.2,1.0,5,22,56,56,13.135273492176513,12.095653220313698,15.089610585884945,0.22793262487868823,13,13,0
head_on,1.2,1.0,5,23,57,57,13.20837423754882,12.204015997692496,14.068364460686514,0.14114897333042248,13,13,0
head_on,1.2,1.0,5,24,58,58,13.15882249479246,12.906028415925904,14.338499994903929,0.1088601643152279,13,13,0
head_on,1.2,1.0,5,25,59,59,13.232146587714485,11.636950007651365,13.667894476490885,0.1534856385830225,13,13,0
head_on,1.2,1.0,5,26,60,60,13.165561545475601,12.920404343040726,14.15132107834779,0.0934951943413362,14,14,0
head_on,1.2,1.0,5,27,61,61,13.17543304934485,13.094084347283204,13.80691725168706,0.05410318596240015,14,14,0
head_on,1.2,1.0,5,28,62,62,13.180141301659514,12.779501115727555,13.633288933791194,0.064778350893411,15,15,0
head_on,1.2,1.0,5,29,63,63,13.174710274541837,13.174710274541816,13.70177510203633,0.040005800242377036,16,16,0
head_on,1.2,0.8,5,1,35,35,13.231296804335344,-10.541469084529963,44.09748036887805,4.12952337638629,5,5,0
head_on,1.2,0.8,5,2,36,36,10.488884377808226,0.777809950979626,25.365153156380373,2.344133305294243,5,5,0
head_on,1.2,0.8,5,3,37,37,13.67762817713686,-0.002671949722134803,21.941602356776205,1.60439178652186,4,4,0
head_on,1.2,0.8,5,4,38,38,11.152701308902778,-0.7697438942104615,32.05781763845995,2.943462809899286,7,7,0
head_on,1.2,0.8,5,5,39,39,13.097988196236798,6.02619976966126,19.97391524811235,1.0648746410123064,6,6,0
head_on,1.2,0.8,5,6,40,40,12.355690304460136,8.47815973512589,18.889352593587017,0.8426233259264285,6,6,0
head_on,1.2,0.8,5,7,41,41,11.526327339646592,2.391420098311103,18.69925899115151,1.4148339199726756,6,6,0
head_on,1.2,0.8,5,8,42,42,11.917423725807586,3.748928678924642,16.438790837968252,1.0648158906663092,7,7,0
head_on,1.2,0.8,5,9,43,43,13.302809465288217,5.567233006904325,17.930807833266517,0.929395768512146,7,7,0
head_on,1.2,0.8,5,10,44,44,12.460682250576273,7.206473015250124,16.589057170195385,0.7529751554744398,7,7,0
head_on,1.2,0.8,5,11,45,45,12.574590108971801,6.737297920539644,19.26891226932355,0.9965823331165894,6,6,0
head_on,1.2,0.8,5,12,46,46,12.370259523046933,6.95754067186149,18.0232279533081,0.894539622295734,9,9,0
