geometry,eta_r,eta_v,signal_grid5,signal_grid7,grid_sign_agree
head_on,0.8,0.8,-1,-1,True
head_on,1.2,1.0,1,1,True
head_on,1.2,0.8,1,1,True
head_on,0.8,1.0,-1,-1,True
head_on,0.8,1.2,-1,-1,True
head_on,1.2,1.2,1,1,True
parallel,0.8,0.8,-1,-1,True
parallel,0.8,1.0,-1,-1,True
parallel,0.8,1.2,-1,-1,True
parallel,1.2,0.8,1,1,True
parallel,1.2,1.0,1,1,True
crossing,0.8,1.0,-1,-1,True
parallel,1.2,1.2,1,1,True
crossing,0.8,0.8,-1,-1,True
crossing,0.8,1.2,-1,-1,True
crossing,1.2,0.8,1,1,True
crossing,1.2,1.0,1,1,True
crossing,1.2,1.2,1,1,True
