game_id,family,node_id,t,public_state,snapshot,hidden_commitment,belief_n,remaining_horizon,commitment_len,V_replan,V_continue,delta,best_kind,best_action
discovery_grid_T3b2K2L2_coordination,coordination,n:t1:obs0:af0:rf1,1,z:t1:q0,1|0|0|1,th0:ao0,2,2,1,2.0,2.0,0.0,continue,-1
discovery_grid_T3b2K2L2_coordination,coordination,n:t1:obs0:af1:rf1,1,z:t1:q0,1|0|1|1,th0:ao0,2,2,1,2.0,0.0,2.0,replan,0
discovery_grid_T3b2K2L2_coordination,coordination,"n:t2:obs0,0:af0:rf1",2,z:t2:q0,2|0|0|1,"th0:ao0,0",2,1,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K2L2_coordination,coordination,"n:t2:obs0,0:af1:rf1",2,z:t2:q0,2|0|1|1,"th0:ao0,0",2,1,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K2L2_coordination,coordination,"n:t3:obs0,0,0:af0:rf1",3,z:t3:q0,3|0|0|1,"th0:ao0,0,0",2,0,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K2L2_coordination,coordination,"n:t3:obs0,0,0:af1:rf1",3,z:t3:q0,3|0|1|1,"th0:ao0,0,0",2,0,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K2L3_coordination,coordination,n:t1:obs0:af0:rf2,1,z:t1:q0,1|0|0|2,th0:ao0,2,2,2,2.0,2.0,0.0,continue,-1
discovery_grid_T3b2K2L3_coordination,coordination,n:t1:obs0:af1:rf2,1,z:t1:q0,1|0|1|2,th0:ao0,2,2,2,2.0,0.0,2.0,replan,0
discovery_grid_T3b2K2L3_coordination,coordination,"n:t2:obs0,0:af0:rf1",2,z:t2:q0,2|0|0|1,"th0:ao0,0",2,1,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K2L3_coordination,coordination,"n:t2:obs0,0:af0:rf2",2,z:t2:q0,2|0|0|2,"th0:ao0,0",2,1,2,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K2L3_coordination,coordination,"n:t2:obs0,0:af1:rf1",2,z:t2:q0,2|0|1|1,"th0:ao0,0",2,1,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K2L3_coordination,coordination,"n:t2:obs0,0:af1:rf2",2,z:t2:q0,2|0|1|2,"th0:ao0,0",2,1,2,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K2L3_coordination,coordination,"n:t3:obs0,0,0:af0:rf1",3,z:t3:q0,3|0|0|1,"th0:ao0,0,0",2,0,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K2L3_coordination,coordination,"n:t3:obs0,0,0:af0:rf2",3,z:t3:q0,3|0|0|2,"th0:ao0,0,0",2,0,2,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K2L3_coordination,coordination,"n:t3:obs0,0,0:af1:rf1",3,z:t3:q0,3|0|1|1,"th0:ao0,0,0",2,0,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K2L3_coordination,coordination,"n:t3:obs0,0,0:af1:rf2",3,z:t3:q0,3|0|1|2,"th0:ao0,0,0",2,0,2,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K3L2_coordination,coordination,n:t1:obs0:af0:rf1,1,z:t1:q0,1|0|0|1,th0:ao0,3,2,1,2.0,2.0,0.0,continue,-1
discovery_grid_T3b2K3L2_coordination,coordination,n:t1:obs0:af1:rf1,1,z:t1:q0,1|0|1|1,th0:ao0,3,2,1,2.0,0.0,2.0,replan,0
discovery_grid_T3b2K3L2_coordination,coordination,"n:t2:obs0,0:af0:rf1",2,z:t2:q0,2|0|0|1,"th0:ao0,0",3,1,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K3L2_coordination,coordination,"n:t2:obs0,0:af1:rf1",2,z:t2:q0,2|0|1|1,"th0:ao0,0",3,1,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K3L2_coordination,coordination,"n:t3:obs0,0,0:af0:rf1",3,z:t3:q0,3|0|0|1,"th0:ao0,0,0",3,0,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K3L2_coordination,coordination,"n:t3:obs0,0,0:af1:rf1",3,z:t3:q0,3|0|1|1,"th0:ao0,0,0",3,0,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K3L3_coordination,coordination,n:t1:obs0:af0:rf2,1,z:t1:q0,1|0|0|2,th0:ao0,3,2,2,2.0,2.0,0.0,continue,-1
discovery_grid_T3b2K3L3_coordination,coordination,n:t1:obs0:af1:rf2,1,z:t1:q0,1|0|1|2,th0:ao0,3,2,2,2.0,0.0,2.0,replan,0
discovery_grid_T3b2K3L3_coordination,coordination,"n:t2:obs0,0:af0:rf1",2,z:t2:q0,2|0|0|1,"th0:ao0,0",3,1,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K3L3_coordination,coordination,"n:t2:obs0,0:af0:rf2",2,z:t2:q0,2|0|0|2,"th0:ao0,0",3,1,2,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K3L3_coordination,coordination,"n:t2:obs0,0:af1:rf1",2,z:t2:q0,2|0|1|1,"th0:ao0,0",3,1,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K3L3_coordination,coordination,"n:t2:obs0,0:af1:rf2",2,z:t2:q0,2|0|1|2,"th0:ao0,0",3,1,2,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K3L3_coordination,coordination,"n:t3:obs0,0,0:af0:rf1",3,z:t3:q0,3|0|0|1,"th0:ao0,0,0",3,0,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K3L3_coordination,coordination,"n:t3:obs0,0,0:af0:rf2",3,z:t3:q0,3|0|0|2,"th0:ao0,0,0",3,0,2,1.0,1.0,0.0,continue,-1
discovery_grid_T3b2K3L3_coordination,coordination,"n:t3:obs0,0,0:af1:rf1",3,z:t3:q0,3|0|1|1,"th0:ao0,0,0",3,0,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b2K3L3_coordination,coordination,"n:t3:obs0,0,0:af1:rf2",3,z:t3:q0,3|0|1|2,"th0:ao0,0,0",3,0,2,1.0,-1.0,2.0,replan,0
discovery_grid_T3b3K2L2_coordination,coordination,n:t1:obs0:af0:rf1,1,z:t1:q0,1|0|0|1,th0:ao0,2,2,1,0.0,0.0,0.0,continue,-1
discovery_grid_T3b3K2L2_coordination,coordination,n:t1:obs0:af1:rf1,1,z:t1:q0,1|0|1|1,th0:ao0,2,2,1,0.0,-1.0,1.0,replan,0
discovery_grid_T3b3K2L2_coordination,coordination,n:t1:obs0:af2:rf1,1,z:t1:q0,1|0|2|1,th0:ao0,2,2,1,0.0,0.0,0.0,continue,-1
discovery_grid_T3b3K2L2_coordination,coordination,"n:t2:obs0,0:af0:rf1",2,z:t2:q0,2|0|0|1,"th0:ao0,0",2,1,1,0.0,0.0,0.0,continue,-1
discovery_grid_T3b3K2L2_coordination,coordination,"n:t2:obs0,0:af1:rf1",2,z:t2:q0,2|0|1|1,"th0:ao0,0",2,1,1,0.0,0.0,0.0,continue,-1
discovery_grid_T3b3K2L2_coordination,coordination,"n:t2:obs0,0:af2:rf1",2,z:t2:q0,2|0|2|1,"th0:ao0,0",2,1,1,0.0,-1.0,1.0,replan,0
discovery_grid_T3b3K2L2_coordination,coordination,"n:t3:obs0,0,0:af0:rf1",3,z:t3:q0,3|0|0|1,"th0:ao0,0,0",1,0,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b3K2L2_coordination,coordination,"n:t3:obs0,0,1:af0:rf1",3,z:t3:q1,3|1|0|1,"th1:ao1,2,1",1,0,1,1.0,-1.0,2.0,replan,2
discovery_grid_T3b3K2L2_coordination,coordination,"n:t3:obs0,0,0:af1:rf1",3,z:t3:q0,3|0|1|1,"th0:ao0,0,0",1,0,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b3K2L2_coordination,coordination,"n:t3:obs0,0,1:af1:rf1",3,z:t3:q1,3|1|1|1,"th1:ao1,2,1",1,0,1,1.0,-1.0,2.0,replan,2
discovery_grid_T3b3K2L2_coordination,coordination,"n:t3:obs0,0,0:af2:rf1",3,z:t3:q0,3|0|2|1,"th0:ao0,0,0",1,0,1,1.0,-1.0,2.0,replan,0
discovery_grid_T3b3K2L2_coordination,coordination,"n:t3:obs0,0,1:af2:rf1",3,z:t3:q1,3|1|2|1,"th1:ao1,2,1",1,0,1,1.0,1.0,0.0,continue,-1
discovery_grid_T3b3K2L3_coordination,coordination,n:t1:obs0:af0:rf2,1,z:t1:q0,1|0|0|2,th0:ao0,2,2,2,0.0,0.0,0.0,continue,-1
