game_id,family,T,b,K,m,L,alpha,n_nodes,n_snapshot_cells,n_mixed_cells,n_mixed_pairs,n_action_disagree,action_disagree_rate,max_v_gap,max_delta_gap,max_snapshot_regret,n_cells_with_regret,is_lossy
discovery_grid_T3b2K2L2_coordination,coordination,3,2,2,2,2,1,6,6,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T3b2K2L3_coordination,coordination,3,2,2,2,3,1,10,10,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T3b2K3L2_coordination,coordination,3,2,3,2,2,1,6,6,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T3b2K3L3_coordination,coordination,3,2,3,2,3,1,10,10,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T3b3K2L2_coordination,coordination,3,3,2,2,2,1,12,12,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T3b3K2L3_coordination,coordination,3,3,2,2,3,1,21,21,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T3b3K3L2_coordination,coordination,3,3,3,2,2,1,18,15,3,3,3,1.0,0.0,2.0,1.0,3,True
discovery_grid_T3b3K3L3_coordination,coordination,3,3,3,2,3,1,33,27,6,6,6,1.0,0.0,2.0,1.0,6,True
discovery_grid_T4b2K2L2_coordination,coordination,4,2,2,2,2,1,8,8,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T4b2K2L3_coordination,coordination,4,2,2,2,3,1,14,14,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T4b2K3L2_coordination,coordination,4,2,3,2,2,1,8,8,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T4b2K3L3_coordination,coordination,4,2,3,2,3,1,14,14,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T4b3K2L2_coordination,coordination,4,3,2,2,2,1,18,18,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T4b3K2L3_coordination,coordination,4,3,2,2,3,1,33,33,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T4b3K3L2_coordination,coordination,4,3,3,2,2,1,27,21,6,6,6,1.0,0.0,2.0,2.0,6,True
discovery_grid_T4b3K3L3_coordination,coordination,4,3,3,2,3,1,51,39,12,12,12,1.0,0.0,2.0,2.0,12,True
discovery_grid_T5b2K2L2_coordination,coordination,5,2,2,2,2,1,10,10,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T5b2K2L3_coordination,coordination,5,2,2,2,3,1,18,18,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T5b2K3L2_coordination,coordination,5,2,3,2,2,1,10,10,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T5b2K3L3_coordination,coordination,5,2,3,2,3,1,18,18,0,0,0,0.0,0.0,0.0,0.0,0,True
discovery_grid_T5b3K2L2_coordination,coordination,5,3,2,2,2,1,24,21,3,3,3,1.0,0.0,2.0,1.0,3,True
discovery_grid_T5b3K2L3_coordination,coordination,5,3,2,2,3,1,45,39,6,6,6,1.0,0.0,2.0,1.0,6,True
discovery_grid_T5b3K3L2_coordination,coordination,5,3,3,2,2,1,36,24,9,15,15,1.0,0.0,2.0,2.0,9,True
