scenario,policy,seed,reached,samples,final_width
IBS-S-03,uniform,11,True,53025,0.19860391915937778
IBS-S-03,uniform,22,True,53000,0.1997296513061158
IBS-S-03,uniform,33,True,53025,0.19913523810872868
IBS-S-03,uniform,44,True,53000,0.1997472441822617
IBS-S-03,uniform,55,True,53025,0.19860391915937775
IBS-S-03,largest_width,11,True,51500,0.1986039191593777
IBS-S-03,largest_width,22,True,51575,0.19860391915937778
IBS-S-03,largest_width,33,True,51725,0.1990978005367784
IBS-S-03,largest_width,44,True,51075,0.19860391915937767
IBS-S-03,largest_width,55,True,51450,0.19911084829743597
IBS-S-03,variance_aware,11,True,43150,0.19860391915937772
IBS-S-03,variance_aware,22,True,43250,0.19999463729514702
IBS-S-03,variance_aware,33,True,42300,0.1986039191593778
IBS-S-03,variance_aware,44,True,43275,0.19860391915937783
IBS-S-03,variance_aware,55,True,42575,0.19860391915937775
IBS-S-03,support_weighted,11,False,,1.1841292368708216
IBS-S-03,support_weighted,22,False,,1.0959484240082429
IBS-S-03,support_weighted,33,False,,1.1735215040390976
IBS-S-03,support_weighted,44,False,,1.4000199526648411
IBS-S-03,support_weighted,55,False,,0.7670384336473606
IBS-S-03,cert_sensitivity,11,True,14800,0.19986539093444605
IBS-S-03,cert_sensitivity,22,True,78125,0.19934170923929864
IBS-S-03,cert_sensitivity,33,True,14325,0.18062427203823062
IBS-S-03,cert_sensitivity,44,False,,0.21497596755789428
IBS-S-03,cert_sensitivity,55,True,15900,0.19966480667850478
IBS-S-01,uniform,11,True,52750,0.19990440637972107
IBS-S-01,uniform,22,True,52750,0.19982446296123535
IBS-S-01,uniform,33,True,52750,0.19993157217353286
IBS-S-01,uniform,44,True,52750,0.19980313965684204
IBS-S-01,uniform,55,True,52750,0.1998448761097058
IBS-S-01,largest_width,11,True,52800,0.1993270054022539
IBS-S-01,largest_width,22,True,52800,0.19942502437723736
IBS-S-01,largest_width,33,True,52375,0.19943715726346478
IBS-S-01,largest_width,44,True,52600,0.1998133327055498
IBS-S-01,largest_width,55,True,52775,0.19952822529489855
IBS-S-01,variance_aware,11,True,45875,0.19970766676263396
IBS-S-01,variance_aware,22,True,47025,0.1996001461968086
IBS-S-01,variance_aware,33,True,48250,0.19983290058703335
IBS-S-01,variance_aware,44,True,47850,0.19965099826503346
IBS-S-01,variance_aware,55,True,44675,0.1999195063925414
IBS-S-01,support_weighted,11,False,,0.8593476946300983
IBS-S-01,support_weighted,22,False,,0.9793476946300983
IBS-S-01,support_weighted,33,False,,0.9713733709605264
IBS-S-01,support_weighted,44,False,,1.0193476946300983
IBS-S-01,support_weighted,55,False,,1.0393476946300984
IBS-S-01,cert_sensitivity,11,False,,0.8013764122902739
IBS-S-01,cert_sensitivity,22,False,,0.7148690677720043
IBS-S-01,cert_sensitivity,33,False,,0.7891134331584153
IBS-S-01,cert_sensitivity,44,False,,0.9993476946300983
IBS-S-01,cert_sensitivity,55,False,,0.9113764122902739
