true_type,method,seed,tests,identified,budget_accuracy
OPT,random,0,,False,
OPT,random,1,,False,
OPT,random,2,,False,
OPT,random,3,,False,
OPT,random,4,,False,
OPT,hardest,0,,False,
OPT,disagreement,0,,False,
OPT,infogain,0,,False,
MYO,random,0,,False,
MYO,random,1,,False,
MYO,random,2,,False,
MYO,random,3,,False,
MYO,random,4,,False,
MYO,hardest,0,,False,
MYO,disagreement,0,,False,
MYO,infogain,0,,False,
NOM,random,0,,False,
NOM,random,1,,False,
NOM,random,2,,False,
NOM,random,3,,False,
NOM,random,4,,False,
NOM,hardest,0,,False,
NOM,disagreement,0,,False,
NOM,infogain,0,,False,
NBU,random,0,,False,
NBU,random,1,,False,
NBU,random,2,,False,
NBU,random,3,,False,
NBU,random,4,,False,
NBU,hardest,0,,False,
NBU,disagreement,0,,False,
NBU,infogain,0,,False,
AMB,random,0,27,True,
AMB,random,1,23,True,
AMB,random,2,,False,
AMB,random,3,36,True,
AMB,random,4,23,True,
AMB,hardest,0,,False,
AMB,disagreement,0,11,True,
AMB,infogain,0,,False,
OPT,random,-1,,,0.0
OPT,hardest,-1,,,0.0
OPT,disagreement,-1,,,0.0
OPT,infogain,-1,,,0.0
MYO,random,-1,,,0.0
MYO,hardest,-1,,,0.0
MYO,disagreement,-1,,,0.0
MYO,infogain,-1,,,0.0
NOM,random,-1,,,0.0
NOM,hardest,-1,,,0.0
NOM,disagreement,-1,,,0.0
NOM,infogain,-1,,,0.0
NBU,random,-1,,,0.0
NBU,hardest,-1,,,0.0
NBU,disagreement,-1,,,0.0
NBU,infogain,-1,,,0.0
AMB,random,-1,,,0.0
AMB,hardest,-1,,,0.0
AMB,disagreement,-1,,,0.0
AMB,infogain,-1,,,0.0
