pair_id,scenario,turn,n_candidates,rho_abs_outcome,rho_norm_outcome,stake_outcome,rho_abs_damage,rho_norm_damage,stake_damage,value_divergence_outcome,value_divergence_damage,action_disagreement,confident_outcome,confident_damage
IBS-S-03_s1_t2_IBS-U-KM-HANS-LODY_3S2P1P-0,IBS-S-03,2,4,0.0,0.0,0.2666666666666667,0.03783783783783784,0.84,0.04504504504504505,0.2666666666666667,0.039639639639639644,True,False,True
IBS-S-03_s1_t2_IBS-U-KM-RICHARD-BEITZEN_1P1S1S-0,IBS-S-03,2,4,0.0,0.0,0.5333333333333333,0.0,0.0,0.043243243243243246,0.2666666666666666,0.06126126126126126,False,False,True
IBS-S-03_s1_t2_IBS-U-KM-KARL-GALSTER_1P4S-0,IBS-S-03,2,4,0.0,0.0,0.2666666666666667,0.0,0.0,0.039639639639639644,0.0,0.005405405405405406,False,False,True
IBS-S-03_s1_t4_IBS-U-KM-HANS-LODY_3S1P1P-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014414414414414415,False,False,False
IBS-S-03_s1_t4_IBS-U-KM-RICHARD-BEITZEN_1S3S1S-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s1_t4_IBS-U-KM-KARL-GALSTER_5-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s2_t2_IBS-U-KM-RICHARD-BEITZEN_1S3P-1PP1P3P,IBS-S-03,2,6,0.0,0.0,0.8,0.0,0.0,0.05641025641025641,1.4666666666666668,0.09743589743589744,True,False,False
IBS-S-03_s2_t2_IBS-U-KM-HANS-LODY_1SS1S3S-0,IBS-S-03,2,6,0.0,0.0,0.8,0.0034188034188034205,0.060606060606060635,0.05641025641025641,0.9333333333333333,0.042735042735042736,True,True,False
IBS-S-03_s2_t2_IBS-U-KM-KARL-GALSTER_1S1P-0,IBS-S-03,2,6,0.0,0.0,0.9333333333333333,0.0,0.0,0.05641025641025641,0.26666666666666666,0.03418803418803419,False,True,False
IBS-S-03_s2_t3_IBS-U-KM-RICHARD-BEITZEN_1SS1S1-0,IBS-S-03,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.02476190476190476,False,False,False
IBS-S-03_s2_t3_IBS-U-KM-HANS-LODY_1SS1S2P1P-1SS1S3P,IBS-S-03,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003809523809523808,False,False,False
IBS-S-03_s2_t3_IBS-U-KM-KARL-GALSTER_2P2S-0,IBS-S-03,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s3_t3_IBS-U-KM-HANS-LODY_2P1P-0,IBS-S-03,3,6,0.5333333333333333,0.3636363636363636,1.4666666666666668,0.009756097560975611,0.10169491525423731,0.0959349593495935,1.6,0.11056910569105691,True,True,True
IBS-S-03_s3_t3_IBS-U-KM-RICHARD-BEITZEN_1S2S2S-0,IBS-S-03,3,6,0.0,0.0,1.8666666666666667,0.0,0.0,0.0959349593495935,0.6666666666666667,0.02601626016260163,False,True,True
IBS-S-03_s3_t3_IBS-U-KM-KARL-GALSTER_1PP2P1P-0,IBS-S-03,3,6,0.0,0.0,2.0,0.0032520325203252046,0.022988505747126447,0.14146341463414633,0.5333333333333334,0.03414634146341464,False,True,True
IBS-S-03_s3_t4_IBS-U-KM-RICHARD-BEITZEN_3P3S-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,False,False,False
IBS-S-03_s3_t4_IBS-U-KM-KARL-GALSTER_2S4P-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s4_t2_IBS-U-KM-RICHARD-BEITZEN_1S2-0,IBS-S-03,2,6,0.0,0.0,0.13333333333333333,0.0,0.0,0.007407407407407404,0.9333333333333333,0.06111111111111111,True,False,False
IBS-S-03_s4_t2_IBS-U-KM-HANS-LODY_1P2P1S-0,IBS-S-03,2,6,0.13333333333333333,0.9999999999999993,0.13333333333333341,0.007407407407407404,0.4999999999999998,0.014814814814814815,0.9333333333333333,0.053703703703703705,True,False,False
IBS-S-03_s4_t2_IBS-U-KM-KARL-GALSTER_1P1P1P1P-0,IBS-S-03,2,6,0.0,0.0,0.13333333333333333,0.007407407407407404,1.0,0.007407407407407404,0.13333333333333333,0.016666666666666663,True,False,False
IBS-S-03_s4_t3_IBS-U-KM-RICHARD-BEITZEN_1S2P1P-0,IBS-S-03,3,6,0.0,0.0,0.0,0.0,0.0,0.06363636363636363,0.0,0.030303030303030297,False,False,False
IBS-S-03_s4_t3_IBS-U-KM-HANS-LODY_1S3S-0,IBS-S-03,3,6,0.0,0.0,0.0,0.03333333333333333,0.28947368421052627,0.11515151515151516,0.0,0.1181818181818182,False,False,True
IBS-S-03_s4_t4_IBS-U-KM-HANS-LODY_3P1P-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,False,False,False
IBS-S-03_s5_t2_IBS-U-KM-RICHARD-BEITZEN_1S1P-0,IBS-S-03,2,6,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.10784313725490197,False,False,False
IBS-S-03_s5_t2_IBS-U-KM-KARL-GALSTER_1SS4-0,IBS-S-03,2,6,0.0,0.0,0.0,0.0019607843137254832,0.016666666666666607,0.11764705882352941,0.0,0.050980392156862744,False,False,True
IBS-S-03_s5_t3_IBS-U-KM-KARL-GALSTER_1PP1P2P-1S1S4P,IBS-S-03,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,False,False,False
IBS-S-03_s6_t2_IBS-U-KM-RICHARD-BEITZEN_1P1-0,IBS-S-03,2,6,0.0,0.0,0.0,0.011764705882352934,0.11999999999999993,0.09803921568627451,0.0,0.08235294117647059,False,False,False
IBS-S-03_s6_t2_IBS-U-KM-HANS-LODY_1PP2P2S-0,IBS-S-03,2,6,0.0,0.0,0.0,0.017647058823529415,0.3214285714285715,0.054901960784313725,0.0,0.047058823529411764,False,False,False
IBS-S-03_s6_t2_IBS-U-KM-KARL-GALSTER_1PP2P1S1S-1S1S4P,IBS-S-03,2,6,0.0,0.0,0.0,0.0,0.0,0.054901960784313725,0.0,0.04313725490196079,False,False,False
IBS-S-03_s6_t3_IBS-U-KM-KARL-GALSTER_2S2P-1SS1S3P,IBS-S-03,3,4,0.0,0.0,0.0,0.016666666666666666,0.10294117647058824,0.16190476190476188,0.0,0.16428571428571428,False,False,False
IBS-S-03_s6_t3_IBS-U-KM-HANS-LODY_2S1S-6P,IBS-S-03,3,4,0.0,0.0,0.0,0.0,0.0,0.16190476190476188,0.0,0.09523809523809523,False,False,True
IBS-S-03_s7_t2_IBS-U-KM-HANS-LODY_1SS2S2-0,IBS-S-03,2,6,0.39999999999999997,0.7500000000000001,0.5333333333333332,0.023931623931623933,0.7,0.03418803418803419,0.7999999999999999,0.03418803418803419,True,False,False
IBS-S-03_s7_t2_IBS-U-KM-KARL-GALSTER_1S3S1-0,IBS-S-03,2,6,0.0,0.0,0.5333333333333332,0.0,0.0,0.03418803418803419,0.5333333333333332,0.034188034188034185,False,False,False
IBS-S-03_s7_t2_IBS-U-KM-RICHARD-BEITZEN_1S1S1S1S-0,IBS-S-03,2,6,0.0,0.0,0.5333333333333332,0.015384615384615389,0.45000000000000007,0.03418803418803419,0.5333333333333332,0.05128205128205129,False,False,False
IBS-S-03_s7_t4_IBS-U-KM-KARL-GALSTER_3S-0,IBS-S-03,4,3,0.0,0.0,0.8,0.0,0.0,0.02,1.3333333333333333,0.017777777777777778,False,True,False
