scenario,seed,turn,side,profile,complete,direct_outcome,hybrid_outcome,shuffled_outcome
IBS-S-01,1,2,allies,adaptive,True,0.8,0.8,0.8
IBS-S-01,2,2,allies,adaptive,True,1.0,1.0,1.0
IBS-S-01,2,3,allies,adaptive,True,0.8,0.8,0.8
IBS-S-01,2,5,axis,adaptive,True,-1.0,-1.0,-1.0
IBS-S-01,1,2,allies,direct_attack,True,0.4,0.4,0.4
IBS-S-01,1,5,axis,direct_attack,True,-1.0,-1.0,-1.0
IBS-S-01,1,5,allies,direct_attack,True,1.0,1.0,1.0
IBS-S-01,1,6,allies,direct_attack,True,1.0,1.0,1.0
IBS-S-01,1,2,allies,area_denial,True,0.8,0.8,0.8
IBS-S-01,1,3,allies,area_denial,True,0.2,0.4,0.4
IBS-S-01,1,4,allies,area_denial,True,0.4,0.4,0.4
IBS-S-01,1,5,axis,area_denial,True,-0.4,-0.4,-0.4
IBS-S-01,1,2,allies,break_crossing_t,True,0.6,0.6,0.6
IBS-S-01,1,3,allies,break_crossing_t,True,0.2,0.4,0.4
IBS-S-01,1,4,allies,break_crossing_t,True,0.6,0.6,0.6
IBS-S-01,1,5,axis,break_crossing_t,True,-0.6,-0.8,-0.6
IBS-S-01,1,2,allies,crossfire,True,0.6,0.8,0.8
IBS-S-01,2,2,allies,crossfire,True,1.0,1.0,1.0
IBS-S-01,2,3,allies,crossfire,True,0.6,0.4,0.4
IBS-S-01,2,5,axis,crossfire,True,-0.8,-1.0,-0.8
IBS-S-03,1,1,axis,adaptive,True,-0.6,-0.2,-0.6
IBS-S-03,1,2,allies,adaptive,True,-0.2,-0.2,-0.2
IBS-S-03,3,1,axis,adaptive,True,1.0,1.0,1.0
IBS-S-03,4,1,axis,adaptive,True,-0.6,-0.6,-0.6
IBS-S-03,1,1,axis,direct_attack,True,-0.2,0.2,-0.2
IBS-S-03,1,2,allies,direct_attack,True,-1.0,-1.0,-1.0
IBS-S-03,2,2,allies,direct_attack,True,0.6,1.0,1.0
IBS-S-03,3,1,axis,direct_attack,True,-0.6,-1.0,-0.6
IBS-S-03,1,1,axis,area_denial,True,-0.2,0.2,-0.2
IBS-S-03,1,2,allies,area_denial,True,-1.0,-1.0,-1.0
IBS-S-03,3,1,axis,area_denial,True,1.0,0.2,1.0
IBS-S-03,4,1,axis,area_denial,True,-0.2,-0.2,-0.2
IBS-S-03,1,1,axis,break_crossing_t,True,-0.2,0.2,-0.2
IBS-S-03,1,2,allies,break_crossing_t,True,-1.0,-0.6,-0.6
IBS-S-03,2,2,axis,break_crossing_t,True,1.0,1.0,1.0
IBS-S-03,3,1,axis,break_crossing_t,True,1.0,0.2,1.0
IBS-S-03,1,1,axis,crossfire,True,-0.6,-0.2,-0.6
IBS-S-03,1,2,allies,crossfire,True,-0.6,-0.6,-0.6
IBS-S-03,3,1,axis,crossfire,True,1.0,1.0,1.0
IBS-S-03,4,1,axis,crossfire,True,-0.6,-0.6,-0.6
