track,task,method,status,n
A,balance,planning_operator,ERROR_WITH_TRACE,2
A,balance,planning_operator,SUCCESS,208
A,sampling,planning_operator,SUCCESS,200
A0,balance,random_policy,SUCCESS,500
A0,sampling,frozen_policy,SUCCESS,800
A0,sampling,random_policy,SUCCESS,500
B,balance,universe_label,SUCCESS,2865
B,sampling,universe_label,SUCCESS,722
C,balance,exhaustive_repair,SUCCESS,23
C,balance,fault_generation,REJECTED_WITH_REASON,1958
C,balance,fault_generation,SUCCESS,50
C,sampling,fault_generation,REJECTED_WITH_REASON,1754
C,sampling,fault_generation,SUCCESS,1

# reconciliation: {"attempted": 9583, "SUCCESS": 5869, "REJECTED_WITH_REASON": 3712, "ERROR_WITH_TRACE": 2, "reconciles": true}
