task,seed,checkpoint,frame_step,bytes,sha256,train_command
navigation,0,runs/mappo_navigation_s0/mappo_navigation_mlp__e5b07070_26_09_21-17_57_38/checkpoints/checkpoint_480000.pt,480000,5003105,dad1d37b10f68a231ad9e92e664fcd86f68548807e272cd902bb719ca5b5039a,benchmarl/run.py algorithm=mappo task=vmas/navigation seed=0 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
navigation,0,runs/mappo_navigation_s0/mappo_navigation_mlp__e5b07070_26_09_21-17_57_38/checkpoints/checkpoint_600000.pt,600000,5003105,20c6a9ce547326f25f4c2d66c593deca3df740fdb91df42babeba8314cbcb665,benchmarl/run.py algorithm=mappo task=vmas/navigation seed=0 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
navigation,1,runs/mappo_navigation_s1/mappo_navigation_mlp__0c31d416_26_09_21-17_57_38/checkpoints/checkpoint_480000.pt,480000,5003105,1583dc2b55e72ebce95352a3a05780646ddcb26ce65462c63b51e5ce29923d59,benchmarl/run.py algorithm=mappo task=vmas/navigation seed=1 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
navigation,1,runs/mappo_navigation_s1/mappo_navigation_mlp__0c31d416_26_09_21-17_57_38/checkpoints/checkpoint_600000.pt,600000,5003105,f8d6b77ab341dee85dac9116aedead285ed45487bc61b1dc789539f16e9fb0a4,benchmarl/run.py algorithm=mappo task=vmas/navigation seed=1 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
navigation,2,runs/mappo_navigation_s2/mappo_navigation_mlp__26a14faa_26_09_21-17_57_38/checkpoints/checkpoint_480000.pt,480000,5003105,c1ea0808d6372c364228f2e921ba239acee1dc8b100f9839284b336ef04452e6,benchmarl/run.py algorithm=mappo task=vmas/navigation seed=2 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
navigation,2,runs/mappo_navigation_s2/mappo_navigation_mlp__26a14faa_26_09_21-17_57_38/checkpoints/checkpoint_600000.pt,600000,5003105,db646b74a692be460bd1380092224f7109809e6001d0491633deb5675539ba4d,benchmarl/run.py algorithm=mappo task=vmas/navigation seed=2 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
balance,0,runs/mappo_balance_s0/mappo_balance_mlp__709d19f1_26_09_21-18_12_56/checkpoints/checkpoint_480000.pt,480000,5933281,e78af4adbe5dec35cc3e9f68346e223301b78d569139877118b8acca9e19f1ea,benchmarl/run.py algorithm=mappo task=vmas/balance seed=0 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
balance,0,runs/mappo_balance_s0/mappo_balance_mlp__709d19f1_26_09_21-18_12_56/checkpoints/checkpoint_600000.pt,600000,5933281,aaaeec56fe1704857b35e098f7975c87f88dc5735cc3af9352298dda28131856,benchmarl/run.py algorithm=mappo task=vmas/balance seed=0 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
balance,1,runs/mappo_balance_s1/mappo_balance_mlp__02bcd5c2_26_09_21-18_12_59/checkpoints/checkpoint_480000.pt,480000,5933281,87e286e6163092cebbdec45538690bf84827c9e52020fc86c9d9161481306429,benchmarl/run.py algorithm=mappo task=vmas/balance seed=1 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
balance,1,runs/mappo_balance_s1/mappo_balance_mlp__02bcd5c2_26_09_21-18_12_59/checkpoints/checkpoint_600000.pt,600000,5933281,8e7378a00a14fe835b862852da955932ccf975d8e68998d353ea41e48598c5e8,benchmarl/run.py algorithm=mappo task=vmas/balance seed=1 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
balance,2,runs/mappo_balance_s2/mappo_balance_mlp__c3476647_26_09_21-18_13_02/checkpoints/checkpoint_480000.pt,480000,5933281,6eebbb538605a8723692566dd3ef88e4502645edef9b30d484eb4effc4fda1d7,benchmarl/run.py algorithm=mappo task=vmas/balance seed=2 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
balance,2,runs/mappo_balance_s2/mappo_balance_mlp__c3476647_26_09_21-18_13_02/checkpoints/checkpoint_600000.pt,600000,5933281,28d784726fa7380fc1202b7b6d44df6d660ea2dd342a43d9a5936a862ba6229a,benchmarl/run.py algorithm=mappo task=vmas/balance seed=2 experiment.max_n_frames=600000 experiment.train_device=cpu experiment.loggers=[csv] experiment.checkpoint_interval=120000 experiment.checkpoint_at_end=True
