unit_id,track,task,method,attempted,status,reason,exception_type,exception_message,trace_path,sim_queries,sim_steps,wall_seconds,payload
sampling_val_s0_e0,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 288.0603487417102, ""length"": 100}"
sampling_val_s0_e1,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 202.4882165686431, ""length"": 100}"
sampling_val_s0_e2,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 121.68313689503702, ""length"": 100}"
sampling_val_s0_e3,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 152.72315265716117, ""length"": 100}"
sampling_val_s0_e4,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 117.8750215445582, ""length"": 100}"
sampling_val_s0_e5,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 38.71923598084173, ""length"": 100}"
sampling_val_s0_e6,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 270.51861431321595, ""length"": 100}"
sampling_val_s0_e7,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 274.06687715929, ""length"": 100}"
sampling_val_s0_e8,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 3.7753553319332838, ""length"": 100}"
sampling_val_s0_e9,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 176.29346835399804, ""length"": 100}"
sampling_val_s0_e10,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 290.69173079534085, ""length"": 100}"
sampling_val_s0_e11,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 184.26218897552462, ""length"": 100}"
sampling_val_s0_e12,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 198.68411737249698, ""length"": 100}"
sampling_val_s0_e13,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 202.00170638482086, ""length"": 100}"
sampling_val_s0_e14,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 57.71979831528435, ""length"": 100}"
sampling_val_s0_e15,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 173.27661350369453, ""length"": 100}"
sampling_val_s0_e16,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 117.95583618479213, ""length"": 100}"
sampling_val_s0_e17,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 182.8020424469869, ""length"": 100}"
sampling_val_s0_e18,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 118.91029754140618, ""length"": 100}"
sampling_val_s0_e19,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 135.456246477901, ""length"": 100}"
sampling_val_s0_e20,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 221.06728808220942, ""length"": 100}"
sampling_val_s0_e21,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 255.9997211198788, ""length"": 100}"
sampling_val_s0_e22,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 197.90801446142723, ""length"": 100}"
sampling_val_s0_e23,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 162.94540455784863, ""length"": 100}"
sampling_val_s0_e24,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 105.76144437975017, ""length"": 100}"
sampling_val_s0_e25,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 258.87148028053343, ""length"": 100}"
sampling_val_s0_e26,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 110.22792974257581, ""length"": 100}"
sampling_val_s0_e27,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 218.66493948292919, ""length"": 100}"
sampling_val_s0_e28,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 41.75952860941426, ""length"": 100}"
