task,initial_seed,modality,severity_idx,window,agents,severity,return,failure,status
sampling,60000,act_delay,0,10,0,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,10,1,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,10,2,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,30,0,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,30,1,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,30,2,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,50,0,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,50,1,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,50,2,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,70,0,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,70,1,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,70,2,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,90,0,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,90,1,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_delay,0,90,2,1.0,119.73687729853147,1,SUCCESS
sampling,60000,act_drop,0,10,0,0.1,104.63537108010314,1,SUCCESS
sampling,60000,act_drop,0,10,1,0.1,119.73200178608364,1,SUCCESS
sampling,60000,act_drop,0,10,2,0.1,119.51232187564773,1,SUCCESS
sampling,60000,act_drop,0,30,0,0.1,63.460074212715284,1,SUCCESS
sampling,60000,act_drop,0,30,1,0.1,119.72611045587023,1,SUCCESS
sampling,60000,act_drop,0,30,2,0.1,119.81245861872966,1,SUCCESS
sampling,60000,act_drop,0,50,0,0.1,117.24102770859788,1,SUCCESS
sampling,60000,act_drop,0,50,1,0.1,119.72873550704045,1,SUCCESS
sampling,60000,act_drop,0,50,2,0.1,119.7610608874564,1,SUCCESS
sampling,60000,act_drop,0,70,0,0.1,119.3445564603804,1,SUCCESS
sampling,60000,act_drop,0,70,1,0.1,119.73690604567972,1,SUCCESS
sampling,60000,act_drop,0,70,2,0.1,119.68217934194415,1,SUCCESS
sampling,60000,act_drop,0,90,0,0.1,118.17317014492757,1,SUCCESS
sampling,60000,act_drop,0,90,1,0.1,119.73687729839165,1,SUCCESS
sampling,60000,act_drop,0,90,2,0.1,119.69257821154947,1,SUCCESS
sampling,60000,act_drop,1,10,0,0.3,104.6325476974871,1,SUCCESS
sampling,60000,act_drop,1,10,1,0.3,119.7294653367096,1,SUCCESS
sampling,60000,act_drop,1,10,2,0.3,119.47382636926777,1,SUCCESS
sampling,60000,act_drop,1,30,0,0.3,113.4407100001137,1,SUCCESS
sampling,60000,act_drop,1,30,1,0.3,119.7235206202794,1,SUCCESS
sampling,60000,act_drop,1,30,2,0.3,119.77865692663755,1,SUCCESS
sampling,60000,act_drop,1,50,0,0.3,122.70766539596391,1,SUCCESS
sampling,60000,act_drop,1,50,1,0.3,119.73115241786664,1,SUCCESS
sampling,60000,act_drop,1,50,2,0.3,119.7807602566084,1,SUCCESS
sampling,60000,act_drop,1,70,0,0.3,113.82634663368125,1,SUCCESS
sampling,60000,act_drop,1,70,1,0.3,119.73690701198464,1,SUCCESS
sampling,60000,act_drop,1,70,2,0.3,119.67699259780994,1,SUCCESS
sampling,60000,act_drop,1,90,0,0.3,118.15191775120503,1,SUCCESS
sampling,60000,act_drop,1,90,1,0.3,119.73687729839165,1,SUCCESS
sampling,60000,act_drop,1,90,2,0.3,119.69277454924936,1,SUCCESS
sampling,60000,act_noise,0,10,0,0.05,116.7716202088221,1,SUCCESS
sampling,60000,act_noise,0,10,1,0.05,119.741556944444,1,SUCCESS
sampling,60000,act_noise,0,10,2,0.05,119.65830992315519,1,SUCCESS
sampling,60000,act_noise,0,30,0,0.05,117.8466510136359,1,SUCCESS
sampling,60000,act_noise,0,30,1,0.05,119.73543545899712,1,SUCCESS
sampling,60000,act_noise,0,30,2,0.05,119.69357745136698,1,SUCCESS
sampling,60000,act_noise,0,50,0,0.05,109.13599689200791,1,SUCCESS
sampling,60000,act_noise,0,50,1,0.05,119.7363781254861,1,SUCCESS
sampling,60000,act_noise,0,50,2,0.05,119.70665102257553,1,SUCCESS
sampling,60000,act_noise,0,70,0,0.05,119.50617482580584,1,SUCCESS
sampling,60000,act_noise,0,70,1,0.05,119.73687654965295,1,SUCCESS
sampling,60000,act_noise,0,70,2,0.05,119.7180999687765,1,SUCCESS
sampling,60000,act_noise,0,90,0,0.05,119.81925732511037,1,SUCCESS
sampling,60000,act_noise,0,90,1,0.05,119.73687729853532,1,SUCCESS
sampling,60000,act_noise,0,90,2,0.05,119.70090172498654,1,SUCCESS
sampling,60000,act_noise,1,10,0,0.2,108.9059942778173,1,SUCCESS
sampling,60000,act_noise,1,10,1,0.2,119.74895018413116,1,SUCCESS
sampling,60000,act_noise,1,10,2,0.2,119.58639051908843,1,SUCCESS
