task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
balance,20000,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",132.56607055664062,0,SUCCESS,1,"(3, 0, 0, 0)"
balance,20001,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",154.68926239013672,0,SUCCESS,1,"(3, 0, 0, 1)"
balance,20002,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",135.06314849853516,0,SUCCESS,1,"(3, 0, 0, 2)"
balance,20003,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",102.71122741699219,0,SUCCESS,1,"(3, 0, 1, 0)"
balance,20004,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",141.38735961914062,0,SUCCESS,1,"(3, 0, 1, 1)"
balance,20005,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",140.5166473388672,0,SUCCESS,1,"(3, 0, 1, 2)"
balance,20006,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",150.87018585205078,0,SUCCESS,1,"(3, 0, 2, 0)"
balance,20007,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",12.317413330078125,1,SUCCESS,1,"(3, 0, 2, 1)"
balance,20008,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",137.95850372314453,0,SUCCESS,1,"(3, 0, 2, 2)"
balance,20009,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",137.6085090637207,0,SUCCESS,1,"(3, 0, 3, 0)"
balance,20010,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",118.59537506103516,0,SUCCESS,1,"(3, 0, 3, 1)"
balance,20011,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",116.373046875,0,SUCCESS,1,"(3, 0, 3, 2)"
balance,20012,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",29.025970458984375,1,SUCCESS,1,"(3, 0, 4, 0)"
balance,20013,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",119.72419738769531,0,SUCCESS,1,"(3, 0, 4, 1)"
balance,20014,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",157.00621032714844,0,SUCCESS,1,"(3, 0, 4, 2)"
balance,20015,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",119.59382629394531,0,SUCCESS,1,"(2, 0, 0, 0)"
balance,20016,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",135.28978729248047,0,SUCCESS,1,"(2, 0, 0, 1)"
balance,20017,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",133.24161529541016,0,SUCCESS,1,"(2, 0, 0, 2)"
balance,20018,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",119.54230499267578,0,SUCCESS,1,"(2, 0, 1, 0)"
balance,20019,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",105.41207885742188,0,SUCCESS,1,"(2, 0, 1, 1)"
balance,20020,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",117.46810913085938,0,SUCCESS,1,"(2, 0, 1, 2)"
balance,20021,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",118.16720581054688,0,SUCCESS,1,"(2, 0, 2, 0)"
balance,20022,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",137.9420928955078,0,SUCCESS,1,"(2, 0, 2, 1)"
balance,20023,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",146.7073516845703,0,SUCCESS,1,"(2, 0, 2, 2)"
balance,20024,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",133.68230438232422,0,SUCCESS,1,"(2, 0, 3, 0)"
balance,20025,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",148.6629180908203,0,SUCCESS,1,"(2, 0, 3, 1)"
balance,20026,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",128.18710327148438,0,SUCCESS,1,"(2, 0, 3, 2)"
balance,20027,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",133.29608917236328,0,SUCCESS,1,"(2, 0, 4, 0)"
balance,20028,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",117.3204345703125,0,SUCCESS,1,"(2, 0, 4, 1)"
balance,20029,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",120.82612609863281,0,SUCCESS,1,"(2, 0, 4, 2)"
balance,20030,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.3}",128.31967163085938,0,SUCCESS,1,"(2, 1, 0, 0)"
balance,20031,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.3}",131.31914520263672,0,SUCCESS,1,"(2, 1, 0, 1)"
balance,20032,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.3}",126.26044464111328,0,SUCCESS,1,"(2, 1, 0, 2)"
balance,20033,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.3}",116.81840515136719,1,SUCCESS,1,"(2, 1, 1, 0)"
balance,20034,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.3}",39.87336730957031,1,SUCCESS,1,"(2, 1, 1, 1)"
balance,20035,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.3}",118.2981948852539,0,SUCCESS,1,"(2, 1, 1, 2)"
balance,20036,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.3}",101.2386703491211,0,SUCCESS,1,"(2, 1, 2, 0)"
balance,20037,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.3}",146.1851806640625,0,SUCCESS,1,"(2, 1, 2, 1)"
