task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
sampling,20000,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",200.34634037408978,0,SUCCESS,1,"(3, 0, 0, 0)"
sampling,20001,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",231.47375069363625,0,SUCCESS,1,"(3, 0, 0, 1)"
sampling,20002,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",154.48317033686087,1,SUCCESS,1,"(3, 0, 0, 2)"
sampling,20003,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",131.4962771999603,1,SUCCESS,1,"(3, 0, 1, 0)"
sampling,20004,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",194.528145111857,0,SUCCESS,1,"(3, 0, 1, 1)"
sampling,20005,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",159.76086841161165,1,SUCCESS,1,"(3, 0, 1, 2)"
sampling,20006,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",184.00414698929671,0,SUCCESS,1,"(3, 0, 2, 0)"
sampling,20007,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",216.8426944417879,0,SUCCESS,1,"(3, 0, 2, 1)"
sampling,20008,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",221.4127167427477,0,SUCCESS,1,"(3, 0, 2, 2)"
sampling,20009,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",54.408441328840475,1,SUCCESS,1,"(3, 0, 3, 0)"
sampling,20010,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",163.7652760825149,0,SUCCESS,1,"(3, 0, 3, 1)"
sampling,20011,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",286.7086855536327,0,SUCCESS,1,"(3, 0, 3, 2)"
sampling,20012,"{""modality"": ""act_delay"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",142.7535496734854,1,SUCCESS,1,"(3, 0, 4, 0)"
sampling,20013,"{""modality"": ""act_delay"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",153.6760923243619,1,SUCCESS,1,"(3, 0, 4, 1)"
sampling,20014,"{""modality"": ""act_delay"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",248.26861887422274,0,SUCCESS,1,"(3, 0, 4, 2)"
sampling,20015,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",203.03143629804254,0,SUCCESS,1,"(2, 0, 0, 0)"
sampling,20016,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",223.25900003111894,0,SUCCESS,1,"(2, 0, 0, 1)"
sampling,20017,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",227.38825554493815,0,SUCCESS,1,"(2, 0, 0, 2)"
sampling,20018,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",211.24396709388589,0,SUCCESS,1,"(2, 0, 1, 0)"
sampling,20019,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",19.260489292842127,1,SUCCESS,1,"(2, 0, 1, 1)"
sampling,20020,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",299.5283488109708,0,SUCCESS,1,"(2, 0, 1, 2)"
sampling,20021,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",214.59954392910004,0,SUCCESS,1,"(2, 0, 2, 0)"
sampling,20022,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",131.6252525120421,1,SUCCESS,1,"(2, 0, 2, 1)"
sampling,20023,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",272.3103233501315,0,SUCCESS,1,"(2, 0, 2, 2)"
sampling,20024,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",216.88255282840692,0,SUCCESS,1,"(2, 0, 3, 0)"
sampling,20025,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",192.02728914341424,0,SUCCESS,1,"(2, 0, 3, 1)"
sampling,20026,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",277.1047098770068,0,SUCCESS,1,"(2, 0, 3, 2)"
sampling,20027,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",194.13339836255182,0,SUCCESS,1,"(2, 0, 4, 0)"
sampling,20028,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",184.75433228940528,0,SUCCESS,1,"(2, 0, 4, 1)"
sampling,20029,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",280.7819913625717,0,SUCCESS,1,"(2, 0, 4, 2)"
sampling,20030,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.3}",214.97457706416026,0,SUCCESS,1,"(2, 1, 0, 0)"
sampling,20031,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.3}",252.30368444602937,0,SUCCESS,1,"(2, 1, 0, 1)"
sampling,20032,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.3}",156.46276725248234,1,SUCCESS,1,"(2, 1, 0, 2)"
sampling,20033,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.3}",154.48504386214,1,SUCCESS,1,"(2, 1, 1, 0)"
sampling,20034,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.3}",283.67680122703314,0,SUCCESS,1,"(2, 1, 1, 1)"
sampling,20035,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.3}",201.9016004037112,0,SUCCESS,1,"(2, 1, 1, 2)"
sampling,20036,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.3}",166.08183716470376,0,SUCCESS,1,"(2, 1, 2, 0)"
sampling,20037,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.3}",234.19305718503892,0,SUCCESS,1,"(2, 1, 2, 1)"
sampling,20038,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.3}",300.3878923729062,0,SUCCESS,1,"(2, 1, 2, 2)"
sampling,20039,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.3}",288.9828634771693,0,SUCCESS,1,"(2, 1, 3, 0)"
sampling,20040,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.3}",179.734082676994,0,SUCCESS,1,"(2, 1, 3, 1)"
sampling,20041,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.3}",2.775891149228247,1,SUCCESS,1,"(2, 1, 3, 2)"
sampling,20042,"{""modality"": ""act_drop"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.3}",150.136681835525,1,SUCCESS,1,"(2, 1, 4, 0)"
sampling,20043,"{""modality"": ""act_drop"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.3}",237.27129505947232,0,SUCCESS,1,"(2, 1, 4, 1)"
sampling,20044,"{""modality"": ""act_drop"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.3}",242.02692574448884,0,SUCCESS,1,"(2, 1, 4, 2)"
sampling,20045,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",243.72524613887072,0,SUCCESS,1,"(1, 0, 0, 0)"
sampling,20046,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",215.55666929204017,0,SUCCESS,1,"(1, 0, 0, 1)"
sampling,20047,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",141.64762711623916,1,SUCCESS,1,"(1, 0, 0, 2)"
sampling,20048,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",190.86236356667905,0,SUCCESS,1,"(1, 0, 1, 0)"
sampling,20049,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",171.16847123581883,0,SUCCESS,1,"(1, 0, 1, 1)"
sampling,20050,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",143.14874623553294,1,SUCCESS,1,"(1, 0, 1, 2)"
