case_id,modality,agent,severity,t_start
balance_000,obs_corrupt,0,0.5,20
balance_001,act_drop,2,1.0,60
balance_002,obs_corrupt,1,0.8,60
balance_003,obs_corrupt,2,1.0,60
balance_004,obs_corrupt,0,0.8,40
balance_005,act_drop,2,0.8,60
balance_006,act_drop,2,0.8,20
balance_007,obs_corrupt,1,0.5,40
balance_008,obs_corrupt,0,0.5,40
balance_009,obs_corrupt,1,1.0,60
balance_010,obs_corrupt,2,0.8,60
balance_011,obs_corrupt,1,0.5,60
balance_012,act_drop,1,0.5,20
balance_013,obs_corrupt,2,0.5,60
balance_014,act_drop,1,0.8,60
balance_015,act_drop,0,1.0,60
balance_016,obs_corrupt,0,0.5,40
balance_017,act_drop,0,1.0,60
balance_018,obs_corrupt,1,0.5,20
balance_019,obs_corrupt,0,1.0,20
balance_020,act_drop,0,0.5,60
balance_021,obs_corrupt,2,1.0,60
balance_022,obs_corrupt,2,0.8,60
balance_023,obs_corrupt,1,1.0,60
balance_024,obs_corrupt,1,0.8,40
balance_025,act_drop,2,1.0,20
balance_026,act_drop,2,0.5,60
sampling_000,act_drop,2,0.8,20
