setting,agent,env,clean_return,fault_return,valid,status,error,summary,n_pairs,yield,lcb,in_band
"[0.3, 8]",0,0,786.1171264648438,619.8485717773438,0,SUCCESS,,,,,,
"[0.3, 8]",0,1,786.1171264648438,619.8485717773438,1,SUCCESS,,,,,,
"[0.3, 8]",0,2,786.1171264648438,619.8485717773438,0,SUCCESS,,,,,,
"[0.3, 8]",0,3,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,4,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,5,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,6,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,7,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,8,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,9,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,10,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,11,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,12,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,13,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,14,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,15,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,16,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,17,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,18,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,19,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,20,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,21,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,22,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,23,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,24,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,25,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,26,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,27,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,28,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,29,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,30,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,31,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,32,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",0,33,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,0,951.683837890625,758.5109252929688,0,SUCCESS,,,,,,
"[0.3, 8]",1,1,951.683837890625,758.5109252929688,0,SUCCESS,,,,,,
"[0.3, 8]",1,2,951.683837890625,758.5109252929688,0,SUCCESS,,,,,,
"[0.3, 8]",1,3,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,4,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,5,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,6,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,7,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,8,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,9,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,10,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,11,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,12,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,13,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,14,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,15,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,16,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,17,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,18,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,19,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,20,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,21,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,22,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,23,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,24,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,25,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,26,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,27,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,28,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,29,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,30,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,31,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,32,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",1,33,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,0,980.574951171875,900.8519897460938,0,SUCCESS,,,,,,
"[0.3, 8]",2,1,980.574951171875,900.8519897460938,0,SUCCESS,,,,,,
"[0.3, 8]",2,2,980.574951171875,900.8519897460938,0,SUCCESS,,,,,,
"[0.3, 8]",2,3,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,4,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,5,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,6,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,7,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,8,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,9,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,10,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,11,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,12,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,13,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,14,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,15,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,16,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,17,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,18,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,19,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,20,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,21,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,22,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,23,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,24,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,25,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,26,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,27,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,28,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,29,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,30,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,31,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,32,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",2,33,0.0,0.0,0,SUCCESS,,,,,,
"[0.3, 8]",,,,,,SUCCESS,,True,102,0.00980392156862745,0.0017326897927338984,False
"[0.6, 8]",0,0,1216.2825927734375,826.8291015625,0,SUCCESS,,,,,,
"[0.6, 8]",0,1,1216.2825927734375,826.8291015625,0,SUCCESS,,,,,,
"[0.6, 8]",0,2,1216.2825927734375,826.8291015625,0,SUCCESS,,,,,,
"[0.6, 8]",0,3,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,4,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,5,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,6,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,7,0.0,0.0,1,SUCCESS,,,,,,
"[0.6, 8]",0,8,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,9,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,10,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,11,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,12,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,13,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,14,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,15,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,16,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,17,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,18,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,19,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,20,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,21,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,22,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,23,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,24,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,25,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,26,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,27,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,28,0.0,0.0,1,SUCCESS,,,,,,
"[0.6, 8]",0,29,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,30,0.0,0.0,0,SUCCESS,,,,,,
"[0.6, 8]",0,31,0.0,0.0,0,SUCCESS,,,,,,
