setting,agent,env,clean_return,fault_return,valid,status,error,summary,n_pairs,yield,lcb,in_band
"[0.5, 8]",0,0,1908.7086181640625,1941.0040283203125,0,SUCCESS,,,,,,
"[0.5, 8]",0,1,1908.7086181640625,1941.0040283203125,0,SUCCESS,,,,,,
"[0.5, 8]",0,2,1908.7086181640625,1941.0040283203125,0,SUCCESS,,,,,,
"[0.5, 8]",0,3,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,4,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,5,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,6,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,7,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,8,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,9,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,10,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,11,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,12,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,13,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,14,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,15,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,16,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,17,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,18,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,19,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,20,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,21,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,22,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,23,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,24,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,25,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,26,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,27,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,28,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,29,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,30,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,31,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,32,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",0,33,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,0,2484.904541015625,2435.27685546875,0,SUCCESS,,,,,,
"[0.5, 8]",1,1,2484.904541015625,2435.27685546875,0,SUCCESS,,,,,,
"[0.5, 8]",1,2,2484.904541015625,2435.27685546875,0,SUCCESS,,,,,,
"[0.5, 8]",1,3,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,4,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,5,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,6,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,7,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,8,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,9,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,10,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,11,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,12,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,13,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,14,0.0,0.0,0,SUCCESS,,,,,,
"[0.5, 8]",1,15,0.0,0.0,0,SUCCESS,,,,,,
