task,mode,episode_seed,return,length
balance,random,9000,-37.828033447265625,37
balance,random,9001,-44.46199035644531,41
balance,random,9002,-3.3196563720703125,100
balance,random,9003,-35.413787841796875,48
balance,random,9004,-41.675994873046875,69
balance,random,9005,-14.829299926757812,100
balance,random,9006,-38.61396789550781,40
balance,random,9007,-3.409698486328125,100
balance,random,9008,-4.019622802734375,100
balance,random,9009,-1.708465576171875,100
balance,random,9010,-43.12330627441406,42
balance,random,9011,-39.50372314453125,26
balance,random,9012,-42.06642150878906,81
balance,random,9013,-38.553680419921875,85
balance,random,9014,-42.09686279296875,87
balance,random,9015,-33.93067932128906,89
balance,random,9016,-43.44767761230469,49
balance,random,9017,-3.3452911376953125,100
balance,random,9018,-40.78266906738281,57
balance,random,9019,-33.47987365722656,47
balance,random,9020,-36.18617248535156,57
balance,random,9021,-40.91487121582031,77
balance,random,9022,-38.655303955078125,65
balance,random,9023,-45.70298767089844,46
balance,random,9024,0.4329071044921875,100
balance,random,9025,-43.527854919433594,69
balance,random,9026,-40.83453369140625,41
balance,random,9027,-38.00614929199219,32
balance,random,9028,-46.72796630859375,61
balance,random,9029,-38.508087158203125,58
balance,random,9030,-49.67710876464844,80
balance,random,9031,-43.090484619140625,42
balance,random,9032,-33.31983947753906,70
balance,random,9033,-3.2405548095703125,100
balance,random,9034,-5.048561096191406,100
balance,random,9035,-38.42408752441406,52
balance,random,9036,-38.007591247558594,68
balance,random,9037,-46.25413513183594,70
balance,random,9038,-0.7548065185546875,100
balance,random,9039,-17.583892822265625,100
balance,random,9040,-4.5939788818359375,100
balance,random,9041,-4.645660400390625,100
balance,random,9042,-9.53521728515625,100
balance,random,9043,-42.887786865234375,63
balance,random,9044,-37.28416442871094,48
balance,random,9045,-40.97918701171875,45
balance,random,9046,-5.14398193359375,100
balance,random,9047,-42.283058166503906,48
balance,random,9048,-39.49969482421875,46
balance,random,9049,-48.47607421875,40
balance,random,9050,-38.74040222167969,78
balance,random,9051,-39.53096008300781,54
balance,random,9052,-39.63816833496094,52
balance,random,9053,-37.87085723876953,71
balance,random,9054,-31.830047607421875,60
balance,random,9055,-36.10382080078125,84
balance,random,9056,-7.75323486328125,100
balance,random,9057,-39.53636169433594,65
balance,random,9058,-45.15971374511719,52
balance,random,9059,-32.81684875488281,54
balance,random,9060,-33.46147155761719,43
balance,random,9061,-39.01185607910156,49
balance,random,9062,-43.72400665283203,52
balance,random,9063,-39.64338684082031,29
balance,random,9064,-42.452178955078125,81
balance,random,9065,-42.79522705078125,48
balance,random,9066,-35.435302734375,79
balance,random,9067,-37.690589904785156,62
balance,random,9068,-41.95978546142578,45
balance,random,9069,-35.64234924316406,43
balance,random,9070,-43.36042785644531,69
balance,random,9071,-4.1187744140625,100
balance,random,9072,-6.6064453125,100
balance,random,9073,-13.58734130859375,100
balance,random,9074,-40.28068542480469,58
balance,random,9075,-2.68231201171875,100
balance,random,9076,-3.136688232421875,100
balance,random,9077,-35.79808044433594,46
balance,random,9078,-40.61327362060547,77
balance,random,9079,-42.2025146484375,33
balance,random,9080,-40.28009033203125,70
balance,random,9081,-36.630706787109375,68
balance,random,9082,-45.58909606933594,67
balance,random,9083,-48.77604675292969,52
balance,random,9084,-36.88385009765625,57
balance,random,9085,-37.98479461669922,68
balance,random,9086,-4.89605712890625,100
balance,random,9087,-38.30433654785156,73
balance,random,9088,-11.329833984375,100
balance,random,9089,-4.0661773681640625,100
balance,random,9090,-37.06695556640625,76
balance,random,9091,-14.6751708984375,100
balance,random,9092,-2.1066741943359375,100
balance,random,9093,-1.807891845703125,100
balance,random,9094,-47.9326171875,53
balance,random,9095,-36.84242248535156,36
balance,random,9096,-3.86737060546875,100
balance,random,9097,-4.4050140380859375,100
balance,random,9098,-47.946990966796875,41
balance,random,9099,-18.30846405029297,100
balance,random,9100,-2.835296630859375,100
balance,random,9101,-2.403076171875,100
balance,random,9102,-41.89984130859375,78
balance,random,9103,-2.6017684936523438,100
balance,random,9104,-4.5383148193359375,100
balance,random,9105,-38.07989501953125,94
balance,random,9106,-40.556739807128906,35
balance,random,9107,-42.05644226074219,68
balance,random,9108,-40.04047393798828,49
balance,random,9109,-37.5677490234375,36
balance,random,9110,-35.76832580566406,71
balance,random,9111,-36.77494812011719,37
balance,random,9112,-43.9405517578125,54
balance,random,9113,-42.6888427734375,38
balance,random,9114,-40.99104309082031,68
balance,random,9115,-40.57598876953125,67
balance,random,9116,-7.166473388671875,100
balance,random,9117,-2.8055877685546875,100
balance,random,9118,-2.4966659545898438,100
balance,random,9119,-46.87847900390625,52
balance,random,9120,-43.23907470703125,96
balance,random,9121,-43.95945739746094,55
balance,random,9122,-2.5505905151367188,100
balance,random,9123,-36.4559326171875,38
balance,random,9124,-2.93682861328125,100
balance,random,9125,-3.75567626953125,100
balance,random,9126,-1.6711578369140625,100
balance,random,9127,-34.91825866699219,88
balance,random,9128,-38.39662170410156,40
balance,random,9129,-4.3677978515625,100
balance,random,9130,-39.46234130859375,50
balance,random,9131,-45.18415832519531,86
balance,random,9132,-40.102203369140625,43
balance,random,9133,-8.675399780273438,100
balance,random,9134,-38.23187255859375,57
balance,random,9135,-4.3022918701171875,100
balance,random,9136,-5.7271270751953125,100
balance,random,9137,-47.814239501953125,59
balance,random,9138,-43.37736511230469,73
balance,random,9139,-3.0275115966796875,100
balance,random,9140,-44.5477294921875,51
balance,random,9141,-42.64405059814453,90
balance,random,9142,-4.2080841064453125,100
balance,random,9143,-2.3799591064453125,100
balance,random,9144,-16.231658935546875,100
balance,random,9145,-6.7396087646484375,100
balance,random,9146,-2.8019256591796875,100
balance,random,9147,-10.572830200195312,100
balance,random,9148,-4.805946350097656,100
balance,random,9149,-42.34712219238281,54
balance,random,9150,-14.751823425292969,100
balance,random,9151,-5.7498779296875,100
balance,random,9152,-44.70222473144531,39
balance,random,9153,-6.8420562744140625,100
balance,random,9154,-42.992340087890625,59
balance,random,9155,-37.334014892578125,100
balance,random,9156,-43.60057067871094,49
balance,random,9157,-2.4235382080078125,100
balance,random,9158,-2.29522705078125,100
balance,random,9159,-33.051795959472656,88
balance,random,9160,-33.6829833984375,67
balance,random,9161,-4.583610534667969,100
balance,random,9162,-44.887481689453125,91
balance,random,9163,-41.578857421875,65
balance,random,9164,-8.781234741210938,100
balance,random,9165,-36.712646484375,53
balance,random,9166,-37.75341796875,56
balance,random,9167,-4.779052734375,100
balance,random,9168,-40.91949462890625,81
balance,random,9169,-45.512420654296875,46
balance,random,9170,-43.83476257324219,67
balance,random,9171,-0.9090728759765625,100
balance,random,9172,-45.728118896484375,50
balance,random,9173,-44.61955261230469,80
balance,random,9174,-44.901123046875,64
balance,random,9175,-3.954437255859375,100
balance,random,9176,-8.455673217773438,100
balance,random,9177,-48.75846862792969,68
balance,random,9178,-1.91217041015625,100
balance,random,9179,-38.14906311035156,55
balance,random,9180,-42.04234313964844,42
balance,random,9181,-41.492889404296875,46
balance,random,9182,-44.74131774902344,60
balance,random,9183,-46.75090026855469,90
balance,random,9184,-6.597908020019531,100
balance,random,9185,-4.0199432373046875,100
balance,random,9186,-42.81230163574219,68
balance,random,9187,-34.89198303222656,53
balance,random,9188,-36.6932373046875,37
balance,random,9189,-2.349700927734375,100
balance,random,9190,-47.86651611328125,83
balance,random,9191,-42.019500732421875,73
balance,random,9192,-3.0059967041015625,100
balance,random,9193,-40.738494873046875,81
balance,random,9194,-43.68651580810547,68
balance,random,9195,-42.87103271484375,44
balance,random,9196,-39.43290710449219,61
balance,random,9197,-1.634033203125,100
balance,random,9198,-3.6690673828125,100
balance,random,9199,-36.60516357421875,83
balance,random,9200,-1.9314422607421875,100
balance,random,9201,-39.55096435546875,61
balance,random,9202,-7.39874267578125,100
balance,random,9203,-48.1988525390625,57
balance,random,9204,-6.1449737548828125,100
balance,random,9205,-12.833724975585938,100
balance,random,9206,-2.8605194091796875,100
balance,random,9207,0.0748443603515625,100
balance,random,9208,-39.711456298828125,33
balance,random,9209,-46.167755126953125,47
balance,random,9210,-4.2034149169921875,100
balance,random,9211,-2.4066696166992188,100
balance,random,9212,-44.388336181640625,68
balance,random,9213,-7.6002960205078125,100
balance,random,9214,-43.23143005371094,57
balance,random,9215,-2.138397216796875,100
balance,random,9216,-45.6888427734375,47
balance,random,9217,-33.49134063720703,39
balance,random,9218,-5.8016510009765625,100
balance,random,9219,-37.37480163574219,50
balance,random,9220,-4.538360595703125,100
balance,random,9221,-34.853187561035156,53
balance,random,9222,-38.13835144042969,63
balance,random,9223,-33.83404541015625,64
balance,random,9224,-33.444671630859375,71
balance,random,9225,-2.721771240234375,100
balance,random,9226,-11.038833618164062,100
balance,random,9227,-36.84645080566406,65
balance,random,9228,-3.0574493408203125,100
balance,random,9229,-35.492591857910156,54
balance,random,9230,-4.2308349609375,100
balance,random,9231,-45.87117004394531,46
balance,random,9232,-1.576446533203125,100
balance,random,9233,-42.24531555175781,34
balance,random,9234,-9.449478149414062,100
balance,random,9235,-42.93104553222656,41
balance,random,9236,-32.35276794433594,53
balance,random,9237,-39.75901794433594,41
balance,random,9238,-45.51823425292969,51
balance,random,9239,-10.0081787109375,100
balance,random,9240,-41.73582458496094,61
balance,random,9241,-37.27020263671875,28
balance,random,9242,-7.48004150390625,100
balance,random,9243,-34.51251983642578,77
balance,random,9244,-41.39854431152344,41
balance,random,9245,-4.4549102783203125,100
balance,random,9246,-43.73735046386719,32
balance,random,9247,-41.300514221191406,74
balance,random,9248,-3.745880126953125,100
balance,random,9249,-34.33012390136719,80
balance,random,9250,-34.84767150878906,50
balance,random,9251,-45.44700622558594,81
balance,random,9252,-41.01734161376953,85
balance,random,9253,-38.98292541503906,50
balance,random,9254,-35.27247619628906,74
balance,random,9255,-50.78887939453125,66
balance,random,9256,-39.549774169921875,50
balance,random,9257,-9.380813598632812,100
balance,random,9258,-34.76325988769531,58
balance,random,9259,-41.34132385253906,69
