cell,cold_pulse,hazard_cold,hazard_hot,hex,hot_pulse
chase:1v1,"[2, 2]",0.0,0.999999788957467,T19,"[2, 0]"
chase:1v1,"[2, 0]",0.0,0.999999788957467,W18,"[2, 3]"
chase:1v1,"[2, 3]",0.0,0.999999788957467,U19,"[2, 1]"
chase:2v1,"[2, 0]",0.0,0.9999999954766261,W18,"[2, 3]"
chase:2v1,"[2, 0]",0.0,0.9999999954766261,V18,"[2, 2]"
chase:2v1,"[2, 0]",0.0,0.999999788957467,W17,"[2, 4]"
close:1v1,"[2, 2]",0.0,0.999999788957467,T19,"[2, 0]"
close:1v1,"[2, 0]",0.0,0.999999788957467,W18,"[2, 3]"
close:1v1,"[2, 3]",0.0,0.999999788957467,U19,"[2, 1]"
close:2v1,"[2, 0]",0.0,0.9999999954766261,W18,"[2, 3]"
close:2v1,"[2, 0]",0.0,0.9999999954766261,V18,"[2, 2]"
close:2v1,"[2, 0]",0.0,0.999999788957467,W17,"[2, 4]"
crossing:1v1,"[2, 2]",0.0,0.999999788957467,T19,"[2, 0]"
crossing:1v1,"[2, 0]",0.0,0.999999788957467,W18,"[2, 3]"
crossing:1v1,"[2, 3]",0.0,0.999999788957467,U19,"[2, 1]"
crossing:2v1,"[2, 0]",0.0,0.9999999954766261,W18,"[2, 3]"
crossing:2v1,"[2, 0]",0.0,0.9999999954766261,V18,"[2, 2]"
crossing:2v1,"[2, 0]",0.0,0.999999788957467,W17,"[2, 4]"
opposing:1v1,"[2, 2]",0.0,0.999999788957467,T19,"[2, 0]"
opposing:1v1,"[2, 0]",0.0,0.999999788957467,W18,"[2, 3]"
opposing:1v1,"[2, 3]",0.0,0.999999788957467,U19,"[2, 1]"
opposing:2v1,"[2, 0]",0.0,0.9999999954766261,W18,"[2, 3]"
opposing:2v1,"[2, 0]",0.0,0.9999999954766261,V18,"[2, 2]"
opposing:2v1,"[2, 0]",0.0,0.999999788957467,W17,"[2, 4]"
