cell,k,eps,eps_abs,n_B,n_B_surviving,c_resp,n_B_surviving_rawpenalty,c_resp_rawpenalty,n_top_tier_in_B,n_top_tier_pruned,hazard_mean_in_B,n_top_tier_contacted,n_top_tier_total,top_tier_all_contacted,v_resp_norm,v_resp_norm_rawpenalty,lane_e_hits_topk
chase:1v1,1,0.05,0.26666666666666666,48,48,0.0,48,0.0,48,0,0.005208333333333336,3,48,False,0.0,0.0,[0.0833]
chase:1v1,1,0.1,0.5333333333333333,48,48,0.0,48,0.0,48,0,0.005208333333333336,3,48,False,0.0,0.0,[0.0833]
chase:1v1,1,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.005208333333333336,3,48,False,0.0,0.0,[0.0833]
chase:1v1,2,0.05,0.26666666666666666,48,45,0.0625,48,0.0,48,3,0.016927083333333343,7,48,False,0.0,0.0,"[0.0833, 0.0833]"
chase:1v1,2,0.1,0.5333333333333333,48,48,0.0,48,0.0,48,0,0.016927083333333343,7,48,False,0.0,0.0,"[0.0833, 0.0833]"
chase:1v1,2,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.016927083333333343,7,48,False,0.0,0.0,"[0.0833, 0.0833]"
chase:1v1,4,0.05,0.26666666666666666,48,41,0.14583333333333337,48,0.0,48,7,0.03313982928240742,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
chase:1v1,4,0.1,0.5333333333333333,48,45,0.0625,48,0.0,48,3,0.03313982928240742,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
chase:1v1,4,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.03313982928240742,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
chase:1v1,6,0.05,0.26666666666666666,48,41,0.14583333333333337,48,0.0,48,7,0.04275129655751673,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
chase:1v1,6,0.1,0.5333333333333333,48,44,0.08333333333333337,48,0.0,48,4,0.04275129655751673,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
chase:1v1,6,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.04275129655751673,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
chase:2v1,1,0.05,0.5333333333333334,45,44,0.022222222222222254,45,0.0,45,1,0.009876543209876545,5,45,False,0.0,0.0,[0.0833]
chase:2v1,1,0.1,1.0666666666666669,45,45,0.0,45,0.0,45,0,0.009876543209876545,5,45,False,0.0,0.0,[0.0833]
chase:2v1,1,0.2,2.1333333333333337,45,45,0.0,45,0.0,45,0,0.009876543209876545,5,45,False,0.0,0.0,[0.0833]
chase:2v1,2,0.05,0.5333333333333334,45,41,0.0888888888888889,45,0.0,45,4,0.014969135802469141,5,45,False,0.0,0.0,"[0.0833, 0.0833]"
chase:2v1,2,0.1,1.0666666666666669,45,45,0.0,45,0.0,45,0,0.014969135802469141,5,45,False,0.0,0.0,"[0.0833, 0.0833]"
chase:2v1,2,0.2,2.1333333333333337,45,45,0.0,45,0.0,45,0,0.014969135802469141,5,45,False,0.0,0.0,"[0.0833, 0.0833]"
chase:2v1,4,0.05,0.5333333333333334,45,41,0.0888888888888889,45,0.0,45,4,0.028288966049382722,5,45,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
chase:2v1,4,0.1,1.0666666666666669,45,41,0.0888888888888889,45,0.0,45,4,0.028288966049382722,5,45,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
chase:2v1,4,0.2,2.1333333333333337,45,45,0.0,45,0.0,45,0,0.028288966049382722,5,45,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
chase:2v1,6,0.05,0.5333333333333334,45,41,0.0888888888888889,45,0.0,45,4,0.03806671435613856,5,45,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
chase:2v1,6,0.1,1.0666666666666669,45,41,0.0888888888888889,45,0.0,45,4,0.03806671435613856,5,45,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
chase:2v1,6,0.2,2.1333333333333337,45,45,0.0,45,0.0,45,0,0.03806671435613856,5,45,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
close:1v1,1,0.05,0.8666666666666668,20,8,0.6,20,0.0,20,12,0.4333333333333333,12,20,False,0.0,0.0,[1.1389]
close:1v1,1,0.1,1.7333333333333336,20,8,0.6,20,0.0,20,12,0.4333333333333333,12,20,False,0.0,0.0,[1.1389]
close:1v1,1,0.2,3.4666666666666672,20,8,0.6,20,0.0,20,12,0.4333333333333333,12,20,False,0.0,0.0,[1.1389]
close:1v1,2,0.05,0.8666666666666668,20,8,0.6,20,0.0,20,12,0.5537037037037037,12,20,False,0.0,0.0,"[1.1389, 1.1389]"
close:1v1,2,0.1,1.7333333333333336,20,8,0.6,20,0.0,20,12,0.5537037037037037,12,20,False,0.0,0.0,"[1.1389, 1.1389]"
close:1v1,2,0.2,3.4666666666666672,20,8,0.6,20,0.0,20,12,0.5537037037037037,12,20,False,0.0,0.0,"[1.1389, 1.1389]"
close:1v1,4,0.05,0.8666666666666668,20,8,0.6,20,0.0,20,12,0.5924982853223594,12,20,False,0.0,0.0,"[1.1389, 1.1389, 1.1389, 0.4167]"
close:1v1,4,0.1,1.7333333333333336,20,8,0.6,20,0.0,20,12,0.5924982853223594,12,20,False,0.0,0.0,"[1.1389, 1.1389, 1.1389, 0.4167]"
close:1v1,4,0.2,3.4666666666666672,20,8,0.6,20,0.0,20,12,0.5924982853223594,12,20,False,0.0,0.0,"[1.1389, 1.1389, 1.1389, 0.4167]"
close:1v1,6,0.05,0.8666666666666668,20,8,0.6,20,0.0,20,12,0.5974473331999695,12,20,False,0.0,0.0,"[1.1389, 1.1389, 1.1389, 0.4167, 0.4167, 0.4167]"
close:1v1,6,0.1,1.7333333333333336,20,8,0.6,20,0.0,20,12,0.5974473331999695,12,20,False,0.0,0.0,"[1.1389, 1.1389, 1.1389, 0.4167, 0.4167, 0.4167]"
close:1v1,6,0.2,3.4666666666666672,20,8,0.6,20,0.0,20,12,0.5974473331999695,12,20,False,0.0,0.0,"[1.1389, 1.1389, 1.1389, 0.4167, 0.4167, 0.4167]"
close:2v1,1,0.05,1.7333333333333334,2,0,1.0,2,0.0,2,2,0.7222222222222222,2,2,True,0.17307692307692313,0.0071373456790124745,[1.1389]
close:2v1,1,0.1,3.466666666666667,2,0,1.0,2,0.0,2,2,0.7222222222222222,2,2,True,0.17307692307692313,0.0071373456790124745,[1.1389]
close:2v1,1,0.2,6.933333333333334,7,2,0.7142857142857143,7,0.0,2,2,0.4722222222222222,2,2,True,0.17307692307692313,0.0071373456790124745,[1.1389]
close:2v1,2,0.05,1.7333333333333334,2,0,1.0,2,0.0,2,2,0.9228395061728395,2,2,True,0.17307692307692313,0.009119941700960199,"[1.1389, 1.1389]"
close:2v1,2,0.1,3.466666666666667,2,0,1.0,2,0.0,2,2,0.9228395061728395,2,2,True,0.17307692307692313,0.009119941700960199,"[1.1389, 1.1389]"
close:2v1,2,0.2,6.933333333333334,7,2,0.7142857142857143,7,0.0,2,2,0.6215828924162258,2,2,True,0.17307692307692313,0.009119941700960199,"[1.1389, 1.1389]"
close:2v1,4,0.05,1.7333333333333334,2,0,1.0,2,0.0,2,2,0.9940462581923487,2,2,True,0.3405528847510825,0.009823640906281295,"[1.1389, 1.1389, 1.1389, 1.1389]"
close:2v1,4,0.1,3.466666666666667,2,0,1.0,2,0.0,2,2,0.9940462581923487,2,2,True,0.3405528847510825,0.009823640906281295,"[1.1389, 1.1389, 1.1389, 1.1389]"
close:2v1,4,0.2,6.933333333333334,7,0,1.0,7,0.0,2,2,0.9093559820475973,2,2,True,0.3405528847510825,0.009823640906281295,"[1.1389, 1.1389, 1.1389, 1.1389]"
close:2v1,6,0.05,1.7333333333333334,2,0,1.0,2,0.0,2,2,0.9995406063420023,2,2,True,0.3424352077282786,0.009877938684469623,"[1.1389, 1.1389, 1.1389, 1.1389, 1.1389, 1.1389]"
close:2v1,6,0.1,3.466666666666667,2,0,1.0,2,0.0,2,2,0.9995406063420023,2,2,True,0.3424352077282786,0.009877938684469623,"[1.1389, 1.1389, 1.1389, 1.1389, 1.1389, 1.1389]"
close:2v1,6,0.2,6.933333333333334,7,0,1.0,7,0.0,2,2,0.9930058628123145,2,2,True,0.3424352077282786,0.009877938684469623,"[1.1389, 1.1389, 1.1389, 1.1389, 1.1389, 1.1389]"
crossing:1v1,1,0.05,0.26666666666666666,48,48,0.0,48,0.0,48,0,0.0069444444444444475,4,48,False,0.0,0.0,[0.0833]
crossing:1v1,1,0.1,0.5333333333333333,48,48,0.0,48,0.0,48,0,0.0069444444444444475,4,48,False,0.0,0.0,[0.0833]
crossing:1v1,1,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.0069444444444444475,4,48,False,0.0,0.0,[0.0833]
crossing:1v1,2,0.05,0.26666666666666666,48,44,0.08333333333333337,48,0.0,48,4,0.013310185185185194,4,48,False,0.0,0.0,"[0.0833, 0.0833]"
crossing:1v1,2,0.1,0.5333333333333333,48,48,0.0,48,0.0,48,0,0.013310185185185194,4,48,False,0.0,0.0,"[0.0833, 0.0833]"
crossing:1v1,2,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.013310185185185194,4,48,False,0.0,0.0,"[0.0833, 0.0833]"
crossing:1v1,4,0.05,0.26666666666666666,48,44,0.08333333333333337,48,0.0,48,4,0.026230549125514414,5,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
crossing:1v1,4,0.1,0.5333333333333333,48,44,0.08333333333333337,48,0.0,48,4,0.026230549125514414,5,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
crossing:1v1,4,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.026230549125514414,5,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
crossing:1v1,6,0.05,0.26666666666666666,48,43,0.10416666666666663,48,0.0,48,5,0.03732110726871501,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
crossing:1v1,6,0.1,0.5333333333333333,48,44,0.08333333333333337,48,0.0,48,4,0.03732110726871501,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
crossing:1v1,6,0.2,1.0666666666666667,48,48,0.0,48,0.0,48,0,0.03732110726871501,7,48,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
crossing:2v1,1,0.05,0.5333333333333334,47,47,0.0,47,0.0,47,0,0.007092198581560287,4,47,False,0.0,0.0,[0.0833]
crossing:2v1,1,0.1,1.0666666666666669,47,47,0.0,47,0.0,47,0,0.007092198581560287,4,47,False,0.0,0.0,[0.0833]
crossing:2v1,1,0.2,2.1333333333333337,47,47,0.0,47,0.0,47,0,0.007092198581560287,4,47,False,0.0,0.0,[0.0833]
crossing:2v1,2,0.05,0.5333333333333334,47,43,0.08510638297872342,47,0.0,47,4,0.01359338061465722,4,47,False,0.0,0.0,"[0.0833, 0.0833]"
crossing:2v1,2,0.1,1.0666666666666669,47,47,0.0,47,0.0,47,0,0.01359338061465722,4,47,False,0.0,0.0,"[0.0833, 0.0833]"
crossing:2v1,2,0.2,2.1333333333333337,47,47,0.0,47,0.0,47,0,0.01359338061465722,4,47,False,0.0,0.0,"[0.0833, 0.0833]"
crossing:2v1,4,0.05,0.5333333333333334,47,43,0.08510638297872342,47,0.0,47,4,0.025015596270028903,4,47,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
crossing:2v1,4,0.1,1.0666666666666669,47,43,0.08510638297872342,47,0.0,47,4,0.025015596270028903,4,47,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
crossing:2v1,4,0.2,2.1333333333333337,47,47,0.0,47,0.0,47,0,0.025015596270028903,4,47,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
crossing:2v1,6,0.05,0.5333333333333334,47,43,0.08510638297872342,47,0.0,47,4,0.03471682822715102,6,47,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
crossing:2v1,6,0.1,1.0666666666666669,47,43,0.08510638297872342,47,0.0,47,4,0.03471682822715102,6,47,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
crossing:2v1,6,0.2,2.1333333333333337,47,47,0.0,47,0.0,47,0,0.03471682822715102,6,47,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0833]"
opposing:1v1,1,0.05,0.26666666666666666,32,32,0.0,32,0.0,32,0,0.010416666666666671,4,32,False,0.0,0.0,[0.0833]
opposing:1v1,1,0.1,0.5333333333333333,32,32,0.0,32,0.0,32,0,0.010416666666666671,4,32,False,0.0,0.0,[0.0833]
opposing:1v1,1,0.2,1.0666666666666667,32,32,0.0,32,0.0,32,0,0.010416666666666671,4,32,False,0.0,0.0,[0.0833]
opposing:1v1,2,0.05,0.26666666666666666,32,28,0.125,32,0.0,32,4,0.01996527777777779,4,32,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:1v1,2,0.1,0.5333333333333333,32,32,0.0,32,0.0,32,0,0.01996527777777779,4,32,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:1v1,2,0.2,1.0666666666666667,32,32,0.0,32,0.0,32,0,0.01996527777777779,4,32,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:1v1,4,0.05,0.26666666666666666,32,25,0.21875,32,0.0,32,7,0.03913333092206792,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:1v1,4,0.1,0.5333333333333333,32,31,0.03125,32,0.0,32,1,0.03913333092206792,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
