cell,scenario_class,pair_id,m,e_direct_response_set,e_direct_thin,e_ratio_vs_thin,matched_within_10pct,e_hits_vs_tau0_thin,n_top_contacted,n_top_total,c_resp_5pct,v_resp_5pct,hazard_mean_B_5pct,c_resp_10pct,v_resp_10pct,hazard_mean_B_10pct,c_resp_20pct,v_resp_20pct,hazard_mean_B_20pct,lane_keys
chase:1v1,many-ties,thin,1,0.2284,0.2284,1.0,True,0.0,5,48,0.0625,0.0,0.0139,0.0,0.0,0.0139,0.0,0.0,0.0139,['W18|V18|6|2|3']
chase:1v1,many-ties,thick-2,2,0.2284,0.2284,1.0,True,0.0,8,48,0.0,0.0,0.0139,0.0,0.0,0.0139,0.0,0.0,0.0139,"['U19|T19|6|1|1', 'U19|V18|5|1|1']"
chase:1v1,many-ties,thick-4,4,0.226,0.2284,0.9896,True,0.0,7,48,0.0208,0.0,0.0137,0.0,0.0,0.0137,0.0,0.0,0.0137,"['U19|U19|5|1|1', 'U19|V18|5|0|1', 'V18|U19|6|2|2', 'T19|S20|6|0|0']"
chase:1v1,many-ties,thick-6,6,0.2191,0.2284,0.9592,True,0.0,5,48,0.0417,0.0,0.0133,0.0,0.0,0.0133,0.0,0.0,0.0133,"['T19|U19|5|2|0', 'U19|T19|6|2|1', 'U19|U19|5|0|1', 'U19|U19|5|1|1', 'U19|V18|5|0|1', 'V18|U19|6|2|2']"
chase:1v1,many-ties,thick-8,8,0.2407,0.2284,1.0538,True,0.0,4,48,0.0625,0.0,0.0146,0.0,0.0,0.0146,0.0,0.0,0.0146,"['T19|S20|6|2|0', 'T19|T19|5|2|0', 'T19|U19|5|1|0', 'T19|U19|5|2|0', 'U19|T19|6|2|1', 'U19|U19|5|0|1', 'U19|U19|5|1|1', 'U19|V18|5|0|1']"
chase:2v1,corridor,thin,1,0.314,0.314,1.0,True,0.0,6,45,0.1111,0.0,0.0204,0.0,0.0,0.0204,0.0,0.0,0.0204,['V16|V16|5|1|2']
chase:2v1,corridor,thick-2,2,0.3236,0.314,1.0303,True,0.0,8,45,0.0889,0.0,0.021,0.0,0.0,0.021,0.0,0.0,0.021,"['T17|S18|6|2|0', 'V16|W16|5|2|2']"
chase:2v1,corridor,thick-4,4,0.3164,0.314,1.0076,True,0.0,8,45,0.0889,0.0,0.0205,0.0,0.0,0.0205,0.0,0.0,0.0205,"['T17|S18|6|1|0', 'T19|S20|6|0|0', 'T17|T17|6|2|0', 'T19|T19|6|0|0']"
chase:2v1,corridor,thick-6,6,0.3093,0.314,0.9848,True,0.0,8,45,0.0667,0.0,0.0201,0.0,0.0,0.0201,0.0,0.0,0.0201,"['U19|U19|5|1|1', 'U19|V18|5|0|1', 'V16|W16|5|0|2', 'V18|U19|6|2|2', 'W16|X15|5|1|3', 'W18|V18|6|2|3']"
chase:2v1,corridor,thick-8,8,0.2982,0.314,0.9494,True,0.0,7,45,0.0444,0.0,0.0193,0.0222,0.0,0.0193,0.0,0.0,0.0193,"['T19|U19|5|2|0', 'U17|U17|5|1|1', 'U19|T19|6|2|1', 'U19|U19|5|0|1', 'U19|U19|5|1|1', 'U19|V18|5|0|1', 'V16|W16|5|0|2', 'V18|U19|6|2|2']"
close:1v1,unclassified,thin,1,2.9691,2.9691,1.0,True,1.1389,12,20,0.6,0.0,0.4333,0.6,0.0,0.4333,0.6,0.0,0.4333,['U19|U19|5|2|1']
close:1v1,unclassified,thick-2,2,2.7122,2.9691,0.9135,True,1.1389,12,20,0.6,0.0,0.3958,0.6,0.0,0.3958,0.6,0.0,0.3958,"['U19|T19|6|0|1', 'U19|T19|6|1|1']"
close:1v1,unclassified,thick-4,4,2.7122,2.9691,0.9135,True,1.1389,12,20,0.6,0.0,0.3958,0.6,0.0,0.3958,0.6,0.0,0.3958,"['W18|X17|5|1|3', 'W18|X17|5|2|3', 'U19|T19|6|0|1', 'U19|T19|6|1|1']"
close:1v1,unclassified,thick-6,6,2.7122,2.9691,0.9135,True,1.1389,12,20,0.6,0.0,0.3958,0.6,0.0,0.3958,0.6,0.0,0.3958,"['W18|X17|3|2|3', 'W18|X17|5|0|3', 'W18|X17|5|1|3', 'W18|X17|5|2|3', 'U19|T19|6|0|1', 'U19|T19|6|1|1']"
close:1v1,unclassified,thick-8,8,2.7122,2.9691,0.9135,True,1.1389,12,20,0.6,0.0,0.3958,0.6,0.0,0.3958,0.6,0.0,0.3958,"['W18|X17|3|0|3', 'W18|X17|3|1|3', 'W18|X17|3|2|3', 'W18|X17|5|0|3', 'W18|X17|5|1|3', 'W18|X17|5|2|3', 'U19|T19|6|0|1', 'U19|T19|6|1|1']"
close:2v1,few-ties,thin,1,0.4949,0.4949,1.0,True,1.1389,2,2,1.0,0.2474,0.7222,1.0,0.2474,0.7222,1.0,0.2474,0.7222,['U17|T17|6|2|1']
close:2v1,few-ties,thick-2,2,0.0,0.4949,0.0,False,1.1389,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['T17|S18|2|0|0', 'T17|S18|2|1|0']"
close:2v1,few-ties,thick-4,4,0.0,0.4949,0.0,False,1.1389,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['T17|S18|2|0|0', 'T17|S18|2|1|0', 'T17|S18|2|2|0', 'T17|S18|6|0|0']"
close:2v1,few-ties,thick-6,6,0.0,0.4949,0.0,False,1.1389,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['T17|S18|2|0|0', 'T17|S18|2|1|0', 'T17|S18|2|2|0', 'T17|S18|6|0|0', 'T17|S18|6|1|0', 'T17|S18|6|2|0']"
close:2v1,few-ties,thick-8,8,0.0,0.4949,0.0,False,1.1389,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['T17|S18|2|0|0', 'T17|S18|2|1|0', 'T17|S18|2|2|0', 'T17|S18|6|0|0', 'T17|S18|6|1|0', 'T17|S18|6|2|0', 'T17|T17|2|0|0', 'T17|T17|2|1|0']"
crossing:1v1,unclassified,thin,1,0.1998,0.1998,1.0,True,0.0,4,48,0.0625,0.0,0.0122,0.0,0.0,0.0122,0.0,0.0,0.0122,['V18|V18|5|2|2']
crossing:1v1,unclassified,thick-2,2,0.1927,0.1998,0.9643,True,0.0,4,48,0.0625,0.0,0.0117,0.0,0.0,0.0117,0.0,0.0,0.0117,"['W18|V18|6|1|3', 'T19|S20|6|1|0']"
crossing:1v1,unclassified,thick-4,4,0.184,0.1998,0.9206,True,0.0,3,48,0.0417,0.0,0.0112,0.0208,0.0,0.0112,0.0,0.0,0.0112,"['W18|W18|6|1|3', 'T19|T19|6|1|0', 'U19|T19|6|0|1', 'W18|W18|6|2|3']"
crossing:1v1,unclassified,thick-6,6,0.2041,0.1998,1.0214,True,0.0,3,48,0.0417,0.0,0.0124,0.0208,0.0,0.0124,0.0,0.0,0.0124,"['V18|V18|6|1|2', 'W18|V18|6|0|3', 'W18|W18|6|0|3', 'W18|W18|6|1|3', 'T19|T19|6|1|0', 'U19|T19|6|0|1']"
crossing:1v1,unclassified,thick-8,8,0.1996,0.1998,0.9986,True,0.0,2,48,0.0417,0.0,0.0121,0.0208,0.0,0.0121,0.0,0.0,0.0121,"['T19|S20|6|0|0', 'T19|T19|6|0|0', 'U19|U19|6|0|1', 'U19|U19|6|1|1', 'V18|U19|6|0|2', 'V18|V18|6|0|2', 'V18|V18|6|1|2', 'W18|V18|6|0|3']"
crossing:2v1,unclassified,thin,1,0.3997,0.3997,1.0,True,0.0,8,47,0.1277,0.0,0.0248,0.0,0.0,0.0248,0.0,0.0,0.0248,['U17|U17|5|2|1']
crossing:2v1,unclassified,thick-2,2,0.3997,0.3997,1.0,True,0.0,12,47,0.0426,0.0,0.0248,0.0,0.0,0.0248,0.0,0.0,0.0248,"['T17|U17|5|2|0', 'U19|U19|5|2|1']"
crossing:2v1,unclassified,thick-4,4,0.4028,0.3997,1.0078,True,0.0,4,47,0.0851,0.0,0.025,0.0851,0.0,0.025,0.0,0.0,0.025,"['T19|S20|6|1|0', 'T19|T19|6|2|0', 'U19|T19|6|1|1', 'U19|U19|6|2|1']"
crossing:2v1,unclassified,thick-6,6,0.3997,0.3997,1.0,True,0.0,12,47,0.0426,0.0,0.0248,0.0,0.0,0.0248,0.0,0.0,0.0248,"['W18|W18|6|2|3', 'W18|X17|5|0|3', 'W18|X17|5|1|3', 'W18|X17|5|2|3', 'V18|U19|6|2|2', 'T17|T17|5|2|0']"
crossing:2v1,unclassified,thick-8,8,0.4116,0.3997,1.0298,True,0.0,7,47,0.1277,0.0,0.0256,0.0213,0.0,0.0256,0.0,0.0,0.0256,"['W18|W18|6|1|3', 'U17|V16|5|1|1', 'V16|V16|5|0|2', 'V16|W16|5|2|2', 'W16|W16|5|1|3', 'W16|W16|5|2|3', 'W16|X15|5|1|3', 'W18|W18|6|2|3']"
opposing:1v1,unclassified,thin,1,0.4568,0.4568,1.0,True,0.0,8,32,0.25,0.0,0.0417,0.0,0.0,0.0417,0.0,0.0,0.0417,['T19|T19|3|2|0']
opposing:1v1,unclassified,thick-2,2,0.4734,0.4568,1.0365,True,0.0,5,32,0.1562,0.0,0.0432,0.125,0.0,0.0432,0.0,0.0,0.0432,"['V18|V18|3|2|2', 'W18|W18|3|2|3']"
opposing:1v1,unclassified,thick-4,4,0.429,0.4568,0.9392,True,0.0,7,32,0.2188,0.0,0.0391,0.0312,0.0,0.0391,0.0,0.0,0.0391,"['U19|V18|3|1|1', 'V18|V18|3|0|2', 'V18|W18|3|1|2', 'W18|W18|3|0|3']"
opposing:1v1,unclassified,thick-6,6,0.4723,0.4568,1.0339,True,0.0,6,32,0.1875,0.0,0.0431,0.0,0.0,0.0431,0.0,0.0,0.0431,"['T19|U19|3|2|0', 'U19|U19|3|1|1', 'U19|V18|3|2|1', 'V18|V18|3|1|2', 'V18|W18|3|0|2', 'W18|X17|3|0|3']"
opposing:1v1,unclassified,thick-8,8,0.4356,0.4568,0.9536,True,0.0,8,32,0.2188,0.0,0.0397,0.0,0.0,0.0397,0.0,0.0,0.0397,"['U19|V18|3|0|1', 'V18|W18|3|2|2', 'W18|W18|3|1|3', 'W18|X17|3|2|3', 'T19|U19|3|2|0', 'U19|U19|3|1|1', 'U19|V18|3|2|1', 'V18|V18|3|1|2']"
opposing:2v1,unclassified,thin,1,0.4568,0.4568,1.0,True,0.0,8,28,0.2857,0.0,0.0476,0.0,0.0,0.0476,0.0,0.0,0.0417,['T19|T19|3|2|0']
opposing:2v1,unclassified,thick-2,2,0.4734,0.4568,1.0365,True,0.0,5,28,0.1786,0.0,0.0494,0.1429,0.0,0.0494,0.0,0.0,0.0432,"['V18|V18|3|2|2', 'W18|W18|3|2|3']"
opposing:2v1,unclassified,thick-4,4,0.4576,0.4568,1.0017,True,0.0,9,28,0.1429,0.0,0.0477,0.0,0.0,0.0477,0.0,0.0,0.0417,"['V18|W18|3|1|2', 'W18|W18|3|0|3', 'W18|X17|3|1|3', 'U17|V16|3|1|1']"
opposing:2v1,unclassified,thick-6,6,0.4663,0.4568,1.0207,True,0.0,6,28,0.2143,0.0,0.0486,0.1071,0.0,0.0486,0.0,0.0,0.0425,"['U17|V16|3|0|1', 'U19|U19|3|1|1', 'U19|V18|3|2|1', 'V18|V18|3|1|2', 'V18|W18|3|0|2', 'W18|X17|3|0|3']"
opposing:2v1,unclassified,thick-8,8,0.479,0.4568,1.0486,True,0.0,7,28,0.25,0.0,0.0499,0.0,0.0,0.0499,0.0,0.0,0.0437,"['V18|W18|3|2|2', 'W18|W18|3|1|3', 'W18|X17|3|2|3', 'T17|T17|3|1|0', 'T17|U17|3|0|0', 'T19|U19|3|2|0', 'U17|V16|3|0|1', 'U19|U19|3|1|1']"
