frame_t,profile,station,x_earth,coord,F_raw,F_smooth
0,lateral,flank_aft,-7.5,0.5,15.827914,15.69488
0,lateral,flank_aft,-7.5,0.75,15.631167,15.507647
0,lateral,flank_aft,-7.5,1.0,15.359493,15.222038
0,lateral,flank_aft,-7.5,1.25,14.891748,14.850295
0,lateral,flank_aft,-7.5,1.5,14.399867,14.449286
0,lateral,flank_aft,-7.5,1.75,13.969198,14.05814
0,lateral,flank_aft,-7.5,2.0,13.626123,13.723593
0,lateral,flank_aft,-7.5,2.25,13.403765,13.44796
0,lateral,flank_aft,-7.5,2.5,13.21901,13.230629
0,lateral,flank_aft,-7.5,2.75,13.021703,13.07062
0,lateral,flank_aft,-7.5,3.0,12.882547,12.943014
0,lateral,flank_aft,-7.5,3.25,12.826077,12.839909
0,lateral,flank_aft,-7.5,3.5,12.765733,12.763512
0,lateral,flank_aft,-7.5,3.75,12.703484,12.701935
0,lateral,flank_aft,-7.5,4.0,12.639718,12.588081
0,lateral,flank_aft,-7.5,4.25,12.574664,12.392394
0,lateral,flank_aft,-7.5,4.5,12.256805,12.062318
0,lateral,flank_aft,-7.5,4.75,11.787298,11.541539
0,lateral,flank_aft,-7.5,5.0,11.053105,10.850118
0,lateral,flank_aft,-7.5,5.25,10.035824,10.051475
0,lateral,flank_aft,-7.5,5.5,9.117556,9.233571
0,lateral,flank_aft,-7.5,5.75,8.263593,8.52924
0,lateral,flank_aft,-7.5,6.0,7.697776,7.992895
0,lateral,flank_aft,-7.5,6.25,7.531449,7.59366
0,lateral,flank_aft,-7.5,6.5,7.354099,7.317674
0,lateral,flank_aft,-7.5,6.75,7.12138,7.127349
0,lateral,flank_aft,-7.5,7.0,6.883664,6.943567
0,lateral,flank_aft,-7.5,7.25,6.746154,6.774164
0,lateral,flank_aft,-7.5,7.5,6.612538,6.650903
0,lateral,flank_aft,-7.5,7.75,6.507086,6.575771
0,lateral,flank_aft,-7.5,8.0,6.505073,6.528775
0,lateral,flank_aft,-7.5,8.25,6.508006,6.491114
0,lateral,flank_aft,-7.5,8.5,6.511174,6.406977
0,lateral,flank_aft,-7.5,8.75,6.424229,6.192663
0,lateral,flank_aft,-7.5,9.0,6.086406,5.847064
0,lateral,flank_aft,-7.5,9.25,5.433501,5.383781
0,lateral,flank_aft,-7.5,9.5,4.780012,4.873977
0,lateral,flank_aft,-7.5,9.75,4.194755,4.4311
0,lateral,flank_aft,-7.5,10.0,3.875209,4.118192
0,lateral,flank_aft,-7.5,10.25,3.872022,3.935433
0,lateral,flank_aft,-7.5,10.5,3.868962,3.869455
0,lateral,flank_aft,-7.5,10.75,3.866215,3.867437
0,lateral,flank_aft,-7.5,11.0,3.864865,3.866147
0,lateral,flank_aft,-7.5,11.25,3.865121,3.865549
0,lateral,flank_aft,-7.5,11.5,3.865572,3.865538
0,lateral,flank_aft,-7.5,11.75,3.86597,3.865763
0,lateral,flank_aft,-7.5,12.0,3.866162,3.859585
0,lateral,flank_aft,-7.5,12.25,3.86599,3.846273
0,lateral,flank_aft,-7.5,12.5,3.834232,3.819194
0,lateral,flank_aft,-7.5,12.75,3.79901,3.776509
0,lateral,flank_aft,-7.5,13.0,3.730579,3.714162
0,lateral,flank_aft,-7.5,13.25,3.652733,3.638366
0,lateral,flank_aft,-7.5,13.5,3.554256,3.550621
0,lateral,flank_aft,-7.5,13.75,3.455253,3.461876
0,lateral,flank_aft,-7.5,14.0,3.360283,3.37956
0,lateral,flank_aft,-7.5,14.25,3.286857,3.312878
0,lateral,flank_aft,-7.5,14.5,3.24115,3.252962
0,lateral,flank_aft,-7.5,14.75,3.220846,3.178718
0,lateral,flank_aft,-7.5,15.0,3.155677,3.085845
0,lateral,flank_aft,-7.5,15.25,2.989061,2.969667
0,lateral,flank_aft,-7.5,15.5,2.822489,2.840704
0,lateral,flank_aft,-7.5,15.75,2.660263,2.725112
0,lateral,flank_aft,-7.5,16.0,2.576032,2.643132
0,lateral,flank_aft,-7.5,16.25,2.577716,2.594697
0,lateral,flank_aft,-7.5,16.5,2.579161,2.57893
0,lateral,flank_aft,-7.5,16.75,2.580315,2.58029
0,lateral,flank_aft,-7.5,17.0,2.581424,2.581597
0,lateral,flank_aft,-7.5,17.25,2.582834,2.582899
0,lateral,flank_aft,-7.5,17.5,2.58425,2.584163
0,lateral,flank_aft,-7.5,17.75,2.585674,2.581059
0,lateral,flank_aft,-7.5,18.0,2.586632,2.570239
0,lateral,flank_aft,-7.5,18.25,2.565906,2.54762
0,lateral,flank_aft,-7.5,18.5,2.528732,2.508338
0,lateral,flank_aft,-7.5,18.75,2.471157,2.450174
0,lateral,flank_aft,-7.5,19.0,2.389263,2.381107
0,lateral,flank_aft,-7.5,19.25,2.295812,2.308913
0,lateral,flank_aft,-7.5,19.5,2.220569,2.236246
0,lateral,flank_aft,-7.5,19.75,2.167763,2.1575
0,lateral,flank_aft,-7.5,20.0,2.107826,2.075157
0,lateral,flank_aft,-7.5,20.25,1.995532,1.985556
0,lateral,flank_aft,-7.5,20.5,1.884095,1.890457
0,lateral,flank_aft,-7.5,20.75,1.772567,1.807267
0,lateral,flank_aft,-7.5,21.0,1.692268,1.746481
0,lateral,flank_aft,-7.5,21.25,1.691875,1.707962
0,lateral,flank_aft,-7.5,21.5,1.691603,1.691745
0,lateral,flank_aft,-7.5,21.75,1.691499,1.691568
0,lateral,flank_aft,-7.5,22.0,1.691481,1.691458
0,lateral,flank_aft,-7.5,22.25,1.691383,1.691373
0,lateral,flank_aft,-7.5,22.5,1.691325,1.691302
0,lateral,flank_aft,-7.5,22.75,1.691177,1.691332
0,lateral,flank_aft,-7.5,23.0,1.691144,1.691468
0,lateral,flank_aft,-7.5,23.25,1.691632,1.691701
0,lateral,flank_aft,-7.5,23.5,1.692062,1.692029
0,lateral,flank_aft,-7.5,23.75,1.692492,1.692363
0,lateral,flank_aft,-7.5,24.0,1.692816,1.6926
0,lateral,center,-3.0,0.5,17.796568,17.705855
0,lateral,center,-3.0,0.75,17.632217,17.61732
0,lateral,center,-3.0,1.0,17.507357,17.496302
0,lateral,center,-3.0,1.25,17.35389,17.353264
0,lateral,center,-3.0,1.5,17.191478,17.219331
0,lateral,center,-3.0,1.75,17.08138,17.085338
0,lateral,center,-3.0,2.0,16.962552,16.973092
0,lateral,center,-3.0,2.25,16.837389,16.894117
0,lateral,center,-3.0,2.5,16.792663,16.799136
0,lateral,center,-3.0,2.75,16.796602,16.670969
0,lateral,center,-3.0,3.0,16.606474,16.50814
0,lateral,center,-3.0,3.25,16.321719,16.275127
0,lateral,center,-3.0,3.5,16.023243,15.904542
0,lateral,center,-3.0,3.75,15.627594,15.431158
0,lateral,center,-3.0,4.0,14.943678,14.829473
0,lateral,center,-3.0,4.25,14.239553,14.086274
0,lateral,center,-3.0,4.5,13.313296,13.182142
0,lateral,center,-3.0,4.75,12.307249,12.239918
0,lateral,center,-3.0,5.0,11.106934,11.298667
0,lateral,center,-3.0,5.25,10.232557,10.470738
0,lateral,center,-3.0,5.5,9.533298,9.844412
0,lateral,center,-3.0,5.75,9.173652,9.458101
0,lateral,center,-3.0,6.0,9.175617,9.246073
0,lateral,center,-3.0,6.25,9.175382,9.172325
0,lateral,center,-3.0,6.5,9.172417,9.168485
0,lateral,center,-3.0,6.75,9.164555,9.162633
0,lateral,center,-3.0,7.0,9.154454,9.156225
0,lateral,center,-3.0,7.25,9.146358,9.15065
0,lateral,center,-3.0,7.5,9.143339,9.147892
0,lateral,center,-3.0,7.75,9.144543,9.089171
0,lateral,center,-3.0,8.0,9.150765,8.934832
0,lateral,center,-3.0,8.25,8.860852,8.624037
0,lateral,center,-3.0,8.5,8.37466,8.075825
0,lateral,center,-3.0,8.75,7.589364,7.310419
0,lateral,center,-3.0,9.0,6.403484,6.434596
0,lateral,center,-3.0,9.25,5.323732,5.553691
0,lateral,center,-3.0,9.5,4.481739,4.811585
0,lateral,center,-3.0,9.75,3.970137,4.305492
0,lateral,center,-3.0,10.0,3.878833,4.014448
0,lateral,center,-3.0,10.25,3.873018,3.891244
0,lateral,center,-3.0,10.5,3.868514,3.870217
0,lateral,center,-3.0,10.75,3.865716,3.867419
0,lateral,center,-3.0,11.0,3.865006,3.86572
0,lateral,center,-3.0,11.25,3.864841,3.864815
0,lateral,center,-3.0,11.5,3.86452,3.864313
0,lateral,center,-3.0,11.75,3.863994,3.863779
0,lateral,center,-3.0,12.0,3.863203,3.8632
0,lateral,center,-3.0,12.25,3.862339,3.862768
