eta_v,geometry,kernel,objective_pair,kendall_entry,spearman_entry,kendall_planB_worstcase,spearman_planB_worstcase,kendall_planR_worstcase,spearman_planR_worstcase,n_unique_worstcase_B_integral,n_unique_worstcase_B_snapshot,snapshot_maximin_degenerate,maximin_B_integral,maximin_B_snapshot,minimax_R_integral,minimax_R_snapshot,maximin_B_changed,minimax_R_changed,lp_support_jaccard
0.8,head_on,CA,integral_vs_snapshot_T,0.529,0.6435,nan,nan,nan,nan,5,1,True,straight,straight,straight,straight,False,False,0.625
0.8,head_on,CA,integral_vs_snapshot_peak,0.3278,0.4432,nan,nan,0.76,0.8977,5,1,True,straight,straight,straight,turn+180,False,True,0.6
0.8,parallel,CA,integral_vs_snapshot_T,0.3716,0.4405,0.3411,0.4,nan,nan,11,2,False,turn+60,straight,turn+30,straight,True,True,0.333
0.8,parallel,CA,integral_vs_snapshot_peak,0.3325,0.4551,nan,nan,0.2,0.2636,11,1,True,turn+60,straight,turn+30,turn+120,True,True,0.4
0.8,crossing,CA,integral_vs_snapshot_T,0.3197,0.39,nan,nan,nan,nan,11,1,True,turn+90,straight,turn+90,straight,True,True,0.0
0.8,crossing,CA,integral_vs_snapshot_peak,0.5484,0.7325,nan,nan,0.4909,0.7091,11,1,True,turn+90,straight,turn+90,turn+90,True,False,0.25
1.0,head_on,CA,integral_vs_snapshot_T,0.6028,0.6986,0.866,0.9214,0.866,0.9214,5,3,False,straight,straight,straight,straight,False,False,0.0
1.0,head_on,CA,integral_vs_snapshot_peak,0.3241,0.4263,nan,nan,0.8165,0.9181,5,1,True,straight,straight,straight,turn+30,False,True,0.0
1.0,parallel,CA,integral_vs_snapshot_T,0.5787,0.6702,0.7151,0.8369,0.6674,0.8157,11,3,False,turn-30,turn+90,turn+30,turn+30,True,False,0.286
1.0,parallel,CA,integral_vs_snapshot_peak,0.3626,0.4873,nan,nan,-0.0909,-0.1182,11,1,True,turn-30,straight,turn+30,turn+120,True,True,0.222
1.0,crossing,CA,integral_vs_snapshot_T,0.6163,0.7188,0.7746,0.8608,0.7746,0.8608,11,4,False,turn+90,turn+90,turn+90,turn+90,False,False,1.0
1.0,crossing,CA,integral_vs_snapshot_peak,0.5765,0.7307,nan,nan,0.1636,0.2091,11,1,True,turn+90,straight,turn+90,turn+90,True,False,0.0
1.25,head_on,CA,integral_vs_snapshot_T,0.5204,0.636,nan,nan,nan,nan,6,1,True,turn+180,straight,turn+60,straight,True,True,0.455
1.25,head_on,CA,integral_vs_snapshot_peak,0.1404,0.1885,nan,nan,0.36,0.4419,6,1,True,turn+180,straight,turn+60,straight,True,True,0.3
1.25,parallel,CA,integral_vs_snapshot_T,0.4028,0.4776,nan,nan,nan,nan,10,1,True,turn-30,straight,turn-90,straight,True,True,0.4
1.25,parallel,CA,integral_vs_snapshot_peak,0.234,0.3153,nan,nan,0.0734,0.0729,10,1,True,turn-30,straight,turn-90,turn-120,True,True,0.5
1.25,crossing,CA,integral_vs_snapshot_T,0.3433,0.4183,nan,nan,nan,nan,11,1,True,turn+90,straight,turn+120,straight,True,True,0.25
1.25,crossing,CA,integral_vs_snapshot_peak,0.4357,0.5477,nan,nan,0.7091,0.8636,11,1,True,turn+90,straight,turn+120,turn+90,True,True,0.333
