geometry,eta_r,vbar,n_plans,V_lp,V_dual,duality_gap,min_eq_slack,support_size,support_speed_tiers,V_pure_maximin,V_pure_minimax,nesting_bitexact,increment_vs_prev
head_on,0.75,2.0,11,-3.164703273577759,-3.1647032735777603,1.3322676295501878e-15,-8.881784197001252e-16,4,2,-3.353459779119957,-2.7730398495979647,True,
head_on,0.75,4.0,22,-3.094500957594284,-3.094500957594279,4.884981308350689e-15,1.3322676295501878e-15,5,2|4,-3.353459779119957,-1.6528727909376313,True,+7.020e-02
head_on,0.75,6.0,33,-3.062152076161459,-3.0621520761614622,3.1086244689504383e-15,-1.865174681370263e-14,5,2|6,-3.353459779119957,-1.6528727909376313,True,+3.235e-02
head_on,1.0,2.0,11,-0.0,-0.0,0.0,0.0,1,2,0.0,0.0,True,
head_on,1.0,4.0,22,-0.0,-0.0,0.0,0.0,2,2|4,0.0,0.0,True,+0.000e+00
head_on,1.0,6.0,33,-0.0,-0.0,0.0,0.0,2,2|4,0.0,0.0,True,+0.000e+00
head_on,1.33,2.0,11,2.996535895241544,2.996535895241553,8.881784197001252e-15,-8.881784197001252e-16,4,2,1.0583637037469136,3.8843251743075724,True,
head_on,1.33,4.0,22,2.996535895241542,2.9965358952415433,1.3322676295501878e-15,-4.440892098500626e-16,4,2,1.0583637037469136,3.8843251743075724,True,-2.220e-15
head_on,1.33,6.0,33,2.9965358952415815,2.9965358952415357,4.574118861455645e-14,-5.0182080713057076e-14,4,2,1.0583637037469136,3.8843251743075724,True,+3.952e-14
parallel,0.75,2.0,11,-2.8522774389246957,-2.8522774389246957,0.0,0.0,4,2,-3.6854437022251467,-2.270079188636176,True,
parallel,0.75,4.0,22,-2.839413123624186,-2.839413123624187,8.881784197001252e-16,-4.440892098500626e-15,4,2|4,-3.6854437022251467,-2.270079188636176,True,+1.286e-02
parallel,0.75,6.0,33,-2.3905444815594468,-2.3905444815594485,1.7763568394002505e-15,8.881784197001252e-16,5,2|6,-3.6854437022251467,-0.3626526094777677,True,+4.489e-01
parallel,1.0,2.0,11,-0.5711892386842397,-0.5711892386842397,0.0,-4.440892098500626e-16,3,2,-1.6330735808879675,0.0,True,
parallel,1.0,4.0,22,-0.13461091497081207,-0.1346109149708136,1.5265566588595902e-15,-9.159339953157541e-16,5,2|4,-1.6330735808879675,1.1730761460789263,True,+4.366e-01
parallel,1.0,6.0,33,0.0003769545917107234,0.00037695459171415834,3.434915112759951e-15,1.1631863007510734e-15,7,2|4|6,-1.6330735808879675,1.6330735808879675,True,+1.350e-01
parallel,1.33,2.0,11,2.662844944545918,2.662844944545918,0.0,-8.881784197001252e-16,4,2,0.43089243830820584,3.165584332089642,True,
parallel,1.33,4.0,22,2.685292351383479,2.6852923513834797,4.440892098500626e-16,-4.440892098500626e-16,5,2|4,0.43089243830820584,3.165584332089642,True,+2.245e-02
parallel,1.33,6.0,33,2.7654001027983375,2.7654001027983375,0.0,-3.1086244689504383e-15,6,2|4|6,0.43089243830820584,4.589097278776254,True,+8.011e-02
