eta_v,coupling,d_perp,run_turns,T_repos,heading_excursion_deg,path_length_hex,min_range_hex,t_firing_envelope_Lpos,t_Lneg,t_Lzero,min_lateral_offset_hex,J_stay,J_maneuver,C_reposition
0.8,independent,0,0,0,180.0,115.2,16.0,4,0,20,0.0,4.0992,1.2897,2.8096
0.8,independent,1,0,1,180.0,115.2,16.031,5,0,19,1.0,4.0968,1.5594,2.5374
0.8,independent,2,0,1,180.0,115.2,16.125,5,0,19,0.4,4.0894,1.5664,2.523
0.8,independent,3,0,2,180.0,115.2,16.279,24,0,0,0.6,4.0773,3.4533,0.624
0.8,independent,4,0,2,180.0,115.2,16.492,24,0,0,1.6,4.0605,3.4557,0.6048
0.8,independent,5,0,2,180.0,115.2,16.763,24,0,0,1.557,4.0393,3.4563,0.583
0.8,independent,6,0,2,180.0,115.2,17.028,24,0,0,0.557,4.0142,3.4552,0.559
0.8,independent,7,0,3,180.0,115.2,17.267,24,0,0,0.443,3.9864,3.4524,0.5341
0.8,independent,8,0,3,180.0,115.2,17.56,24,0,0,1.443,3.9552,3.4479,0.5073
0.8,independent,9,0,3,180.0,115.2,17.904,24,0,0,2.357,3.9166,3.4414,0.4752
0.8,independent,10,0,3,180.0,115.2,18.296,23,0,1,1.357,0.0,3.1849,-3.1849
0.8,engine_coupled,0,0,0,180.0,110.4,16.0,24,0,0,0.0,4.0992,3.5464,0.5528
0.8,engine_coupled,1,0,1,180.0,110.4,16.031,24,0,0,1.0,4.0968,3.5643,0.5325
0.8,engine_coupled,2,0,1,180.0,110.4,16.125,24,0,0,0.0,4.0894,3.3966,0.6929
0.8,engine_coupled,3,0,2,180.0,110.4,16.279,24,0,0,1.0,4.0773,3.4073,0.67
0.8,engine_coupled,4,0,2,180.0,110.4,16.492,24,0,0,1.464,4.0605,3.4143,0.6462
0.8,engine_coupled,5,0,2,180.0,110.4,16.763,24,0,0,0.464,4.0393,3.4157,0.6236
0.8,engine_coupled,6,0,3,180.0,110.4,17.088,24,0,0,0.536,4.0142,3.4131,0.6011
0.8,engine_coupled,7,0,3,180.0,110.4,17.464,24,0,0,1.536,3.9864,3.4065,0.58
0.8,engine_coupled,8,0,3,180.0,110.4,17.889,24,0,0,1.464,3.9552,3.3937,0.5614
0.8,engine_coupled,9,0,3,180.0,110.4,18.358,24,0,0,0.464,3.9166,3.378,0.5386
0.8,engine_coupled,10,0,4,180.0,110.4,18.868,23,0,1,0.536,0.0,3.1121,-3.1121
1.0,independent,0,0,0,180.0,144.0,16.0,4,0,20,0.0,4.0992,1.2221,2.8772
1.0,independent,1,0,1,180.0,144.0,16.031,4,0,20,1.0,4.0968,1.2255,2.8713
1.0,independent,2,0,1,180.0,144.0,16.125,4,0,20,1.0,4.0894,1.2438,2.8456
1.0,independent,3,0,1,180.0,144.0,16.279,5,0,19,0.0,4.0773,1.3184,2.7589
1.0,independent,4,0,2,180.0,144.0,16.492,5,0,19,1.0,4.0605,1.3362,2.7243
1.0,independent,5,0,2,180.0,144.0,16.763,5,0,19,2.0,4.0393,1.3498,2.6894
1.0,independent,6,0,2,180.0,144.0,17.07,24,0,0,2.196,4.0142,3.4339,0.5802
1.0,independent,7,0,2,180.0,144.0,17.273,24,0,0,1.196,3.9864,3.4333,0.5532
1.0,independent,8,0,2,180.0,144.0,17.532,24,0,0,0.196,3.9552,3.431,0.5242
1.0,independent,9,0,3,180.0,144.0,17.843,24,0,0,0.804,3.9166,3.4267,0.4899
1.0,independent,10,0,3,180.0,144.0,18.204,23,0,1,1.804,0.0,3.1725,-3.1725
1.0,engine_coupled,0,0,0,180.0,138.0,16.0,24,0,0,0.0,4.0992,3.5277,0.5716
1.0,engine_coupled,1,0,1,180.0,138.0,16.031,24,0,0,1.0,4.0968,3.5303,0.5665
1.0,engine_coupled,2,0,1,180.0,138.0,16.125,24,0,0,0.5,4.0894,3.5312,0.5582
1.0,engine_coupled,3,0,2,180.0,138.0,16.279,24,0,0,0.5,4.0773,3.3564,0.7209
1.0,engine_coupled,4,0,2,180.0,138.0,16.492,24,0,0,1.5,4.0605,3.3551,0.7054
1.0,engine_coupled,5,0,2,180.0,138.0,16.763,24,0,0,1.83,4.0393,3.3532,0.686
1.0,engine_coupled,6,0,2,180.0,138.0,17.088,24,0,0,0.83,4.0142,3.3509,0.6633
1.0,engine_coupled,7,0,3,180.0,138.0,17.464,24,0,0,0.17,3.9864,3.3479,0.6385
1.0,engine_coupled,8,0,3,180.0,138.0,17.889,24,0,0,1.17,3.9552,3.3445,0.6107
1.0,engine_coupled,9,0,3,180.0,138.0,18.358,24,0,0,2.17,3.9166,3.3404,0.5762
