eta_v,eta_omega,geometry,R_plan,peak_ratio,share_ratio
0.75,0.7,head_on,straight,0.0,0.0
0.75,0.7,head_on,turn+30,0.7565,0.025
0.75,0.7,head_on,turn+60,0.7029,0.025
0.75,0.7,head_on,turn+90,0.4616,0.0
0.75,0.7,head_on,turn+120,0.3793,0.0
0.75,0.7,head_on,turn+180,0.2927,0.0
0.75,0.7,head_on,turn-30,1.0,0.025
0.75,0.7,head_on,turn-60,0.9516,0.025
0.75,0.7,head_on,turn-90,0.7506,0.025
0.75,0.7,head_on,turn-120,0.699,0.025
0.75,0.7,head_on,turn-180,0.3862,0.0
0.8,0.7,head_on,straight,0.0,0.0
0.8,0.7,head_on,turn+30,1.0,0.025
0.8,0.7,head_on,turn+60,0.9583,0.025
0.8,0.7,head_on,turn+90,0.9028,0.025
0.8,0.7,head_on,turn+120,0.6282,0.025
0.8,0.7,head_on,turn+180,0.4595,0.0
0.8,0.7,head_on,turn-30,1.0,0.025
0.8,0.7,head_on,turn-60,0.9583,0.025
0.8,0.7,head_on,turn-90,0.9028,0.025
0.8,0.7,head_on,turn-120,0.6282,0.025
0.8,0.7,head_on,turn-180,0.4595,0.0
0.85,0.7,head_on,straight,0.0,0.0
0.85,0.7,head_on,turn+30,0.0,0.0
0.85,0.7,head_on,turn+60,1.0,0.025
0.85,0.7,head_on,turn+90,0.9502,0.025
0.85,0.7,head_on,turn+120,0.675,0.025
0.85,0.7,head_on,turn+180,0.502,0.025
0.85,0.7,head_on,turn-30,0.0,0.0
0.85,0.7,head_on,turn-60,1.0,0.025
0.85,0.7,head_on,turn-90,0.9502,0.025
0.85,0.7,head_on,turn-120,0.675,0.025
0.85,0.7,head_on,turn-180,0.502,0.025
0.9,0.7,head_on,straight,0.0,0.0
0.9,0.7,head_on,turn+30,0.0,0.0
0.9,0.7,head_on,turn+60,0.8109,0.025
0.9,0.7,head_on,turn+90,0.5433,0.025
0.9,0.7,head_on,turn+120,0.4863,0.0
0.9,0.7,head_on,turn+180,0.4036,0.0
0.9,0.7,head_on,turn-30,0.0,0.0
0.9,0.7,head_on,turn-60,1.0,0.025
0.9,0.7,head_on,turn-90,0.9761,0.025
0.9,0.7,head_on,turn-120,0.9354,0.025
0.9,0.7,head_on,turn-180,0.5687,0.025
0.95,0.7,head_on,straight,0.0,0.0
0.95,0.7,head_on,turn+30,0.0,0.0
0.95,0.7,head_on,turn+60,0.6915,0.025
0.95,0.7,head_on,turn+90,0.5389,0.025
0.95,0.7,head_on,turn+120,0.4879,0.0
0.95,0.7,head_on,turn+180,0.4157,0.0
0.95,0.7,head_on,turn-30,0.0,0.0
0.95,0.7,head_on,turn-60,1.0,0.025
0.95,0.7,head_on,turn-90,0.9854,0.025
0.95,0.7,head_on,turn-120,0.9538,0.025
0.95,0.7,head_on,turn-180,0.9252,0.075
1.0,0.7,head_on,straight,0.0,0.0
1.0,0.7,head_on,turn+30,0.0,0.0
1.0,0.7,head_on,turn+60,0.5764,0.025
1.0,0.7,head_on,turn+90,0.5259,0.025
1.0,0.7,head_on,turn+120,0.4814,0.0
1.0,0.7,head_on,turn+180,0.4216,0.0
1.0,0.7,head_on,turn-30,0.0,0.0
1.0,0.7,head_on,turn-60,0.9851,0.025
1.0,0.7,head_on,turn-90,0.9793,0.025
1.0,0.7,head_on,turn-120,0.9577,0.025
1.0,0.7,head_on,turn-180,1.0,0.05
1.05,0.7,head_on,straight,0.0,0.0
1.05,0.7,head_on,turn+30,0.0,0.0
1.05,0.7,head_on,turn+60,0.4215,0.0
1.05,0.7,head_on,turn+90,0.3878,0.0
1.05,0.7,head_on,turn+120,0.3589,0.0
1.05,0.7,head_on,turn+180,0.3231,0.0
1.05,0.7,head_on,turn-30,0.0,0.0
1.05,0.7,head_on,turn-60,0.734,0.025
1.05,0.7,head_on,turn-90,0.7361,0.025
1.05,0.7,head_on,turn-120,0.7272,0.025
1.05,0.7,head_on,turn-180,1.0,0.05
1.1,0.7,head_on,straight,0.0,0.0
1.1,0.7,head_on,turn+30,0.0,0.0
1.1,0.7,head_on,turn+60,1.0,0.025
1.1,0.7,head_on,turn+90,0.8622,0.025
1.1,0.7,head_on,turn+120,0.7696,0.025
1.1,0.7,head_on,turn+180,0.7304,0.025
1.1,0.7,head_on,turn-30,0.0,0.0
1.1,0.7,head_on,turn-60,1.0,0.025
1.1,0.7,head_on,turn-90,0.8622,0.025
1.1,0.7,head_on,turn-120,0.7696,0.025
1.1,0.7,head_on,turn-180,0.7304,0.025
1.15,0.7,head_on,straight,0.0,0.0
1.15,0.7,head_on,turn+30,0.0,0.0
1.15,0.7,head_on,turn+60,1.0,0.025
1.15,0.7,head_on,turn+90,0.9724,0.025
1.15,0.7,head_on,turn+120,0.9559,0.025
1.15,0.7,head_on,turn+180,0.9335,0.025
1.15,0.7,head_on,turn-30,0.0,0.0
1.15,0.7,head_on,turn-60,1.0,0.025
1.15,0.7,head_on,turn-90,0.9724,0.025
1.15,0.7,head_on,turn-120,0.9559,0.025
1.15,0.7,head_on,turn-180,0.9335,0.025
1.2,0.7,head_on,straight,0.0,0.0
1.2,0.7,head_on,turn+30,0.0,0.0
1.2,0.7,head_on,turn+60,1.0,0.025
1.2,0.7,head_on,turn+90,0.9949,0.025
1.2,0.7,head_on,turn+120,0.9908,0.025
1.2,0.7,head_on,turn+180,0.9955,0.025
1.2,0.7,head_on,turn-30,0.0,0.0
1.2,0.7,head_on,turn-60,1.0,0.025
