eta_v,eta_omega,geometry,worst_peak,worst_share,reachable,viable,worst_R_plan
0.75,0.7,head_on,0.0,0.0,0,0,straight
0.8,0.7,head_on,0.0,0.0,0,0,straight
0.85,0.7,head_on,0.0,0.0,0,0,straight
0.9,0.7,head_on,0.0,0.0,0,0,straight
0.95,0.7,head_on,0.0,0.0,0,0,straight
1.0,0.7,head_on,0.0,0.0,0,0,straight
1.05,0.7,head_on,0.0,0.0,0,0,straight
1.1,0.7,head_on,0.0,0.0,0,0,straight
1.15,0.7,head_on,0.0,0.0,0,0,straight
1.2,0.7,head_on,0.0,0.0,0,0,straight
1.25,0.7,head_on,0.0,0.0,0,0,straight
1.3,0.7,head_on,0.0,0.0,0,0,straight
1.35,0.7,head_on,0.0,0.0,0,0,straight
1.4,0.7,head_on,0.0,0.0,0,0,straight
1.45,0.7,head_on,0.0,0.0,0,0,straight
1.5,0.7,head_on,0.0,0.0,0,0,straight
0.75,0.7,parallel,0.0,0.0,0,0,turn-120
0.8,0.7,parallel,0.0,0.0,0,0,turn-90
0.85,0.7,parallel,0.0,0.0,0,0,turn-120
0.9,0.7,parallel,0.0,0.0,0,0,turn-120
0.95,0.7,parallel,0.0,0.0,0,0,turn-120
1.0,0.7,parallel,0.0,0.0,0,0,turn-120
1.05,0.7,parallel,0.0,0.0,0,0,turn-60
1.1,0.7,parallel,0.0,0.0,0,0,turn-120
1.15,0.7,parallel,0.0,0.0,0,0,turn-30
1.2,0.7,parallel,0.0,0.0,0,0,turn-120
1.25,0.7,parallel,0.0,0.0,0,0,turn-90
1.3,0.7,parallel,0.0,0.0,0,0,turn-90
1.35,0.7,parallel,0.0,0.0,0,0,turn-90
1.4,0.7,parallel,0.0,0.0,0,0,turn-90
1.45,0.7,parallel,0.0,0.0,0,0,turn-90
1.5,0.7,parallel,0.0,0.0,0,0,turn-90
0.75,0.7,crossing,0.0,0.0,0,0,turn+90
0.8,0.7,crossing,0.0,0.0,0,0,turn+90
0.85,0.7,crossing,0.0,0.0,0,0,turn+90
0.9,0.7,crossing,0.0,0.0,0,0,turn+90
0.95,0.7,crossing,0.0,0.0,0,0,turn+90
1.0,0.7,crossing,0.0,0.0,0,0,turn+90
1.05,0.7,crossing,0.0,0.0,0,0,turn+120
1.1,0.7,crossing,0.0,0.0,0,0,turn+120
1.15,0.7,crossing,0.0,0.0,0,0,turn+120
1.2,0.7,crossing,0.0,0.0,0,0,turn+120
1.25,0.7,crossing,0.0,0.0,0,0,turn+90
1.3,0.7,crossing,0.0,0.0,0,0,turn+90
1.35,0.7,crossing,0.0,0.0,0,0,turn+90
1.4,0.7,crossing,0.0,0.0,0,0,turn+90
1.45,0.7,crossing,0.0,0.0,0,0,turn+90
1.5,0.7,crossing,0.0,0.0,0,0,turn+90
0.75,1.0,head_on,0.0,0.0,0,0,straight
0.8,1.0,head_on,0.0,0.0,0,0,straight
0.85,1.0,head_on,0.0,0.0,0,0,straight
0.9,1.0,head_on,0.0,0.0,0,0,straight
0.95,1.0,head_on,0.0,0.0,0,0,straight
1.0,1.0,head_on,0.0,0.0,0,0,straight
1.05,1.0,head_on,0.0,0.0,0,0,straight
1.1,1.0,head_on,0.0,0.0,0,0,straight
1.15,1.0,head_on,0.0,0.0,0,0,straight
1.2,1.0,head_on,0.0,0.0,0,0,straight
1.25,1.0,head_on,0.0,0.0,0,0,straight
1.3,1.0,head_on,0.0,0.0,0,0,straight
1.35,1.0,head_on,0.0,0.0,0,0,straight
1.4,1.0,head_on,0.0,0.0,0,0,straight
1.45,1.0,head_on,0.0,0.0,0,0,straight
1.5,1.0,head_on,0.0,0.0,0,0,straight
0.75,1.0,parallel,0.0,0.0,0,0,turn-90
0.8,1.0,parallel,0.0,0.0,0,0,turn-90
0.85,1.0,parallel,0.0,0.0,0,0,turn-120
0.9,1.0,parallel,0.0,0.0,0,0,turn-120
0.95,1.0,parallel,0.0,0.0,0,0,turn-120
1.0,1.0,parallel,0.0,0.0,0,0,straight
1.05,1.0,parallel,0.0,0.0,0,0,straight
1.1,1.0,parallel,0.0,0.0,0,0,straight
1.15,1.0,parallel,0.0,0.0,0,0,straight
1.2,1.0,parallel,0.0,0.0,0,0,straight
1.25,1.0,parallel,0.0,0.0,0,0,straight
1.3,1.0,parallel,0.0,0.0,0,0,straight
1.35,1.0,parallel,0.0,0.0,0,0,straight
1.4,1.0,parallel,0.0,0.0,0,0,straight
1.45,1.0,parallel,0.0,0.0,0,0,straight
1.5,1.0,parallel,0.0,0.0,0,0,straight
0.75,1.0,crossing,0.0,0.0,0,0,turn+90
0.8,1.0,crossing,0.0,0.0,0,0,turn+90
0.85,1.0,crossing,0.0,0.0,0,0,turn+90
0.9,1.0,crossing,0.0,0.0,0,0,turn+90
0.95,1.0,crossing,0.0,0.0,0,0,turn+90
1.0,1.0,crossing,0.0,0.0,0,0,turn+90
1.05,1.0,crossing,0.0,0.0,0,0,turn+90
1.1,1.0,crossing,0.0,0.0,0,0,turn+90
1.15,1.0,crossing,0.0,0.0,0,0,turn+90
1.2,1.0,crossing,0.0,0.0,0,0,turn+90
1.25,1.0,crossing,0.0,0.0,0,0,turn+90
1.3,1.0,crossing,0.0,0.0,0,0,turn+90
1.35,1.0,crossing,0.0,0.0,0,0,turn+90
1.4,1.0,crossing,0.0,0.0,0,0,turn+90
1.45,1.0,crossing,0.0,0.0,0,0,turn+90
1.5,1.0,crossing,0.0,0.0,0,0,turn+90
0.75,1.3,head_on,0.0,0.0,0,0,straight
0.8,1.3,head_on,0.0,0.0,0,0,straight
0.85,1.3,head_on,0.0,0.0,0,0,straight
0.9,1.3,head_on,0.0,0.0,0,0,straight
0.95,1.3,head_on,0.0,0.0,0,0,straight
1.0,1.3,head_on,0.0,0.0,0,0,turn+30
1.05,1.3,head_on,0.0,0.0,0,0,turn+30
1.1,1.3,head_on,0.0,0.0,0,0,turn+30
1.15,1.3,head_on,0.0,0.0,0,0,turn+30
1.2,1.3,head_on,0.0,0.0,0,0,straight
1.25,1.3,head_on,0.0,0.0,0,0,straight
1.3,1.3,head_on,0.0,0.0,0,0,straight
1.35,1.3,head_on,0.0,0.0,0,0,straight
