eta_v,eta_r,V_1,V_6,P_6
0.8,0.75,-0.1787711881358059,-1.0091979413403276,-0.8304267532045218
0.8,1.0,-0.0,-0.0,0.0
0.8,1.33,0.2688025038458618,1.4592021990189465,1.1903996951730846
0.89,0.75,-0.1787711881358059,-1.1234220627179539,-0.944650874582148
0.89,1.0,-0.0,0.014767320738343808,0.014767320738343808
0.89,1.33,0.2688025038458618,1.4468072094999609,1.1780047056540992
1.0,0.75,-0.1787711881358059,-1.3779914346986877,-1.1992202465628818
1.0,1.0,-0.0,-0.0,0.0
1.0,1.33,0.2688025038458618,1.5589943203417267,1.2901918164958648
1.13,0.75,-0.1787711881358059,-1.2231935900390003,-1.0444224019031945
1.13,1.0,-0.0,-0.04502650356416105,-0.04502650356416105
1.13,1.33,0.2688025038458618,1.4128543563821439,1.1440518525362822
1.25,0.75,-0.1787711881358059,-1.2142242706862245,-1.0354530825504187
1.25,1.0,-0.0,-0.18647189346438758,-0.18647189346438758
1.25,1.33,0.2688025038458618,1.051252673281787,0.7824501694359253
1.33,0.75,-0.1787711881358059,-1.1081672712678896,-0.9293960831320838
1.33,1.0,-0.0,-0.22514899759825366,-0.22514899759825366
1.33,1.33,0.2688025038458618,1.1485456865874266,0.8797431827415648
