geometry,H,V_H,maximin_plan_B,minimax_plan_R
head_on,1,-0.0,straight,straight
head_on,2,-0.0,turn+120,turn+120
head_on,3,-0.0,turn+30,turn+30
head_on,4,-0.0,straight,straight
head_on,6,-0.0,straight,straight
head_on,12,-0.0,straight,straight
head_on,40,-0.0,straight,straight
parallel,1,-0.0,straight,straight
parallel,2,-0.0,straight,straight
parallel,3,-0.0,turn+30,turn-30
parallel,4,0.00781660766510723,turn+120,turn-120
parallel,6,-0.0,turn+120,turn-120
parallel,12,-0.0,turn+120,turn-120
parallel,40,0.017268107811821212,turn-30,turn+30
crossing,1,-0.0,straight,straight
crossing,2,-0.0,straight,straight
crossing,3,-0.0,turn+90,turn+90
crossing,4,-0.0,turn+90,turn+90
crossing,6,-0.0,turn+90,turn+90
crossing,12,-0.0,turn+90,turn+90
crossing,40,-0.0,turn+90,turn+90
