eta_v,eta_r,geometry,V11,V21,V41,conv_metric,conv_pass,plan21,plan41,plan_stable
0.8,0.75,head_on,-0.415390350002611,-0.9762301080144095,-0.8425827445741206,0.13364736344028882,0,straight,straight,1
0.8,0.75,parallel,-0.1658756426295027,-0.5900521879481518,-1.0179338059803678,0.42034326349946194,0,t+60,t+120_6,0
0.8,0.75,crossing,-1.0512726823408107,-1.0483519156307934,-0.7329411874422338,0.31541072818855964,0,t+90,t+180_6,0
0.8,1.0,head_on,1.025218753913637,0.34003842183860794,0.6215608541153262,0.2815224322767183,0,straight,straight,1
0.8,1.0,parallel,1.0987443659952163,0.5058800873511139,0.22633601445802906,0.2795440728930848,0,t+60,t+120_6,0
0.8,1.0,crossing,-0.0,-0.0,0.39491154535592804,0.39491154535592804,0,t+90,t+180_6,0
0.8,1.33,head_on,2.9877759797904027,2.5626021516250206,2.9175449258691994,0.12165803209986005,0,straight,straight,1
0.8,1.33,parallel,2.967226732431392,2.6125522575854228,2.6856540066663004,0.027219347279815377,1,t+60,t+180_6,0
0.8,1.33,crossing,2.8477310333943797,2.718081294864015,2.416413153293486,0.12484129262389021,0,t+75_3,t+180_6,0
1.0,0.75,head_on,-1.4544804633832857,-1.6467423166288777,-1.731572693863106,0.04899036438659314,1,straight,t+60_6,0
1.0,0.75,parallel,-1.8771622323287607,-1.2639023688430424,-1.410105140615114,0.10368217770505764,0,t+75_3,t+75_3,1
1.0,0.75,crossing,-1.632942025350327,-1.886860389622486,-1.44337723652009,0.307253808555005,0,t+105_3,t+180_6,0
1.0,1.0,head_on,-0.0,-0.0,-0.0,0.0,1,t+30,t+15_3,0
1.0,1.0,parallel,0.017268107811821212,-0.0,0.0011384199066864003,0.0011384199066864003,1,t+75_3,t+75_3,1
1.0,1.0,crossing,-0.0,-0.0,-0.0,0.0,1,t+105_3,t+180_6,0
1.0,1.33,head_on,1.658871489196025,1.9241062936147566,2.359614148424121,0.18456740272566188,0,t-30,t+150_3,0
1.0,1.33,parallel,2.8146045728294298,1.9793866903486719,1.941917777100271,0.01929479903333016,1,t+60,t+120_6,0
1.0,1.33,crossing,1.4264911044939925,1.5931392204120014,1.7375877360738234,0.08313163857165079,0,t+105_3,t+180_6,0
1.33,0.75,head_on,-2.512667242329171,-1.9799672189773527,-2.252882112731625,0.12114033495670232,0,straight,t+150_3,0
1.33,0.75,parallel,-2.6187573850034376,-2.5286138309998085,-2.156546614535537,0.17252917880673993,0,t-90,t-60_6,0
1.33,0.75,crossing,-2.2776893917112044,-1.9996213440636514,-1.783728223830663,0.12103476154531263,0,t+150_3,t+180_6,0
1.33,1.0,head_on,-1.4449852091465372,-0.7929626573637588,-1.0836099416613907,0.2682213157365569,0,straight,t+90_6,0
1.33,1.0,parallel,-1.8273076643463575,-1.4034415836712273,-0.9880573122313913,0.41538427143983603,0,t+60,t+90_2,0
1.33,1.0,crossing,-0.4905245301845226,-0.8969258515038253,-0.7288132075470057,0.16811264395681957,0,t+105_3,t+180_6,0
1.33,1.33,head_on,0.40443248137622173,0.6133346485852016,0.663110843196595,0.049776194611393376,1,straight,t+150_3,0
1.33,1.33,parallel,-0.3126830942507848,0.37023630116202083,0.6092660448248298,0.239029743662809,0,t+45_3,t+90_2,0
1.33,1.33,crossing,0.9432277598353956,0.5086044568450708,0.6324861856849341,0.12388172883986326,0,t+105_3,t+180_6,0
