distance,sector,rel,attacker_heading,target_heading,target_speed,target_aspect,total,kind_primary,kind_secondary,kind_tertiary
1,port,4,1,1,0,broadside,3.0,3.0,,
1,port,4,1,1,1,broadside,2.9444444444444446,2.9444444444444446,,
1,port,4,1,1,2,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,1,3,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,1,4,broadside,2.361111111111111,2.361111111111111,,
1,port,4,1,1,5,broadside,2.361111111111111,2.361111111111111,,
1,port,4,1,2,0,bow_stern,3.0,3.0,,
1,port,4,1,2,1,bow_stern,3.0,3.0,,
1,port,4,1,2,2,bow_stern,3.0,3.0,,
1,port,4,1,2,3,bow_stern,3.0,3.0,,
1,port,4,1,2,4,bow_stern,2.9166666666666665,2.9166666666666665,,
1,port,4,1,2,5,bow_stern,2.9166666666666665,2.9166666666666665,,
1,port,4,1,3,0,broadside,3.0,3.0,,
1,port,4,1,3,1,broadside,2.9444444444444446,2.9444444444444446,,
1,port,4,1,3,2,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,3,3,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,3,4,broadside,2.361111111111111,2.361111111111111,,
1,port,4,1,3,5,broadside,2.361111111111111,2.361111111111111,,
1,port,4,1,4,0,broadside,3.0,3.0,,
1,port,4,1,4,1,broadside,2.9444444444444446,2.9444444444444446,,
1,port,4,1,4,2,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,4,3,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,4,4,broadside,2.361111111111111,2.361111111111111,,
1,port,4,1,4,5,broadside,2.361111111111111,2.361111111111111,,
1,port,4,1,5,0,bow_stern,3.0,3.0,,
1,port,4,1,5,1,bow_stern,3.0,3.0,,
1,port,4,1,5,2,bow_stern,3.0,3.0,,
1,port,4,1,5,3,bow_stern,3.0,3.0,,
1,port,4,1,5,4,bow_stern,2.9166666666666665,2.9166666666666665,,
1,port,4,1,5,5,bow_stern,2.9166666666666665,2.9166666666666665,,
1,port,4,1,6,0,broadside,3.0,3.0,,
1,port,4,1,6,1,broadside,2.9444444444444446,2.9444444444444446,,
1,port,4,1,6,2,broadside,2.6944444444444446,2.6944444444444446,,
1,port,4,1,6,3,broadside,2.6944444444444446,2.6944444444444446,,
