eta_v,eta_r,geometry,game_value,pure_value,maximin_plan_B,minimax_plan_R,regime,fire_adv_fraction
0.8,0.75,head_on,-0.415390350002611,-1.4889668554218396,straight,straight,closure_disadvantage,0.0
0.8,0.75,parallel,-0.1658756426295027,-0.8847369644997217,turn+60,turn-90,cross_or_beam,0.025
0.8,0.75,crossing,-1.0512726823408107,-1.051272682340811,turn+90,turn+90,cross_or_beam,0.0
0.8,1.0,head_on,1.025218753913637,0.0,straight,straight,closure_advantage,0.0
0.8,1.0,parallel,1.0987443659952163,0.0,turn+60,turn+30,cross_or_beam,0.275
0.8,1.0,crossing,-0.0,0.0,turn+90,turn+90,cross_or_beam,0.0
0.8,1.33,head_on,2.9877759797904027,1.5239024634203764,turn+30,straight,oblique_duel,0.125
0.8,1.33,parallel,2.967226732431392,2.0435953504062647,turn+60,turn+30,cross_or_beam,0.325
0.8,1.33,crossing,2.8477310333943797,1.8324160580403748,turn+90,turn-120,cross_or_beam,0.35
0.89,0.75,head_on,-1.0997090944506147,-2.2831023589345403,straight,straight,closure_disadvantage,0.0
0.89,0.75,parallel,-0.27277900526519944,-1.2243866424211811,turn+120,turn-90,disengage,0.05
0.89,0.75,crossing,-0.7184878834857414,-0.7264006594350451,turn+90,turn+90,cross_or_beam,0.0
0.89,1.0,head_on,0.8386957407059327,0.0,straight,straight,closure_advantage,0.0
0.89,1.0,parallel,1.0983027660284865,0.0,turn+60,turn-90,cross_or_beam,0.025
0.89,1.0,crossing,-0.0,0.0,turn+90,turn+90,cross_or_beam,0.0
0.89,1.33,head_on,3.159943589480339,1.1319600163371182,straight,turn+30,closure_advantage,0.075
0.89,1.33,parallel,2.775445677334208,1.7799968769325663,turn+60,turn-90,cross_or_beam,0.125
0.89,1.33,crossing,2.7704815032409402,2.2847844234770007,turn+90,turn+120,cross_or_beam,0.125
1.0,0.75,head_on,-1.4544804633832857,-1.454480463383285,straight,turn+30,closure_disadvantage,0.0
1.0,0.75,parallel,-1.8771622323287607,-3.350101475894435,turn+90,turn-60,cross_or_beam,0.025
1.0,0.75,crossing,-1.632942025350327,-2.0072620505540915,turn+90,turn+90,cross_or_beam,0.0
1.0,1.0,head_on,-0.0,0.0,straight,straight,even_closure,0.0
1.0,1.0,parallel,0.017268107811821212,-1.9979748540479068,turn-30,turn+30,oblique_duel,0.0
1.0,1.0,crossing,-0.0,0.0,turn+90,turn+90,cross_or_beam,0.0
1.0,1.33,head_on,1.658871489196025,0.6952131037932573,turn-30,turn+30,oblique_duel,0.1
1.0,1.33,parallel,2.8146045728294298,1.4372445508347393,turn+60,turn-90,cross_or_beam,0.125
1.0,1.33,crossing,1.4264911044939925,0.97234472721956,turn+90,turn+90,cross_or_beam,0.1
1.13,0.75,head_on,-2.393367183196484,-5.3315449077435915,straight,turn+60,closure_disadvantage,0.1
1.13,0.75,parallel,-2.301841737680702,-3.2751560200422536,turn-30,turn-120,oblique_duel,0.025
1.13,0.75,crossing,-2.2644809825190273,-5.203025490649715,turn-120,turn+90,disengage,0.0
1.13,1.0,head_on,-1.1954259440982098,-3.840387019082415,turn+180,straight,disengage,0.0
1.13,1.0,parallel,-1.0394990434041251,-1.3412765496796828,turn-30,turn-120,oblique_duel,0.025
1.13,1.0,crossing,-0.11805386866334319,-0.3387909654451164,turn+90,turn+90,cross_or_beam,0.0
1.13,1.33,head_on,0.7483529030501926,-2.2110383773045093,turn+180,straight,disengage,0.525
1.13,1.33,parallel,0.4516886781153625,-0.6892912376412856,turn-30,turn-120,oblique_duel,0.075
1.13,1.33,crossing,0.49339459099376626,0.15483303210322616,turn+90,turn+90,cross_or_beam,0.075
1.25,0.75,head_on,-2.4724257194205492,-4.676580016264422,straight,turn+60,closure_disadvantage,0.05
1.25,0.75,parallel,-2.5554560671156508,-3.439326818622715,turn-30,turn-90,oblique_duel,0.0
1.25,0.75,crossing,-2.1960078261627176,-5.643575905312262,turn-90,turn+30,cross_or_beam,0.0
1.25,1.0,head_on,-1.3878383010845758,-3.7923461352579415,turn+180,turn+60,disengage,0.0
1.25,1.0,parallel,-1.4899059169445816,-2.16234829305928,turn-30,turn-90,oblique_duel,0.025
1.25,1.0,crossing,-0.22085092483278876,-0.7124598557342788,turn+90,turn+120,cross_or_beam,0.0
1.25,1.33,head_on,0.5700143281955702,-2.171658014695733,turn+180,turn-30,disengage,0.15
1.25,1.33,parallel,0.024650017504857322,-1.6061895926039695,turn+90,turn-90,cross_or_beam,0.075
1.25,1.33,crossing,0.7787706726607715,0.6898627586334521,turn+90,turn+120,cross_or_beam,0.075
1.33,0.75,head_on,-2.512667242329171,-4.9287819608696095,straight,straight,closure_disadvantage,0.0
1.33,0.75,parallel,-2.6187573850034376,-3.4047851484313076,turn-30,turn-90,oblique_duel,0.0
1.33,0.75,crossing,-2.2776893917112044,-5.6440890117712295,turn-90,turn+30,cross_or_beam,0.0
1.33,1.0,head_on,-1.4449852091465372,-3.7836866475043256,turn+180,straight,disengage,0.0
1.33,1.0,parallel,-1.8273076643463575,-2.4513080011889508,turn-30,turn-120,oblique_duel,0.0
1.33,1.0,crossing,-0.4905245301845226,-0.9021724668623906,turn+90,turn+120,cross_or_beam,0.0
1.33,1.33,head_on,0.40443248137622173,-2.1421838100603448,straight,straight,closure_advantage,0.1
1.33,1.33,parallel,-0.3126830942507848,-2.071736979639226,turn-30,turn-90,oblique_duel,0.05
1.33,1.33,crossing,0.9432277598353956,0.8688332993413307,turn+90,turn+120,cross_or_beam,0.075
