cell,geometry,fleet,seed,sample_kind,n_plans,j_ref,j_tied_top,j_tiers,threat_weight,options_total,cross_total,cross_low,cross_high,attacker_id,launcher_id,launch_side,launch_angle,setting_index,launch_at_mf,salvo,torpedo_heading,launch_hex,e_hits_direct,direct_aspect,direct_distance,direct_contact,tau0_hex,tau0_heading,tau0_cost,tau0_plan,tau0_j,c_route_changed,c_plan_changed,c_hex,c_heading,c_cost,c_plan,c_j,c_denial,c_heading_change,c_speed_loss,c_deviation,c_contact,c_p_hit,d_route_changed,d_hex,d_heading,d_cost,d_j,d_denial,d_heading_change,d_speed_loss,d_deviation,d_contact,c1_route_changed,c1_hex,c1_denial,c1_denial_norm,v_direct_vp,v_direct_norm,v_denial_norm,v_denial_d_norm,ca_vp
chase:1v1,chase,1v1,21467821,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,0,2,2,6,V18,0.08333333333333333,broadside,9,t3.i3@U10,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,22280038,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,1,3,2,6,W18,0.08333333333333333,broadside,9,t3.i5@V9,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,23092255,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,0,1,2,6,U19,0.08333333333333333,broadside,9,t3.i2@T10,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,23904472,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,A,2,2,2,6,V18,0.08333333333333333,broadside,9,t3.i5@V9,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,24716689,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,A,1,1,2,6,U19,0.08333333333333333,broadside,9,t3.i3@U10,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,25528906,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,1,3,2,6,W18,0.08333333333333333,broadside,9,t3.i5@V9,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,26341123,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,0,2,2,6,V18,0.08333333333333333,broadside,9,t3.i3@U10,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,27153340,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,0,1,2,6,U19,0.08333333333333333,broadside,9,t3.i2@T10,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,27965557,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,0,1,2,6,U19,0.08333333333333333,broadside,9,t3.i2@T10,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
chase:1v1,chase,1v1,28777774,low,580,5.333333333333333,32,4,0.3425925925925926,96,9,9,0,IBS-U-IJN-FUBUKI,TT1,port,B,1,3,2,6,W18,0.08333333333333333,broadside,9,t3.i5@V9,R11,1,4,1S1S2P,5.333333333333333,True,True,R11,3,4,1S1S2S,5.333333333333333,0.0,2,0,0,,0.0,True,R11,3,4,5.333333333333333,0.0,2,0,0,,True,R11,0.0,0.0,0.8333333333333333,0.028549382716049385,0.0,0.0,10
