policy,geometry,seed,damage_axis,damage_allies,diff,axis_win,allies_win
geometry,parallel,1,0,0,0,0,0
geometry,parallel,2,3,3,0,0,0
geometry,parallel,3,0,3,3,1,0
geometry,parallel,4,5,1,-4,0,1
geometry,parallel,5,0,0,0,0,0
geometry,parallel,6,0,0,0,0,0
geometry,parallel,7,0,2,2,1,0
geometry,parallel,8,2,0,-2,0,1
geometry,parallel,9,0,1,1,1,0
geometry,parallel,10,0,10,10,1,0
geometry,parallel,11,3,6,3,1,0
geometry,parallel,12,0,2,2,1,0
geometry,parallel,13,0,2,2,1,0
geometry,parallel,14,3,2,-1,0,1
geometry,parallel,15,2,6,4,1,0
geometry,parallel,16,1,0,-1,0,1
geometry,parallel,17,1,3,2,1,0
geometry,parallel,18,0,1,1,1,0
geometry,parallel,19,3,4,1,1,0
geometry,parallel,20,1,5,4,1,0
geometry,parallel,21,0,1,1,1,0
geometry,parallel,22,4,2,-2,0,1
geometry,parallel,23,0,0,0,0,0
geometry,parallel,24,1,4,3,1,0
geometry,parallel,25,0,0,0,0,0
geometry,parallel,26,2,6,4,1,0
geometry,parallel,27,0,0,0,0,0
geometry,parallel,28,1,4,3,1,0
geometry,parallel,29,0,7,7,1,0
geometry,parallel,30,0,0,0,0,0
geometry,parallel,31,0,4,4,1,0
geometry,parallel,32,2,0,-2,0,1
geometry,parallel,33,2,3,1,1,0
geometry,parallel,34,0,0,0,0,0
geometry,parallel,35,5,2,-3,0,1
geometry,parallel,36,1,0,-1,0,1
geometry,parallel,37,12,0,-12,0,1
geometry,parallel,38,0,2,2,1,0
geometry,parallel,39,3,3,0,0,0
geometry,parallel,40,0,5,5,1,0
geometry,parallel,41,8,3,-5,0,1
geometry,parallel,42,2,0,-2,0,1
geometry,parallel,43,1,6,5,1,0
geometry,parallel,44,0,9,9,1,0
geometry,parallel,45,10,0,-10,0,1
geometry,parallel,46,2,3,1,1,0
geometry,parallel,47,0,4,4,1,0
geometry,parallel,48,0,0,0,0,0
geometry,parallel,49,5,1,-4,0,1
geometry,parallel,50,2,2,0,0,0
geometry,parallel,51,2,1,-1,0,1
geometry,parallel,52,0,2,2,1,0
geometry,parallel,53,0,0,0,0,0
geometry,parallel,54,6,2,-4,0,1
geometry,parallel,55,0,8,8,1,0
geometry,parallel,56,2,4,2,1,0
geometry,parallel,57,0,12,12,1,0
geometry,parallel,58,0,3,3,1,0
geometry,parallel,59,0,3,3,1,0
geometry,parallel,60,3,6,3,1,0
geometry,head_on,1,4,0,-4,0,1
geometry,head_on,2,3,1,-2,0,1
geometry,head_on,3,0,3,3,1,0
geometry,head_on,4,0,0,0,0,0
geometry,head_on,5,0,0,0,0,0
geometry,head_on,6,7,2,-5,0,1
geometry,head_on,7,7,0,-7,0,1
geometry,head_on,8,2,0,-2,0,1
geometry,head_on,9,0,0,0,0,0
geometry,head_on,10,0,4,4,1,0
geometry,head_on,11,2,9,7,1,0
geometry,head_on,12,0,0,0,0,0
geometry,head_on,13,0,1,1,1,0
geometry,head_on,14,0,1,1,1,0
geometry,head_on,15,0,0,0,0,0
geometry,head_on,16,2,0,-2,0,1
geometry,head_on,17,2,0,-2,0,1
geometry,head_on,18,0,4,4,1,0
geometry,head_on,19,1,12,11,1,0
geometry,head_on,20,2,1,-1,0,1
geometry,head_on,21,0,0,0,0,0
geometry,head_on,22,10,2,-8,0,1
geometry,head_on,23,4,4,0,0,0
geometry,head_on,24,7,0,-7,0,1
geometry,head_on,25,4,2,-2,0,1
geometry,head_on,26,8,1,-7,0,1
geometry,head_on,27,1,12,11,1,0
geometry,head_on,28,0,4,4,1,0
geometry,head_on,29,0,0,0,0,0
geometry,head_on,30,4,2,-2,0,1
geometry,head_on,31,0,4,4,1,0
geometry,head_on,32,7,1,-6,0,1
geometry,head_on,33,2,0,-2,0,1
geometry,head_on,34,0,0,0,0,0
geometry,head_on,35,6,5,-1,0,1
geometry,head_on,36,3,1,-2,0,1
geometry,head_on,37,3,3,0,0,0
geometry,head_on,38,0,0,0,0,0
geometry,head_on,39,3,5,2,1,0
geometry,head_on,40,0,1,1,1,0
geometry,head_on,41,0,0,0,0,0
geometry,head_on,42,5,3,-2,0,1
geometry,head_on,43,2,3,1,1,0
geometry,head_on,44,0,0,0,0,0
geometry,head_on,45,0,2,2,1,0
geometry,head_on,46,2,12,10,1,0
geometry,head_on,47,0,1,1,1,0
geometry,head_on,48,3,3,0,0,0
geometry,head_on,49,0,0,0,0,0
geometry,head_on,50,8,0,-8,0,1
geometry,head_on,51,1,3,2,1,0
geometry,head_on,52,5,10,5,1,0
geometry,head_on,53,3,0,-3,0,1
geometry,head_on,54,0,0,0,0,0
geometry,head_on,55,2,2,0,0,0
geometry,head_on,56,2,2,0,0,0
geometry,head_on,57,2,6,4,1,0
geometry,head_on,58,0,0,0,0,0
geometry,head_on,59,0,0,0,0,0
geometry,head_on,60,0,3,3,1,0
geometry,crossing,1,0,0,0,0,0
geometry,crossing,2,0,1,1,1,0
geometry,crossing,3,0,1,1,1,0
geometry,crossing,4,1,6,5,1,0
geometry,crossing,5,0,1,1,1,0
geometry,crossing,6,0,0,0,0,0
geometry,crossing,7,1,4,3,1,0
geometry,crossing,8,2,2,0,0,0
geometry,crossing,9,0,0,0,0,0
geometry,crossing,10,0,6,6,1,0
geometry,crossing,11,0,5,5,1,0
geometry,crossing,12,0,0,0,0,0
geometry,crossing,13,0,0,0,0,0
geometry,crossing,14,0,10,10,1,0
geometry,crossing,15,0,4,4,1,0
geometry,crossing,16,1,6,5,1,0
geometry,crossing,17,1,0,-1,0,1
geometry,crossing,18,0,5,5,1,0
geometry,crossing,19,0,5,5,1,0
geometry,crossing,20,0,6,6,1,0
geometry,crossing,21,3,2,-1,0,1
geometry,crossing,22,12,8,-4,0,1
geometry,crossing,23,0,5,5,1,0
geometry,crossing,24,1,0,-1,0,1
geometry,crossing,25,0,0,0,0,0
geometry,crossing,26,3,2,-1,0,1
geometry,crossing,27,0,0,0,0,0
geometry,crossing,28,0,4,4,1,0
geometry,crossing,29,1,0,-1,0,1
geometry,crossing,30,2,3,1,1,0
geometry,crossing,31,1,1,0,0,0
geometry,crossing,32,2,8,6,1,0
geometry,crossing,33,2,3,1,1,0
geometry,crossing,34,0,0,0,0,0
