policy,seed,damage_axis,damage_allies,diff,axis_win
geometry,1,28,11,-17,0
geometry,2,43,12,-31,0
geometry,3,23,19,-4,0
geometry,4,22,9,-13,0
geometry,5,28,19,-9,0
geometry,6,32,5,-27,0
geometry,8,20,6,-14,0
geometry,9,33,14,-19,0
geometry,11,28,13,-15,0
geometry,12,23,16,-7,0
geometry,13,27,15,-12,0
geometry,14,38,8,-30,0
geometry,15,22,5,-17,0
geometry,16,23,22,-1,0
geometry,18,23,15,-8,0
geometry,19,34,13,-21,0
geometry,20,21,17,-4,0
line,1,40,28,-12,0
line,2,40,13,-27,0
line,3,43,16,-27,0
line,4,39,21,-18,0
line,5,36,30,-6,0
line,6,32,10,-22,0
line,7,41,24,-17,0
line,8,36,30,-6,0
line,9,41,14,-27,0
line,10,43,14,-29,0
line,11,42,18,-24,0
line,12,33,24,-9,0
line,13,34,13,-21,0
line,14,41,41,0,0
line,15,36,12,-24,0
line,16,46,37,-9,0
line,17,32,41,9,0
line,18,53,23,-30,0
line,19,43,20,-23,0
line,20,43,17,-26,0
straight,1,32,5,-27,0
straight,2,21,0,-21,0
straight,4,28,0,-28,0
straight,5,43,3,-40,0
straight,6,33,1,-32,0
straight,7,33,1,-32,0
straight,8,20,1,-19,0
straight,9,22,0,-22,0
straight,11,35,1,-34,0
straight,12,13,0,-13,0
straight,13,43,8,-35,0
straight,14,28,1,-27,0
straight,15,29,1,-28,0
straight,16,27,3,-24,0
straight,17,24,3,-21,0
straight,18,28,0,-28,0
straight,20,29,0,-29,0
