geometry,range,speed,arm,seed,damage_axis,damage_allies,diff,axis_win,allies_win
parallel,12,4,F-F,2,0,1,1,1,0
parallel,12,4,F-F,3,0,4,4,1,0
parallel,12,4,F-F,1,0,1,1,1,0
parallel,12,4,F-F,5,0,6,6,1,0
parallel,12,4,F-F,4,0,4,4,1,0
parallel,12,4,F-F,6,0,4,4,1,0
parallel,12,4,F-F,7,0,3,3,1,0
parallel,12,4,F-F,8,0,0,0,0,0
parallel,12,4,F-F,10,0,4,4,1,0
parallel,12,4,F-F,9,0,2,2,1,0
parallel,12,4,F-F,12,0,0,0,0,0
parallel,12,4,F-F,11,0,7,7,1,0
parallel,12,4,F-F,13,0,7,7,1,0
parallel,12,4,F-F,14,0,5,5,1,0
parallel,12,4,F-F,15,0,1,1,1,0
parallel,12,4,F-F,16,0,2,2,1,0
parallel,12,4,F-F,18,0,9,9,1,0
parallel,12,4,F-F,17,0,2,2,1,0
parallel,12,4,F-F,19,0,3,3,1,0
parallel,12,4,F-F,20,0,2,2,1,0
parallel,12,4,F-F,21,0,1,1,1,0
parallel,12,4,F-F,23,0,6,6,1,0
parallel,12,4,F-F,22,0,4,4,1,0
parallel,12,4,F-F,24,0,3,3,1,0
parallel,12,4,F-F,25,0,6,6,1,0
parallel,12,4,F-F,26,0,0,0,0,0
parallel,12,4,F-F,28,0,2,2,1,0
parallel,12,4,F-F,27,0,2,2,1,0
parallel,12,4,F-F,29,0,1,1,1,0
parallel,12,4,F-F,30,0,5,5,1,0
parallel,12,4,F-F,31,0,8,8,1,0
parallel,12,4,F-F,33,0,2,2,1,0
parallel,12,4,F-F,32,0,2,2,1,0
parallel,12,4,F-F,34,0,6,6,1,0
parallel,12,4,F-F,35,0,2,2,1,0
parallel,12,4,F-F,36,0,2,2,1,0
parallel,12,4,F-F,39,0,1,1,1,0
parallel,12,4,F-F,37,0,5,5,1,0
parallel,12,4,F-F,38,0,0,0,0,0
parallel,12,4,F-F,40,0,5,5,1,0
parallel,12,4,F-F,41,0,0,0,0,0
parallel,12,4,F-F,43,0,1,1,1,0
parallel,12,4,F-F,42,0,5,5,1,0
parallel,12,4,F-F,44,0,6,6,1,0
parallel,12,4,F-F,45,0,2,2,1,0
parallel,12,4,F-F,46,0,6,6,1,0
parallel,12,4,F-F,47,0,0,0,0,0
parallel,12,4,F-F,48,0,4,4,1,0
parallel,12,4,F-F,49,0,4,4,1,0
parallel,12,4,F-F,50,0,8,8,1,0
parallel,12,4,F-F,51,0,1,1,1,0
parallel,12,4,F-F,52,0,5,5,1,0
parallel,12,4,F-F,53,0,7,7,1,0
parallel,12,4,F-F,54,0,2,2,1,0
parallel,12,4,F-F,55,0,2,2,1,0
parallel,12,4,F-F,56,0,2,2,1,0
parallel,12,4,F-F,57,0,3,3,1,0
parallel,12,4,F-F,59,0,0,0,0,0
parallel,12,4,F-F,58,0,2,2,1,0
parallel,12,4,F-F,60,0,5,5,1,0
parallel,12,4,F-F,61,0,6,6,1,0
parallel,12,4,F-F,62,0,5,5,1,0
parallel,12,4,F-F,63,0,1,1,1,0
parallel,12,4,F-F,64,0,3,3,1,0
parallel,12,4,F-F,65,0,7,7,1,0
parallel,12,4,F-F,66,0,1,1,1,0
parallel,12,4,F-F,67,0,1,1,1,0
parallel,12,4,F-F,68,0,4,4,1,0
parallel,12,4,F-F,69,0,4,4,1,0
parallel,12,4,F-F,70,0,0,0,0,0
parallel,12,4,F-F,71,0,2,2,1,0
parallel,12,4,F-F,72,0,5,5,1,0
parallel,12,4,F-F,73,0,0,0,0,0
parallel,12,4,F-F,74,0,7,7,1,0
parallel,12,4,F-F,75,0,2,2,1,0
parallel,12,4,F-F,76,0,3,3,1,0
parallel,12,4,F-F,77,0,0,0,0,0
parallel,12,4,F-F,78,0,2,2,1,0
parallel,12,4,F-F,79,0,0,0,0,0
parallel,12,4,F-F,80,0,2,2,1,0
parallel,12,4,F-F,81,0,3,3,1,0
parallel,12,4,F-F,82,0,5,5,1,0
parallel,12,4,F-F,83,0,9,9,1,0
parallel,12,4,F-F,84,0,3,3,1,0
parallel,12,4,F-F,85,0,6,6,1,0
parallel,12,4,F-F,86,0,5,5,1,0
parallel,12,4,F-F,87,0,4,4,1,0
parallel,12,4,F-F,88,0,6,6,1,0
parallel,12,4,F-F,89,0,1,1,1,0
parallel,12,4,F-F,90,0,5,5,1,0
parallel,12,4,F-F,92,0,3,3,1,0
parallel,12,4,F-F,91,0,1,1,1,0
parallel,12,4,F-F,93,0,4,4,1,0
parallel,12,4,F-F,94,0,4,4,1,0
parallel,12,4,F-F,95,0,1,1,1,0
parallel,12,4,F-F,96,0,4,4,1,0
parallel,12,4,F-F,97,0,0,0,0,0
parallel,12,4,F-F,98,0,2,2,1,0
parallel,12,4,F-F,99,0,7,7,1,0
parallel,12,4,F-F,100,0,0,0,0,0
parallel,12,4,R-R,1,0,0,0,0,0
parallel,12,4,R-R,2,0,0,0,0,0
parallel,12,4,R-R,4,0,0,0,0,0
parallel,12,4,R-R,3,0,0,0,0,0
parallel,12,4,R-R,5,0,0,0,0,0
parallel,12,4,R-R,6,0,0,0,0,0
parallel,12,4,R-R,7,0,0,0,0,0
parallel,12,4,R-R,8,0,0,0,0,0
parallel,12,4,R-R,9,0,0,0,0,0
parallel,12,4,R-R,10,0,0,0,0,0
parallel,12,4,R-R,11,0,0,0,0,0
parallel,12,4,R-R,12,0,0,0,0,0
parallel,12,4,R-R,14,0,0,0,0,0
parallel,12,4,R-R,13,0,0,0,0,0
parallel,12,4,R-R,15,0,0,0,0,0
parallel,12,4,R-R,16,0,0,0,0,0
parallel,12,4,R-R,17,0,0,0,0,0
parallel,12,4,R-R,18,0,0,0,0,0
parallel,12,4,R-R,19,0,0,0,0,0
parallel,12,4,R-R,20,0,0,0,0,0
parallel,12,4,R-R,22,0,0,0,0,0
parallel,12,4,R-R,21,0,0,0,0,0
parallel,12,4,R-R,24,0,0,0,0,0
parallel,12,4,R-R,23,0,0,0,0,0
parallel,12,4,R-R,25,0,0,0,0,0
parallel,12,4,R-R,26,0,0,0,0,0
parallel,12,4,R-R,27,0,0,0,0,0
parallel,12,4,R-R,28,0,0,0,0,0
parallel,12,4,R-R,29,0,0,0,0,0
parallel,12,4,R-R,30,0,0,0,0,0
parallel,12,4,R-R,31,0,0,0,0,0
parallel,12,4,R-R,32,0,0,0,0,0
parallel,12,4,R-R,33,0,0,0,0,0
parallel,12,4,R-R,34,0,0,0,0,0
parallel,12,4,R-R,35,0,0,0,0,0
parallel,12,4,R-R,36,0,0,0,0,0
parallel,12,4,R-R,37,0,0,0,0,0
parallel,12,4,R-R,38,0,0,0,0,0
parallel,12,4,R-R,39,0,0,0,0,0
parallel,12,4,R-R,40,0,0,0,0,0
parallel,12,4,R-R,41,0,0,0,0,0
parallel,12,4,R-R,42,0,0,0,0,0
parallel,12,4,R-R,43,0,0,0,0,0
parallel,12,4,R-R,44,0,0,0,0,0
parallel,12,4,R-R,45,0,0,0,0,0
parallel,12,4,R-R,46,0,0,0,0,0
parallel,12,4,R-R,47,0,0,0,0,0
parallel,12,4,R-R,48,0,0,0,0,0
parallel,12,4,R-R,49,0,0,0,0,0
parallel,12,4,R-R,50,0,0,0,0,0
parallel,12,4,R-R,51,0,0,0,0,0
parallel,12,4,R-R,52,0,0,0,0,0
parallel,12,4,R-R,53,0,0,0,0,0
parallel,12,4,R-R,54,0,0,0,0,0
parallel,12,4,R-R,55,0,0,0,0,0
parallel,12,4,R-R,56,0,0,0,0,0
parallel,12,4,R-R,57,0,0,0,0,0
parallel,12,4,R-R,58,0,0,0,0,0
parallel,12,4,R-R,59,0,0,0,0,0
parallel,12,4,R-R,60,0,0,0,0,0
parallel,12,4,R-R,61,0,0,0,0,0
parallel,12,4,R-R,62,0,0,0,0,0
parallel,12,4,R-R,63,0,0,0,0,0
parallel,12,4,R-R,65,0,0,0,0,0
parallel,12,4,R-R,64,0,0,0,0,0
parallel,12,4,R-R,66,0,0,0,0,0
parallel,12,4,R-R,67,0,0,0,0,0
parallel,12,4,R-R,68,0,0,0,0,0
parallel,12,4,R-R,69,0,0,0,0,0
parallel,12,4,R-R,70,0,0,0,0,0
parallel,12,4,R-R,71,0,0,0,0,0
parallel,12,4,R-R,72,0,0,0,0,0
parallel,12,4,R-R,73,0,0,0,0,0
parallel,12,4,R-R,74,0,0,0,0,0
parallel,12,4,R-R,75,0,0,0,0,0
parallel,12,4,R-R,76,0,0,0,0,0
parallel,12,4,R-R,77,0,0,0,0,0
parallel,12,4,R-R,78,0,0,0,0,0
parallel,12,4,R-R,79,0,0,0,0,0
parallel,12,4,R-R,80,0,0,0,0,0
parallel,12,4,R-R,81,0,0,0,0,0
parallel,12,4,R-R,82,0,0,0,0,0
parallel,12,4,R-R,83,0,0,0,0,0
parallel,12,4,R-R,84,0,0,0,0,0
parallel,12,4,R-R,85,0,0,0,0,0
parallel,12,4,R-R,86,0,0,0,0,0
parallel,12,4,R-R,88,0,0,0,0,0
parallel,12,4,R-R,87,0,0,0,0,0
parallel,12,4,R-R,89,0,0,0,0,0
parallel,12,4,R-R,90,0,0,0,0,0
parallel,12,4,R-R,91,0,0,0,0,0
parallel,12,4,R-R,92,0,0,0,0,0
