gen,best_fitness,mean_fitness,worst_fitness,best_novelty,mean_pairwise_genome_dist,fitness_std,unique_genomes,hall_best_fitness,errors,wall_s
0,0.75,-0.0469,-0.75,1.0,1.1053,0.3773,16,0.75,0,26.93
1,0.5,-0.1406,-0.5,0.7357,1.0576,0.2927,16,0.75,0,26.31
2,0.5,-0.0469,-0.5,0.9417,1.1951,0.2825,16,0.75,0,27.43
3,0.5,0.0625,-0.5,0.569,1.1916,0.3125,16,0.75,0,27.68
4,0.75,0.0469,-0.5,0.9417,1.2858,0.3333,16,0.75,0,27.52
5,0.75,0.0938,-0.75,1.0787,1.3677,0.3737,16,0.75,0,26.1
6,0.25,-0.0312,-0.5,0.5,1.3702,0.2318,16,0.75,0,25.37
7,0.75,-0.0312,-0.5,0.8047,1.3536,0.3172,16,0.75,0,25.58
8,1.0,0.0469,-0.5,0.8727,1.3428,0.4259,16,1.0,0,24.87
9,0.75,0.0156,-0.5,0.7357,1.3471,0.3799,16,1.0,0,25.06
